1,-,-,1,0.38,-,-,-,-,-,-,2,0.5,-,-,1,0.1,-,-,2,0.6,-,-,-,-,-,-,-,-,2,0.58,-,-,-,-,-,-,-,-,-,-
2,-,-,1,0.65,1,0.08,-,-,-,-,1,0.57,1,0.43,-,-,-,-,1,0.71,-,-,-,-,-,-,1,0.07,-,-,-,-,1,0.11,-,-,2,0.61,-,-
6,-,-,-,-,-,-,-,-,1,0.02,2,0.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.3,-,-,-,-,-,-,-,-,-,-,-,-
7,1,0.27,1,0.28,1,0.07,-,-,-,-,2,0.58,-,-,1,0.11,1,0.4,1,0.17,-,-,-,-,1,0.17,-,-,1,0.23,-,-,-,-,-,-,2,0.47,-,-
8,-,-,-,-,1,0.4,1,0.26,-,-,2,0.74,-,-,-,-,-,-,1,0.06,1,0.4,-,-,1,0.25,1,0.32,1,0.44,-,-,-,-,-,-,-,-,-,-
9,-,-,-,-,1,0.4,1,0.29,-,-,1,0.2,-,-,1,0.13,1,0.06,1,0.35,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,2,1,-,-
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,1,0.17,1,0.25,-,-,-,-,-,-,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.03,-,-,2,0.23,-,-
12,2,0.35,1,0.38,-,-,-,-,1,0.18,3,0.5,-,-,-,-,-,-,2,0.53,-,-,1,0.2,-,-,-,-,2,0.7,1,0.06,-,-,-,-,1,0.32,2,0.28
13,-,-,1,0.5,-,-,-,-,-,-,2,0.49,-,-,-,-,-,-,-,-,1,0.48,-,-,-,-,3,0.65,-,-,-,-,-,-,-,-,1,0.43,-,-
14,-,-,-,-,2,0.33,1,0.32,-,-,-,-,1,0.13,1,0.32,-,-,1,0.45,-,-,-,-,-,-,-,-,2,0.62,-,-,-,-,-,-,4,0.34,-,-
15,-,-,-,-,2,0.66,-,-,2,0.28,3,0.55,-,-,-,-,-,-,3,0.28,1,0.4,-,-,-,-,2,0.72,-,-,-,-,-,-,-,-,-,-,1,0.02
16,-,-,-,-,-,-,-,-,1,0.15,1,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.04,-,-,-,-,-,-,-,-,1,0.23,-,-
17,-,-,-,-,2,0.38,1,0.24,-,-,1,0.36,1,0.4,-,-,-,-,3,1,-,-,-,-,-,-,-,-,2,0.8,-,-,-,-,-,-,-,-,-,-
18,-,-,2,0.52,1,0.21,-,-,-,-,2,0.77,-,-,-,-,1,0.2,1,0.27,-,-,-,-,-,-,1,0.25,1,0.28,-,-,2,0.71,-,-,1,0.18,-,-
