1,0.71,0.17,-,-,-,0.23,-,0.77,0.22,0.52,0.26,-,-,-,0.31,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,0.53,0.47,-,0.21,-,0.77,0.02,-,-,-,0.6
6,-,-,-,-,0.2,0.48,-,-,0.01,0.25,0.74,-,-,-,0.18,0.23,0.07,0.05,-,-
7,-,-,0.71,0.29,0.47,0.23,0.3,-,-,0.31,0.69,-,0.62,0.33,-,0.04,0.45,0.55,-,-
8,-,0.62,0.38,-,-,0.35,0.51,0.14,-,-,-,-,-,-,-,-,-,-,-,-
9,0.3,0.22,0.05,0.43,0.18,0.58,0.23,-,0.28,0.32,0.23,-,0.69,0.31,-,-,0.39,-,0.61,-
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,-,-,-,-,-,0.42,0.03,-,-,-,-,-,-,-,-,-,-,-,0.56,0.44
12,-,-,1,-,-,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,0.96,0.04,-,-,0.71,0.29,-,-,-,0.3,-,0.67,-,0.37,0.4,0.23,0.87,0.13,-,-
14,-,0.12,0.88,-,-,-,-,-,-,0.47,0.13,-,-,-,-,-,-,-,-,-
15,1,0,-,-,-,0.83,-,-,-,-,-,-,-,0.04,-,-,0.57,0.27,-,-
16,0.23,0.67,-,-,-,0.39,-,-,0.48,-,0.24,-,-,-,-,-,-,-,-,-
17,-,0.6,0.12,0.03,-,0.48,0.35,0.17,-,-,-,-,0.86,-,-,-,-,-,0.64,0.36
18,-,-,0.37,0.26,-,0.31,-,0.69,-,1,-,-,-,1,-,-,-,-,-,-
19,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13,-,-,-,-,0.15,-
20,0.3,0.7,-,-,0.24,-,0.11,0.65,-,-,0.79,-,-,-,0.45,0.55,-,-,0.32,0.37
21,-,0.1,-,-,-,0.8,-,-,-,0.09,-,-,-,1,-,-,-,0.19,0.42,0.32
22,-,-,-,-,-,-,-,0.49,0.45,-,0.4,0.05,-,-,-,-,-,-,-,-
23,0.22,0.04,0.74,-,-,-,-,-,-,-,-,-,-,-,0.47,-,-,-,0.76,-
24,-,-,-,0.85,0.48,0.22,0.31,-,-,-,-,-,-,-,0.06,-,-,-,-,-
25,-,-,0.02,-,-,-,0.09,0.08,-,-,-,-,-,0.13,-,-,-,-,-,-
27,-,0.85,-,0.15,-,-,-,0.12,-,-,0.32,-,0,1,-,-,-,-,-,-
28,-,-,-,-,-,0.58,-,-,-,0,1,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,0.03,0.8,0.86,0.14,-,-,0.33,0.67,-,-,0.4,-,-,-
33,-,-,-,-,-,-,-,-,,,,,,,,,,,,
34,-,0.31,-,-,-,-,-,0.73,,,,,,,,,,,,
35,0.87,0.13,-,-,0.87,0.13,-,-,,,,,,,,,,,,
36,1,-,-,0.83,-,-,0.02,0.27,,,,,,,,,,,,
37,-,0.27,-,-,-,-,-,-,,,,,,,,,,,,
38,0.41,0.43,0.63,-,0.87,0.07,-,-,,,,,,,,,,,,
39,-,0.17,0.18,-,0.65,-,0.03,0.97,,,,,,,,,,,,
40,no data,,,,,,,,,,,,,,,,,,,
41,0.12,0.88,0.37,0.21,-,-,0.83,0.17,,,,,,,,,,,,
42,0.01,0.6,-,0.03,0.63,-,-,-,,,,,,,,,,,,
43,-,-,-,0.17,1,-,0.18,0.82,,,,,,,,,,,,
44,no data,,,,,,,,,,,,,,,,,,,
45,0.79,0.21,-,-,-,0.18,0.51,0.49,,,,,,,,,,,,
46,-,-,-,-,-,-,-,-,,,,,,,,,,,,
47,no data,,,,,,,,,,,,,,,,,,,
48,0.34,0.66,-,-,-,-,-,1,,,,,,,,,,,,
49,0.23,0.77,1,-,-,0.51,1,-,,,,,,,,,,,,
50,0.47,0.53,-,0.77,-,0.22,0.07,0.93,,,,,,,,,,,,
52,0.2,0.8,-,0.08,0.33,0.54,-,-,,,,,,,,,,,,
54,-,1,-,-,1,-,1,-,,,,,,,,,,,,
56,0.16,0.84,-,-,-,-,0.44,0.56,,,,,,,,,,,,
62,0.67,0.33,0.53,0.47,-,-,1,-,,,,,,,,,,,,
64,-,1,0.39,0.61,0.58,-,-,1,,,,,,,,,,,,
66,0.73,0.27,1,-,-,1,1,-,,,,,,,,,,,,
68,-,0.88,-,-,1,-,0.17,0.83,,,,,,,,,,,,
70,-,0.5,-,-,-,-,-,-,,,,,,,,,,,,
72,0.06,-,-,-,0.6,-,0.75,-,,,,,,,,,,,,
74,-,-,0.46,-,-,0.25,-,-,,,,,,,,,,,,
76,-,0.52,-,-,0.37,0.25,-,-,,,,,,,,,,,,
78,0.08,-,-,-,0.69,-,-,0.72,,,,,,,,,,,,
80,0.45,0.55,-,-,-,-,1,-,,,,,,,,,,,,
51,0.73,-,0.21,-,-,0.37,0.75,-,,,,,,,,,,,,
53,-,-,1,-,-,-,0.38,0.62,,,,,,,,,,,,
55,0.61,0.27,0.61,0.39,-,0.14,0.67,0.33,,,,,,,,,,,,
57,0.91,0.09,-,-,0.21,0.5,0.89,-,,,,,,,,,,,,
59,0.1,0.9,-,0.7,-,1,1,-,,,,,,,,,,,,
63,-,1,1,-,0.52,0.48,0.52,0.48,,,,,,,,,,,,
65,-,-,-,1,-,-,0.22,0.78,,,,,,,,,,,,
67,0.22,0.78,0.06,0.2,0.12,0.88,0.26,0.74,,,,,,,,,,,,
69,-,1,0.44,0.5,0.81,0.19,0.36,0.52,,,,,,,,,,,,
71,0.98,-,-,0.64,-,-,0.03,-,,,,,,,,,,,,
73,0.85,-,0.31,-,-,-,0.21,0.79,,,,,,,,,,,,
75,-,1,0.78,0.04,0.07,0.26,0.32,0.53,,,,,,,,,,,,
77,0.59,-,-,-,-,-,0.47,-,,,,,,,,,,,,
79,0.37,0.15,-,-,-,-,0.78,0.22,,,,,,,,,,,,
83,-,0.94,-,-,0.5,0.15,0.56,0.14,,,,,,,,,,,,
81,0.28,0.25,0.08,0.82,-,-,0.08,0.92,,,,,,,,,,,,
87,-,1,0.34,0.44,-,-,0.61,0.33,,,,,,,,,,,,
89,-,-,1,-,-,-,0.93,0.07,,,,,,,,,,,,
91,0.06,0.6,-,-,0.13,0.77,1,-,,,,,,,,,,,,
93,-,0.38,0.6,-,0.23,-,0.49,0.48,,,,,,,,,,,,
90,0.78,0.22,0.37,0.43,0.26,0.74,-,0.82,,,,,,,,,,,,
92,0.36,0.64,-,-,-,-,-,-,,,,,,,,,,,,
95,-,0.8,0.28,0.72,0.55,0.45,0.43,0.42,,,,,,,,,,,,
98,-,1,-,1,-,1,-,1,,,,,,,,,,,,
101,-,-,-,-,-,-,-,-,,,,,,,,,,,,
