69,0.11,0.62,-,-,-,-,-,0.75,-,0.81,-,-
70,-,-,-,-,-,-,-,-,-,-,-,-
72,0.63,-,-,-,-,-,0.59,-,0.65,-,-,-
73,-,0.26,-,-,-,-,-,0.5,0.19,0.35,-,-
74,-,-,-,-,-,-,-,-,-,-,-,-
75,-,-,-,-,-,-,0.73,-,-,0.5,-,-
76,0.09,-,-,-,-,-,0.18,-,-,0.57,-,-
77,0.76,-,-,-,-,-,-,0.74,0.04,0.75,-,-
78,-,-,-,-,-,-,-,-,-,-,-,-
79,-,-,-,-,-,-,-,-,-,-,-,-
80,-,-,-,-,-,-,,,,,,
81,0.12,-,0.24,-,0.09,-,,,,,,
83,0.42,0.01,0.76,-,0.69,-,,,,,,
87,0.18,-,0.49,-,0.44,-,,,,,,
89,-,-,-,-,-,-,,,,,,
90,0.5,0.17,0.74,-,0.67,0.06,,,,,,
91,0.49,-,-,0.02,-,-,,,,,,
93,-,-,0.55,-,0.53,-,,,,,,
95,0.12,0.63,-,-,-,-,0.18,0.11,-,0.78,-,-
98,0.53,-,-,-,-,-,0.42,0.32,-,0.8,-,-
101,-,-,-,-,-,-,-,0.23,0.48,0.3,-,-
97,0.58,0.1,-,-,-,-,-,-,-,0.65,-,-
102,0.01,-,-,-,-,-,-,-,0.51,-,-,-
103,0.17,0.31,-,-,-,-,0.53,0.29,0.57,0.13,-,-
P96,-,0.58,-,-,-,-,0.53,-,-,0.55,-,-
