1,-,-,0.03,-,0.61,0.39,-,-
2,0.96,0.04,-,-,-,-,-,-
3,0.58,0.42,0.52,0.48,0.12,0.19,-,-
6,0.1,-,-,-,-,-,-,-
7,-,0.97,0.35,-,-,-,0.4,0.6
8,-,-,0.65,0.35,-,-,-,1
9,0.29,0.21,1,-,-,-,1,-
10,0.7,0.3,0.17,-,-,-,-,-
11,-,-,-,-,-,-,0.4,0.42
12,0.33,0.67,0.71,-,-,-,-,0.67
13,0.34,0.58,0.49,0.51,0.25,0.65,-,-
14,-,-,-,-,0.19,0.62,-,-
15,-,-,0.3,-,-,0.16,-,-
16,-,0.08,0.13,-,0.24,0.15,-,-
17,0.77,-,0.21,0.79,-,-,0.52,-
18,-,1,0.32,0.3,-,-,-,-
19,-,-,-,-,-,-,0.1,-
20,-,0.37,0.48,-,-,-,0.27,0.12
21,0.02,0.15,0.88,0.12,-,-,-,-
22,-,-,0.43,0.25,-,-,-,-
23,0.62,0.15,0.54,0.46,-,-,-,1
24,0.23,0.75,-,0.8,-,-,-,0.67
25,0.29,0.71,0.07,0.9,-,-,-,-
27,1,-,-,0.38,0.29,0.41,-,-
28,-,0.54,0.63,-,0.52,-,-,-
31,0.79,-,-,-,-,-,0.2,-
32,no data,,,,,,,
33,-,-,-,-,-,-,-,-
34,-,-,-,0.13,-,-,-,-
35,0.32,-,-,-,-,-,-,0.34
36,-,-,-,-,-,-,0.7,-
37,-,-,-,-,-,-,-,-
38,-,-,-,-,0.58,0.42,-,-
39,-,-,-,-,-,-,-,-
40,no data,,,,,,,
41,0.47,0.53,0.3,0.7,-,-,0.59,0.19
42,0.72,-,-,0.79,-,-,-,-
43,0.27,-,-,-,-,-,0.41,0.59
45,-,-,0.72,0.28,-,-,0.54,-
46,-,-,0.31,0.57,-,-,0.91,0.09
48,0.88,-,-,0.25,-,-,0.97,0.03
49,1,-,-,1,-,-,-,-
51,1,-,0.42,-,0.55,0.15,-,-
63,0,-,0.2,-,0.1,0.73,-,-
75,0.71,-,-,-,0.67,0.21,-,-
52,0.54,0.46,0.65,0.35,1,-,-,-
64,0.13,0.87,0.73,0.27,0.77,0.08,-,-
76,-,-,0.28,-,1,-,-,-
53,-,-,-,1,-,-,0.2,-
65,-,0.55,0.94,0.06,-,-,0.92,0.04
77,-,-,-,-,-,-,-,-
54,0.26,-,-,-,-,-,1,-
66,-,1,0.15,-,-,-,0.36,0.64
78,0.71,0.29,-,-,-,-,-,0.36
55,0.56,-,-,-,-,-,0.06,0.82
67,0.77,0.23,-,1,-,-,-,1
79,0.99,0.01,-,1,-,-,0.07,0.02
56,-,-,-,-,-,-,-,-
68,-,-,-,-,-,-,-,-
80,-,-,-,-,-,-,-,-
57,-,1,-,0.68,-,-,0.95,0.05
69,0.5,-,-,0.32,-,-,0.14,0.48
59,1,-,0.16,-,-,-,-,1
71,0.43,0.57,-,-,-,-,0.35,0.65
83,0.17,0.7,-,0.73,-,-,1,-
50,-,1,1,-,-,1,-,-
62,1,-,0.78,-,-,1,-,-
74,-,-,-,-,-,0.15,-,-
81,0.12,0.62,-,-,-,-,-,-
87,0.13,-,-,0.42,-,0.68,-,-
89,-,0.37,0.62,0.38,-,-,-,-
90,-,-,0.85,-,-,-,0.25,0.3
91,-,0.14,-,1,-,-,-,0.27
93,0.47,0.17,0.6,0.38,-,-,0.81,-
92,-,0.88,-,0.92,-,-,1,-
95,-,1,1,-,-,-,0.73,0.27
98,0.98,0.02,-,0.81,0.53,0.47,-,-
101,-,0.94,-,-,-,-,-,-
