24,-,1.57,-,-,-,-,-,-,-,-,-,-,-,-,2.43,1.47,-,,,
25,-,2.07,-,2.87,0.05,0.44,1.05,-,2.98,-,2.77,1.24,-,-,0.98,0.57,2.62,2.98,2.19,2.87
26,1.53,1.34,1.67,1.5,2.99,2.06,2.44,1.37,2.52,2.1,2.61,2.53,2.65,2.25,2.98,1.28,1.41,1.69,0.4,2.98
27,2.99,2.99,-,-,0.02,2.64,2.98,-,-,0.72,-,-,-,1.92,2.53,2.57,2.61,,,
28,0.77,2.98,2.99,1.19,2.14,2.98,1.54,2.7,0.52,2.81,2.67,2.8,-,1.12,2.12,2.98,2.98,2.33,0.31,2.34
29,0.27,0.08,-,-,2.85,-,-,-,-,2.32,0.78,0.18,-,0.08,-,-,1.68,-,0.03,1.05
30,2.32,2.98,2.88,2.66,1.3,1.27,2.99,2.98,2.98,2.58,2.54,2.55,0.26,-,2.8,0.95,2.98,2.37,1.63,2.98
31,0.03,1.08,1.99,1.65,0.02,0.3,1.9,-,0.03,0.71,1.75,2.98,0.1,0.13,0.08,2.1,0.1,1.21,0.37,2.86
32,2.74,2.98,2.98,2.46,2.29,2.99,2.35,2.98,1.16,2.03,2.91,2.98,1.68,2.99,2.98,2.98,2.99,2.94,2.99,0.63
33,2.23,2.84,2.87,2.99,2.46,2.21,0.77,2.59,1.28,-,1.6,1.87,1.48,2.74,2.87,2.1,0.83,2.32,,
34,2.5,-,-,-,-,-,-,1.66,-,0.68,2.79,2.24,1.1,1.44,-,1.58,-,2.02,1.88,
35,2.23,2.61,2.77,2.99,2.59,2.99,2.98,2.98,2.6,2.82,2.75,2.52,2.55,2.98,2.84,2.63,2.24,2.75,0.39,2.77
36,0.97,0.37,-,-,0.9,2.75,1.58,2.09,2.66,2.98,-,2.83,-,0.32,-,0.73,2.91,2.23,2.85,2.37
37,-,-,-,0.37,0.62,-,0.57,-,-,-,-,-,1.72,-,-,-,0.02,0.1,-,-
38,2.76,1.23,1.98,1.1,-,0.82,1.63,2.78,2.14,2.4,1.76,1.32,1.31,1.16,2.53,1.24,2.15,1.63,1.4,0.77
39,1.42,2.29,1.2,1.33,-,1.48,1.2,0.19,1.4,1.94,0.51,0.99,1.87,-,0.72,0.25,0.33,1.71,,
40,1.93,0.99,0.8,0.57,2.27,1.45,2.42,2.99,2.15,1.54,1.27,2.35,2.98,2.78,1.52,0.88,2.97,2.01,2.59,1.4
41,-,0.13,0.73,1.74,1.52,1.62,0.27,1.22,1.91,0.52,2.79,2.02,-,0.7,2.99,1.5,2.05,1.43,1.12,2.98
42,-,2.53,2.2,-,-,-,-,-,-,-,2.54,2.44,-,-,-,2.35,-,0.22,-,2.38
43,0.52,0.52,1.15,0.18,2.98,2.84,1.7,0.97,1.05,1.32,2.04,1.38,-,1.59,1.98,-,1.22,0.2,1.4,1.61
44,1.55,1.15,2.26,2.23,2.18,2.34,2.44,1.72,2.32,1.1,2.66,2.2,2.25,2.57,-,1.89,1.9,2.57,2.23,0.9
45,2.12,2.98,2.82,1.81,2.2,2.65,1.18,1.61,2.75,2.76,2.89,2.42,2.49,2.98,1.77,0.43,2.6,2.01,,
46,2.26,2.98,2.78,2.99,2.22,2.97,2.68,1.77,2.98,1.2,2.31,2.98,1.91,2.98,1.77,2.07,2.98,2.98,2.88,
47,1.85,2.98,2.58,0.12,2.2,2.98,0.64,2.84,0.72,0.45,1.71,2.73,2.98,2.03,2.6,2.53,0.38,2.88,2.44,1.53
48,2.99,-,-,1.07,2.46,2.66,2.76,2.05,1.45,2.78,-,2.72,0.93,2.79,0.43,2.71,2.54,0.82,2.98,2.54
49,-,2.23,-,2.28,1.48,1.17,1.97,2.79,2.11,2.98,1.96,0.84,1.57,2.07,1.22,-,2.21,2.54,1.64,2.76
50,0.83,-,-,-,-,-,1.89,0.82,0.03,-,0.6,1.37,-,0.8,-,-,-,0.47,-,1.56
51,2.86,2.54,2.98,2.68,2.63,2.78,2.58,2.66,2.98,2.68,2.98,2.71,2.84,2.61,2.98,2.56,2.64,2.53,,
52,0.85,0.98,2.31,-,0.97,1.23,1.22,0.03,0.93,1.12,1.33,0.13,2.48,0.65,2.42,0.73,1.71,1.62,0.77,1.9
53,no data,,,,,,,,,,,,,,,,,,,
54,2.85,1.98,2.52,1.23,2.43,2.12,2.65,2,2.76,0.85,2.42,-,2.47,2.44,2.23,2.63,2.1,2.25,2.25,2.5
55,2.83,-,-,0.72,2.18,0.97,0.35,0.71,0.87,2.05,0.65,1.62,0.47,2.17,-,2.37,0.83,2.61,0.18,-
56,2.18,1.98,2.86,2.99,1.42,2.52,2.69,-,2.62,2.21,2.99,2.99,2.52,1.38,1.4,2.68,0.32,2.22,1.58,2.59
