1,-,0.15,-,0.5,0.91,0.09,1,-,0.68,0.32,-,0.15,0.33,0.12,0.22,0.35,0.45,0.55,0.64,0.36,0.06,0.27,0.93,0.07,0.3,-,0.75,-,-,-,-,-,-,-,0.35,-,0.74,-,0.48,-
2,-,-,0.65,0.35,-,-,-,0.63,0.57,-,0.16,-,0.63,-,0.35,0.65,0.1,-,-,-,0.94,-,-,-,-,-,0.88,-,0.27,0.42,-,-,0.47,0.29,-,-,0.6,0.4,-,-
4,-,-,0.68,-,0.29,0.71,-,1,1,-,-,0.58,0.63,0.37,-,-,0.46,0.54,-,1,0.13,0.87,-,-,0.8,-,0.25,0.65,0.78,-,-,-,1,-,-,-,0.82,-,-,1
6,0.04,-,0.03,0.02,0.02,0.13,-,0.28,-,-,0.44,0.23,0.07,0.23,-,-,-,0.27,0.13,0.29,-,-,0.02,-,0.03,0.25,-,-,-,-,0.61,-,0.02,-,0.18,0.13,0.13,-,-,-
7,0.88,-,0.77,0.23,-,1,0.5,0.5,-,-,1,-,-,-,-,0.73,-,-,-,-,-,0.13,-,-,-,0.15,-,-,0.37,0.5,-,-,-,-,-,-,-,-,0.42,0.22
9,0.42,0.45,1,-,-,-,0.03,0.21,0.95,-,-,-,0.22,-,0.25,0.55,-,0.2,0.14,0.86,0.36,-,-,0.22,1,-,0.36,-,-,1,0.81,-,-,0.88,0.15,0.18,0.32,-,0.43,-
12,-,0.65,0.78,0.05,0.85,-,0.31,0.01,0.47,-,0.58,0.2,0.72,0.17,0.42,-,0.91,0.09,0.9,0.07,0.69,-,-,0.68,0.1,0.09,0.4,0.28,-,-,-,0.18,0.12,0.42,0.15,0.5,0.46,-,0.25,0.4
13,-,0.31,1,-,1,-,0.98,0.02,0.09,0.91,0.55,0.45,0.34,0.27,-,0.94,-,0.53,0.45,0.55,0.56,0.44,1,-,0.02,0.84,1,-,0.61,0.39,-,1,0.61,0.39,1,-,-,0.59,0.61,0.39
14,0.94,-,0.35,0.2,0.68,0.16,0.32,0.42,0.55,0.45,0.54,0.15,0.78,-,0.58,0.09,0.53,-,0.98,-,0.5,-,0.59,-,0.15,0.71,0.78,0.08,0.83,-,0.52,-,-,0.19,0.29,0.48,0.35,0.43,0.6,-
15,1,-,0.18,0.46,-,-,-,0.35,-,1,0.25,-,-,-,1,-,0.76,-,-,0.15,0.48,0.42,0.38,-,-,0.97,0.42,0.05,0.56,-,-,0.22,0.12,0.88,0.61,-,0.13,-,0.5,0.27
16,0,-,-,-,-,-,-,-,-,-,0.02,0.02,-,-,-,-,-,-,-,-,-,-,-,-,0.02,-,-,-,-,0.35,-,-,-,-,-,-,-,-,-,-
17,1,-,-,-,0.72,0.28,0.31,0.69,1,-,-,-,-,1,-,-,0.13,0.87,-,1,-,-,0.88,0.12,-,-,0.41,-,-,-,0.49,0.51,-,-,0.75,0.25,0.38,0.62,-,-
