1,0.63,0.63,-,0.58,1.33,1.29,1.65,0.53,1.67,1.99,0.42,1.13,1.45,1.2,0.33,0.35,0.63,1.53,4.05,0.92,2.02,0.27,1.48,0.48,1.13,-,0.9,-,0.57,0.37,0.9,-,-,-,1.09,0.42,1.33,0.18,0.48,-
2,-,-,1.32,0.73,-,-,1.5,2.46,0.57,0.57,0.58,-,1.08,0.35,0.77,0.95,0.22,-,-,-,2.04,0.13,-,-,-,-,1.12,-,1.91,2.85,-,-,2.26,0.55,-,-,1.23,1.4,-,-
4,3.96,1.37,3.81,4.01,4.21,2.5,2.38,1.72,2.25,-,5.43,6.81,5.43,1.67,4.26,8.91,4.26,0.87,4.65,3.21,3.06,2.08,3.11,0.4,10.47,6.93,0.78,0.72,3.3,1.85,2.13,1.38,7.81,1.53,3.63,1.8,4.51,2.18,2.26,1.18
6,0.87,1.02,0.58,0.03,2.06,1.5,0.55,0.3,4.98,3.6,1.38,0.37,0.65,0.77,-,0.02,0.8,0.8,0.13,0.43,0.65,-,1.12,0.63,0.73,0.25,-,0.03,-,0.15,0.77,-,1.37,0.5,0.87,0.5,0.33,-,0.07,-
7,1.88,-,2.53,0.67,1.62,2.46,3,3.75,-,-,1.75,-,1.47,0.5,1.5,1.38,-,-,0,-,0.02,0.13,-,-,-,0.38,-,-,1.04,0.83,-,0.15,-,-,-,0.05,0.02,-,0.85,0.33
9,1.93,2.22,1.22,0.6,0.18,0.05,1.72,2.5,1.22,1.58,2.16,9.74,0.68,-,0.93,0.64,0.47,0.82,1.55,1.12,0.93,-,1.53,0.32,1.4,1.93,0.99,-,1.68,1.47,2.32,-,1.9,1.63,1.05,0.18,0.92,-,2.35,0.55
12,3.71,2.58,2.26,1.05,1.07,0.62,0.55,0.08,1.43,-,2.91,1.58,1.42,0.32,1.14,0.28,2.83,0.52,1.4,0.82,1.48,0.57,-,1.02,0.12,0.73,1.65,1.73,-,-,-,0.65,4.4,2.58,1.09,1,0.6,-,1.53,1.17
13,1.42,1.28,1.33,-,2.3,-,1.35,0.35,7.24,3.6,2.13,0.7,1.61,0.43,1.22,2.51,6.01,8.18,2.96,2.85,7.68,5.65,2.22,0.01,0.38,0.84,2.27,0.18,1.17,1.68,-,1.72,1.61,0.72,1.38,-,-,0.72,1.05,0.85
14,4.38,1.62,0.37,1.1,0.87,0.55,1.29,0.42,1.47,0.88,1.22,0.4,2.28,0.33,2.65,1.25,1.58,0.98,2.64,0.48,1.14,0.37,1,0.38,0.7,1.22,3.17,1.83,1.73,0.68,1.38,0.4,0.4,0.74,2,0.48,2.53,1.05,1.62,0.32
15,1.68,-,1.69,1.27,-,-,-,0.55,3.53,3.98,0.82,-,0.43,-,1.2,0.12,1.05,-,-,0.7,1.77,0.42,0.57,-,0.25,1.03,0.42,0.05,0.95,-,-,0.45,0.73,1.22,0.62,-,0.53,-,1.13,0.27
16,0.32,-,-,-,-,-,-,-,-,-,0.03,0.12,-,0.02,-,-,-,-,-,-,-,-,-,-,0.58,0.08,-,-,0.12,1.7,-,0.27,-,-,-,-,-,-,-,-
17,2,0.58,-,-,3.38,1.71,1.37,1.07,2.81,0.34,-,-,2.44,2.65,-,-,0.82,1.12,4.02,4.86,-,-,1.35,0.59,0.07,0.4,1.12,0.31,-,-,0.88,1.28,-,-,1.12,1.13,0.7,1.2,-,-
18,1.4,-,0.02,0.15,0.62,0.05,0.9,0.52,0.9,-,-,-,-,-,-,0.37,-,-,-,-,0.65,0.2,0.02,0.42,-,-,-,-,0.25,0.25,0.2,-,-,-,0.1,0.88,-,-,-,-
20,0.97,-,2.48,1.53,2.51,0.93,0.47,-,-,0.53,1.07,1.23,1.77,-,3.62,0.7,-,1.78,0.37,-,1.77,0.12,1.67,1.42,0.68,1,-,0.87,-,0.23,0.75,1.47,1.28,-,1.92,0.63,1.87,-,-,1.69
21,4.45,1.37,6.94,2.3,5.91,1.03,4.83,0.63,4.28,4.51,1.35,1.53,6.35,2.47,1.12,0.87,2.18,6.14,3.91,3.06,2.28,0.12,4.65,2.45,1.25,1.62,2.03,-,1.28,0.73,1.58,1.63,5.91,1.65,2.56,1.1,2.6,0.45,2.47,7.9
22,0.35,-,-,0.36,0.47,-,0.05,0.67,-,-,0.4,0.29,-,0.13,1.47,1.02,-,0.52,1.17,2.35,0.85,-,0.85,-,0.83,0.32,1.75,1.75,0.3,0.95,0.67,0.33,0.95,0.1,0.98,0.9,0.62,0.65,2.12,0.18
23,1.63,0.8,0.35,-,0.68,1.73,-,-,2.8,1.23,-,-,0.42,1.12,2.08,0.65,1.03,-,1.13,1.3,4.75,3.38,0.88,0.6,1.8,0.77,0.73,-,1.83,1.17,0.1,-,2.13,1.41,1.3,1.38,-,-,0.07,-
24,0.75,-,0.12,-,0.38,0.5,0.23,0.98,-,0.5,2.85,0.7,0.63,-,0.38,-,-,0.82,0.28,0.95,0.95,-,-,0.45,0.77,-,-,0.88,-,0.6,0.57,1.29,0.8,0.44,0.02,0.9,-,-,0.87,0.42
27,1.76,-,0.81,0.65,-,1.33,-,1.55,3.85,1.7,0.37,0.42,1.16,0.72,0.8,0.62,0.57,0.58,1.91,1.07,1.05,-,0.8,0.52,2.1,0.82,-,1.25,1.03,0.43,1.42,1.42,2.99,1.27,1.88,-,1.5,2.31,3.59,1.73
28,0.87,0.63,1.07,-,-,0.2,0.85,0.92,2.3,0.15,0.97,-,1.07,2.15,0.32,-,0.82,1.75,1.05,-,0.93,0.58,1.3,0.35,0.13,1.52,0.36,0.22,1.03,0.8,1.05,0.52,0.7,1.25,0.68,0.08,0.73,0.25,1.23,0.63
30,0.9,1.05,1.68,-,1.03,0.01,0.86,0.92,0.6,0.75,0.6,-,1.53,0.87,1.12,1.83,1.18,0.73,2.3,0.37,0.52,0.67,0.87,0.25,0.82,1.17,1.38,0.32,1.55,0.3,0.1,1.34,0.19,1.6,1.33,0.27,1.13,1.71,0.5,0.56
31,1.48,1,3.76,0.93,-,1.39,1.13,0.1,2.65,1.22,1.49,-,0.18,-,1.45,1.03,1.78,-,1.94,0.93,1.98,0.75,1.03,-,1.48,0.82,1.42,-,1.08,0.58,0.6,-,1.85,2.4,1.31,-,0.67,-,1.16,0.4
32,1.47,3.79,1.88,1.85,4.23,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.77,-,1.48,-,1.55,1.2,2.11,0.77,3.4,2.32,1.08,-,6.31,2.25,1.82,0.55,3.11,5.95,3.47,1.02,1.69,-,3.16,1.27,2.02,1.4,9.64,8.68,0.72,0.78,2.18,0.68,1.3,0.15,2,0.88,1.08,0.63,1.52,1.8
34,2.3,2.03,0.78,0.95,-,-,1.8,2.48,0.38,1.82,0.7,1.82,0.78,-,1.3,1.75,2.26,-,1.68,1.67,2.61,1.12,1.8,0.1,2.66,1.53,1.48,0.27,1.42,0.93,1.76,1,0.95,1.2,1.33,0.2,2.35,0.65,0.77,0.57
35,0.75,-,-,-,0.95,-,-,1.33,0.7,1.56,1.47,1.02,0.61,-,1.45,0.53,0.73,0.35,0.8,0.77,0.82,1.17,0.77,-,1.1,0.62,1.55,0.17,1.68,1.7,1.35,1.08,0.9,-,1.28,0.42,1.11,0.52,-,1.43
36,0.27,-,0.15,-,2.16,-,1.63,1.57,2.3,2.05,3.25,0.8,1.61,0.08,1.08,1.87,0.9,0.33,1.83,-,2.98,0.47,1.72,1.01,0.27,3.06,1.58,1.08,2.56,3.2,1.73,-,3.56,1,2.88,1.33,0.28,0.88,1.37,5.6
