29,0.93,1,-,-,0.2,-,0.72,0.07,-,-,-,-,-,0.21
30,1,0.47,-,1,1,-,1,-,0.85,-,0.12,0.88,0.73,-
31,0.3,0.17,0.07,0.05,0.32,-,0.73,-,0.22,-,1,-,-,1
32,1,0.81,0.75,0.25,0,0.58,0.51,0.49,0.38,0.5,0.25,0.25,0.2,0.04
33,0.86,0.65,0.65,-,-,0.79,0.14,0.02,0.18,-,0.6,-,-,0.8
34,-,-,-,-,-,-,-,-,0.14,-,-,-,-,0.15
35,1,0.65,1,-,0.42,0.58,1,-,1,-,1,-,-,1
36,0.85,0.61,1,-,-,-,-,0.77,-,0.28,-,1,0.46,0.54
37,1,0.03,-,0.62,0.18,-,-,0.01,-,-,-,-,-,-
38,0.45,0.69,0.13,0.44,0.47,0.01,-,0.22,-,0.23,0.83,-,0.13,-
39,-,-,-,-,-,-,-,-,-,-,-,-,0.32,-
40,-,-,0.58,0.12,-,-,-,-,0.48,0.52,0.17,0.83,-,0.2
41,0.55,0.27,0.45,-,0.11,-,-,-,0.03,-,-,0.57,0.02,-
42,-,1,0.81,-,0.72,-,0.7,0.25,0.36,-,0.29,0.71,-,0.89
43,-,0.19,0.28,-,-,1,0.26,0.74,0.84,0.16,1,-,0.1,0.9
44,0.15,0.47,0.65,0.35,-,-,0.75,-,-,-,1,-,-,-
45,0.74,0.6,0.92,0.08,0.87,-,0.8,0.05,0.99,-,0.73,-,0.66,0.34
46,-,0.92,0.28,0.72,1,-,1,-,-,-,1,-,0.46,0.54
47,-,1,1,-,1,-,1,-,0.37,-,1,-,-,1
48,1,1,0.18,0.82,1,-,1,-,0.37,0.47,1,-,1,-
49,0.14,0.9,0.05,0.95,-,0.37,0.32,0.38,0.88,-,0.98,-,0.97,-
50,1,1,0.74,0.26,0.17,-,-,1,-,-,0.48,0.5,0.64,0.36
51,-,-,0.37,0.44,-,-,1,-,-,-,1,-,0.25,-
52,0.08,0.36,0.17,0.83,0.35,0.65,-,0.87,0.77,-,0.17,0.52,0.07,0.77
53,-,-,-,1,0.98,-,0.97,0.03,-,-,-,-,0.78,0.22
54,1,-,0.53,0.08,-,-,0.18,0.6,-,-,1,-,0.67,-
55,1,0.33,0.28,0.72,0.31,-,-,1,0.66,-,-,0.61,0.38,0.31
56,-,0.8,0.87,-,1,-,0.83,-,0.73,-,0.88,0,1,-
57,1,1,0.7,-,-,-,-,-,-,-,-,-,-,-
