29,-,-,-,0.21,-,0.37,0.94,0.06,-,-,-,-,-,0.5
30,-,-,-,-,1,-,0.75,0.25,-,-,1,-,-,0.45
31,-,-,-,-,0.62,-,-,0.93,-,-,0.65,-,0.9,-
32,-,-,-,-,1,-,0.21,0.79,0.81,-,1,-,0.54,-
33,-,-,-,-,0.4,-,0.02,-,-,-,-,0.27,-,-
34,-,-,-,-,-,-,-,-,-,-,0.2,-,-,-
35,-,-,-,-,1,-,0,0.8,-,-,-,0.8,1,-
36,-,-,-,-,0.05,-,-,0.92,-,-,0.21,0.35,0.17,0.67
37,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,-,-,-,-,-,0.57,0.07,0.27,-,-,-,0.73,-,0.4
39,-,-,-,-,-,-,-,0.03,-,-,-,0.29,0.39,-
40,-,-,-,-,-,-,-,-,-,-,-,0.09,-,-
41,-,-,-,-,-,-,-,-,-,-,0.29,-,-,-
42,-,-,-,-,1,-,0.32,-,-,-,1,-,-,1
43,-,-,-,-,0.79,-,0.34,0.66,-,-,0.3,0.7,1,-
44,-,-,-,-,-,-,-,0.03,-,-,-,-,-,-
45,0.17,-,-,-,0.09,0.72,0.15,0.65,-,-,0.05,0.95,-,0.07
46,-,-,-,-,0.45,-,-,1,-,-,-,1,0.17,0.83
47,0.15,-,-,-,-,1,0.56,0.44,-,-,0.22,-,1,-
48,-,-,-,-,0.65,-,1,-,-,-,0.67,0.18,-,1
49,-,-,-,-,0.32,0.51,0.74,0.26,-,-,-,0.62,-,0.98
50,-,-,-,-,1,-,1,-,0.9,-,-,0.48,-,-
51,-,-,0.67,0.33,-,-,-,1,-,-,0.52,0.48,0.3,0.7
52,-,-,-,-,0.25,-,-,0.29,-,-,-,0.64,-,1
53,-,-,-,-,0.53,-,-,-,-,-,-,-,0.82,0.18
54,-,-,-,-,0.48,-,-,-,-,-,0.31,-,-,-
55,0.73,0.05,-,-,-,0.46,0.27,0.73,-,-,0.59,0.27,-,-
56,-,-,-,-,-,0.78,0.18,0.82,-,-,-,-,-,0.8
57,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,-,-,-,-,-,-,0.42,-,-,-,-,0.58,-,1
59,0.05,-,-,-,0.87,-,0.77,-,-,-,1,-,0.72,-
60,-,-,-,-,-,-,-,-,-,-,0.53,0.47,1,-
61,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,-,-,-,-,0.14,0.5,-,1,-,-,-,0.73,0.77,-
63,1,-,-,-,-,1,0.81,0.19,0.07,-,1,-,0.19,-
64,-,-,0.45,-,0.73,-,-,1,-,0.22,-,1,-,0.65
65,-,-,-,-,0.44,-,0.23,-,-,-,1,-,0.77,0.23
66,-,-,-,-,0.22,0.33,0.88,0.12,0.03,0.49,1,-,-,0.47
67,-,-,-,-,-,1,0.77,-,-,-,1,-,0.62,0.27
68,-,-,-,-,0.37,-,-,1,-,-,0.44,-,1,-
69,0.75,-,-,-,0.51,-,0.54,-,-,-,1,-,-,1
70,-,1,-,-,-,1,0.07,-,1,-,-,0.05,-,-
71,-,-,-,-,-,0.86,-,1,-,-,0.57,0.43,0.68,-
72,-,-,-,-,0.87,-,1,-,-,-,-,0.64,0.25,0.59
72,0.86,-,-,-,-,1,-,-,-,-,1,-,0,1
73,-,-,-,-,0.73,-,0.49,0.22,0.03,-,0.53,0.47,0.99,-
74,-,-,-,-,-,0.83,-,0.43,-,0.02,0.44,0.28,0.47,-
75,-,-,-,-,0.85,-,-,-,-,-,-,0.35,0.25,-
76,-,-,-,-,-,-,-,0.07,-,-,-,-,-,-
76,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,-,-,-,-,1,-,0.24,-,-,-,0.12,0.88,-,0.62
78,-,-,-,-,0.27,0.62,0.54,0.46,-,0.75,0.79,0.21,0.22,-
79,-,-,-,-,0.13,-,1,-,-,0.6,0.59,-,0.44,-
80,-,-,-,-,-,1,1,-,-,-,0.82,-,-,-
81,-,-,-,-,-,0.32,-,-,-,-,0.54,0.38,-,-
82,-,-,-,-,0.26,-,-,-,-,-,-,-,0.41,0.59
83,0.97,-,-,-,-,0.43,0.33,0.15,-,-,-,-,-,-
84,-,-,-,-,-,-,-,-,-,-,0.47,-,0.38,0.32
85,-,-,-,-,-,-,0.03,-,-,-,0.4,0.11,-,-
86,-,-,-,-,-,1,0.37,0.63,-,-,1,-,-,0.83
87,-,-,-,-,-,0.09,0.33,0.67,-,-,0.56,-,-,0.76
88,-,-,-,-,0.28,-,0.86,-,-,-,-,-,-,-
89,-,-,-,-,1,-,1,-,-,-,0.05,-,-,-
90,-,-,-,-,-,0.85,-,1,-,-,0.51,-,0.9,-
92,-,-,-,-,-,0.35,0.25,0.75,-,-,0.4,0.08,1,-
93,-,-,-,-,0.18,0.22,0.28,0.23,-,-,1,-,0.04,-
95,-,-,-,-,0.02,-,0.08,0.34,-,-,0.07,-,-,0.51
96,-,-,-,-,-,-,-,0.61,-,-,-,-,-,-
97,-,-,-,-,-,0.24,0.36,0.64,-,-,0.41,-,0.45,0.23
98,-,-,-,-,-,0.12,1,-,-,-,0.59,-,0.62,-
99,-,-,-,-,-,-,1,-,-,-,-,-,-,-
100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,-,-,-,-,-,-,1,-,-,-,0.58,0.36,-,0.17
103,-,-,-,-,-,-,0.17,0.33,-,-,-,0.24,0.41,-
