Timestamp	Event	Descriptor	AoiNames	
0			Content	
102	ImageStart	fixation.png		
339			Content	
522			Content	
1055			Content	
1338			Content	
1638			Content	
1938			Content	
2371			Content	
3237			Content	
3787			Content	
4370			Content	
4653			Content	
5635			Content	
6451			Content	
7363	KeyPress	Space		
7363	ImageEnd	fixation.png		
8727	MovieStart	MutedBallie.avi		
9699	KeyPress	Space		
9700	MovieEnd	MutedBallie.avi		
10092	ImageStart	blacksquare.bmp		
10448			Content	
11365			Content	
12381			Content	
12764			Content	
13014			Content	
13313			Content	
13480			Content	
13647			Content	
14946			Content	
15063			Content	
15811	KeyPress	Space		
15811	ImageEnd	blacksquare.bmp		
16476	MovieStart	Julia_3.AVI		
18010			Content	
19237	MovieEnd	Julia_3.AVI		
19739	ImageStart	fixation.png		
19892			Content	
19992			Content	
20759			Content	
20992			Content	
21175			Content	
21508			Content	
21625			Content	
21808			Content	
22358			Content	
22641			Content	
23041			Content	
23515	KeyPress	Space		
23515	ImageEnd	fixation.png		
23536	ImageStart	arrow_crown.BMP		
24340			Content	
24589			Content	
30385			Content	
33233			Content	
40712			Content	
40978			Content	
41212			Content	
43294			Content	
43993			Content	
44310			Content	
44743			Content	
48906			Content	
49189			Content	
49373			Content	
49539			Content	
50222			Content	
53703			Content	
54286			Content	
54503			Content	
55169			Content	
55269			Content	
56035			Content	
56319			Content	
57168			Content	
57318			Content	
57501			Content	
58933			Content	
59167			Content	
59500			Content	
59699			Content	
61049			Content	
61382			Content	
61848			Content	
62531			Content	
63397			Content	
63680			Content	
64763			Content	
65063			Content	
65796			Content	
66898	KeyPress	Space		
66898	ImageEnd	arrow_crown.BMP		
66902	ImageStart	fixation.png		
66912			Content	
67512			Content	
67695			Content	
67878			Content	
70026			Content	
70376			Content	
71918	KeyPress	Space		
71918	ImageEnd	fixation.png		
71940	ImageStart	heart_moon.BMP		
74157			Content	
74473			Content	
75289			Content	
75639			Content	
85299			Content	
89097			Content	
90513	KeyPress	Space		
90514	ImageEnd	heart_moon.BMP		
90518	ImageStart	fixation.png		
93261			Content	
102572			Content	
102838			Content	
103105			Content	
103388			Content	
103671			Content	
104138			Content	
104520			Content	
104936			Content	
105453			Content	
106053			Content	
110682			Content	
111815			Content	
114797			Content	
115263			Content	
115513			Content	
115663			Content	
118410			Content	
136841	KeyPress	Escape		
136841	ImageEnd	fixation.png		
