Timestamp	Event	Descriptor	AoiNames	
0			Content	
101	ImageStart	blacksquare.bmp		
462			Content	
978			Content	
1211			Content	
1377			Content	
1694			Content	
1860			Content	
2193			Content	
2495	KeyPress	Space		
2495	ImageEnd	blacksquare.bmp		
2660			Content	
2874	MovieStart	Navjot_3_a.wmv		
5066	MovieEnd	Navjot_3_a.wmv		
5354	ImageStart	book_bottle.BMP		
8422			Content	
8638			Content	
8788			new	
8988			Content	
9355			new	
10021			Content	
10327	ImageEnd	book_bottle.BMP		
10343	ImageStart	blacksquare.bmp		
11286			Content	
11736			Content	
12169			Content	
12336			Content	
12340	ImageEnd	blacksquare.bmp		
12552			Content	
12848	MovieStart	Navjot_3_a.wmv		
13068			Content	
13435			Content	
13785			Content	
14351			Content	
14650			Content	
14850			Content	
15029	MovieEnd	Navjot_3_a.wmv		
15340	ImageStart	stove_refrigerator.BMP		
15966			Content	
18714			Content	
20312	ImageEnd	stove_refrigerator.BMP		
20323	ImageStart	blacksquare.bmp		
21429			Content	
21795			Content	
21895			Content	
22323	ImageEnd	blacksquare.bmp		
22943	MovieStart	Navjot_3_a.wmv		
24360			Content	
25009			Content	
25093			Content	
25109	MovieEnd	Navjot_3_a.wmv		
25442			Content	
25619	ImageStart	sailboat_bicycle.BMP		
26025			Content	
28224			Content	
28440			Content	
28807			Content	
29190			Content	
29290			Content	
30139			Content	
30222			Content	
30322			Content	
30592	ImageEnd	sailboat_bicycle.BMP		
30604	ImageStart	blacksquare.bmp		
32154			Content	
32254			Content	
32602	ImageEnd	blacksquare.bmp		
33170			Content	
33256	MovieStart	Navjot_3_a.wmv		
33270			Content	
33636			Content	
33736			Content	
34119			Content	
34336			Content	
34702			Content	
35152			Content	
35418			Content	
35434	MovieEnd	Navjot_3_a.wmv		
35718			Content	
36218			Content	
36391	ImageStart	pig_elephant.BMP		
36852			new	
37318			new	
37568			new	
37868			old	
38101			old	
38900			Content	
39150			new	
39766			old	
40049			old	
40849			old	
41370	ImageEnd	pig_elephant.BMP		
41382	ImageStart	blacksquare.bmp		
41465			Content	
42148			Content	
42381			Content	
42847			Content	
43382	ImageEnd	blacksquare.bmp		
43613			Content	
43846			Content	
43913	MovieStart	Navjot_3_a.wmv		
44263			Content	
44379			Content	
44779			Content	
46077	MovieEnd	Navjot_3_a.wmv		
46561			Content	
46828			Content	
47061			Content	
47159	ImageStart	fish_bee.BMP		
47394			old	
47627			old	
47927			old	
48493			new	
48943			new	
52135	ImageEnd	fish_bee.BMP		
52156	ImageStart	blacksquare.bmp		
54163	ImageEnd	blacksquare.bmp		
54690	MovieStart	Navjot_3_a.wmv		
55420			Content	
56453			Content	
56879	MovieEnd	Navjot_3_a.wmv		
56936			Content	
57702			Content	
57748	ImageStart	ostrich_fly.BMP		
57968			old	
58135			old	
59617			Content	
59800			Content	
60567			old	
61083			new	
61350			new	
62633			old	
62728	ImageEnd	ostrich_fly.BMP		
62741	ImageStart	blacksquare.bmp		
64065			Content	
64481			Content	
64740	ImageEnd	blacksquare.bmp		
65047			Content	
65301	MovieStart	Navjot_3_a.wmv		
65730			Content	
65880			Content	
67470	MovieEnd	Navjot_3_a.wmv		
68045			Content	
68294			Content	
68547	ImageStart	wheel_window.BMP		
68778			old	
68977			old	
69394			new	
69777			new	
70027			new	
73521	ImageEnd	wheel_window.BMP		
73536	ImageStart	blacksquare.bmp		
75389			Content	
75533	ImageEnd	blacksquare.bmp		
76042	MovieStart	Navjot_3_a.wmv		
76288			Content	
76388			Content	
77054			Content	
77171			Content	
77337			Content	
77571			Content	
78237	MovieEnd	Navjot_3_a.wmv		
78453			Content	
79442	ImageStart	doorknob_bell.BMP		
80019			Content	
80518			Content	
80851			Content	
83316			Content	
84399			Content	
84410	ImageEnd	doorknob_bell.BMP		
84421	ImageStart	blacksquare.bmp		
84948			Content	
86423	ImageEnd	blacksquare.bmp		
86961	MovieStart	Navjot_3_a.wmv		
88929			Content	
89131	MovieEnd	Navjot_3_a.wmv		
89495			Content	
89862			Content	
89979	ImageStart	swing_door.BMP		
90294			Content	
91277			Content	
91877			Content	
93226			Content	
93376			Content	
93509			new	
93625			new	
93842			new	
93992			new	
94142			Content	
94441			Content	
94591			Content	
94775			new	
94956	ImageEnd	swing_door.BMP		
94968	ImageStart	blacksquare.bmp		
95074			Content	
95308			Content	
95807			Content	
95907			Content	
96540			Content	
96723			Content	
96890			Content	
96968	ImageEnd	blacksquare.bmp		
97023			Content	
97223			Content	
97519	MovieStart	Navjot_3_a.wmv		
98455			Content	
98738			Content	
98888			Content	
99155			Content	
99696	MovieEnd	Navjot_3_a.wmv		
100784	ImageStart	train_bus.BMP		
102036			old	
102252			old	
102586			new	
105753	ImageEnd	train_bus.BMP		
105765	ImageStart	blacksquare.bmp		
107648			Content	
107762	ImageEnd	blacksquare.bmp		
107865			Content	
108339	MovieStart	Navjot_3_a.wmv		
109064			Content	
109264			Content	
110296			Content	
110507	MovieEnd	Navjot_3_a.wmv		
110996			Content	
111413			Content	
111633	ImageStart	spoon_fork.BMP		
112029			old	
112328			old	
112612			new	
113378			new	
113662			Content	
114343			Content	
115726			old	
115809			old	
116009			old	
116609	ImageEnd	spoon_fork.BMP		
116621	ImageStart	blacksquare.bmp		
117008			Content	
117241			Content	
118241			Content	
118619	ImageEnd	blacksquare.bmp		
118741			Content	
119209	MovieStart	Navjot_3_a.wmv		
119574			Content	
119857			Content	
120890			Content	
121373			Content	
121387	MovieEnd	Navjot_3_a.wmv		
121972			Content	
122105			Content	
122254	ImageStart	socks_pants.BMP		
122688			Content	
122855			old	
123454			old	
123854			old	
124237			old	
124770			old	
126218			Content	
126834			Content	
127233	ImageEnd	socks_pants.BMP		
127245	ImageStart	blacksquare.bmp		
127450			Content	
128233			Content	
128782			Content	
128882			Content	
129099			Content	
129243	ImageEnd	blacksquare.bmp		
129732			Content	
129757	MovieStart	Navjot_3_a.wmv		
129965			Content	
130181			Content	
130331			Content	
131047			Content	
131530			Content	
131613			Content	
131933	MovieEnd	Navjot_3_a.wmv		
133106	ImageStart	toe_finger.BMP		
134645			Content	
134878			Content	
135144			Content	
136277			Content	
138073	ImageEnd	toe_finger.BMP		
138085	ImageStart	blacksquare.bmp		
138326			Content	
138892			Content	
139058			Content	
139408			Content	
139874			Content	
140087	ImageEnd	blacksquare.bmp		
140291			Content	
140530	MovieStart	Navjot_3_a.wmv		
140924			Content	
141007			Content	
142489			Content	
142705	MovieEnd	Navjot_3_a.wmv		
143389			Content	
143655	ImageStart	snowman_clown.BMP		
144121			new	
144454			new	
145354			new	
145870			old	
146253			old	
147485			new	
147985			old	
148635	ImageEnd	snowman_clown.BMP		
148648	ImageStart	blacksquare.bmp		
148751			Content	
149051			Content	
149467			Content	
149717			Content	
150217			Content	
150583			Content	
150647	ImageEnd	blacksquare.bmp		
151139	MovieStart	Navjot_3_a.wmv		
152115			Content	
152381			Content	
153303	MovieEnd	Navjot_3_a.wmv		
153580			Content	
154331	ImageStart	tiger_alligator.BMP		
154696			Content	
156212			old	
156345			old	
157428			new	
157895			new	
158411			new	
158761			new	
159161			new	
159306	ImageEnd	tiger_alligator.BMP		
159317	ImageStart	blacksquare.bmp		
159410			Content	
159693			Content	
159943			Content	
160143			Content	
160792			Content	
160892			Content	
161209			Content	
161316	ImageEnd	blacksquare.bmp		
161542			Content	
161773	MovieStart	Navjot_3_a.wmv		
162292			Content	
162375			Content	
163939	MovieEnd	Navjot_3_a.wmv		
164205	ImageStart	table_chair.BMP		
164239			Content	
164473			Content	
164989			new	
165305			new	
165638			Content	
169179	ImageEnd	table_chair.BMP		
169197	ImageStart	blacksquare.bmp		
170001			Content	
170618			Content	
171191	ImageEnd	blacksquare.bmp		
171712	MovieStart	Navjot_3_a.wmv		
173885	MovieEnd	Navjot_3_a.wmv		
174725	ImageStart	shoe_boot.BMP		
178079			Content	
179695	ImageEnd	shoe_boot.BMP		
179707	ImageStart	blacksquare.bmp		
180244			Content	
180793			Content	
180876			Content	
181126			Content	
181707	ImageEnd	blacksquare.bmp		
181809			Content	
182192			Content	
