Timestamp	Event	Descriptor	AoiNames	
91	ImageStart	fixation.png		
211			Content	
810			Content	
2701	KeyPress	Space		
2701	ImageEnd	fixation.png		
3109			Content	
3358			Content	
3658			Content	
4074			Content	
4169	MovieStart	Navjot_3_a.wmv		
4441			Content	
6352	MovieEnd	Navjot_3_a.wmv		
6673			old	
6818	ImageStart	star_cloud.BMP		
7155			old	
7605			old	
7938			Content	
8155			old	
8604			Content	
9471			old	
9704			old	
9987			old	
10320			old	
10803			Content	
11086			old	
11635			old	
11802	ImageEnd	star_cloud.BMP		
11935			Content	
12185			Content	
12368			Content	
12434	MovieStart	Navjot_3_a.wmv		
12651			Content	
12867			Content	
14603	MovieEnd	Navjot_3_a.wmv		
14933			new	
14938	ImageStart	glass_bowl.BMP		
15282			Content	
15865			new	
16215			new	
16948			Content	
17497			Content	
18130			new	
18463			new	
19329			new	
19529			new	
19762			Content	
19911	ImageEnd	glass_bowl.BMP		
20145			Content	
20379			Content	
20621	MovieStart	Navjot_3_a.wmv		
20845			Content	
22796	MovieEnd	Navjot_3_a.wmv		
23093			new	
23220	ImageStart	watermelon_orange.BMP		
23593			new	
23793			Content	
24076			new	
24292			new	
24859			Content	
25075			Content	
25292			new	
25841			Content	
26391			new	
26474			Content	
27357			Content	
27657			Content	
28195	ImageEnd	watermelon_orange.BMP		
28273			Content	
28606			Content	
28773	MovieStart	Navjot_3_a.wmv		
28872			Content	
30522			Content	
30953	MovieEnd	Navjot_3_a.wmv		
31055			old	
31253	ImageStart	ball_drum.BMP		
31438			old	
31804			Content	
32071			old	
32870			old	
34802			Content	
35352			Content	
36231	ImageEnd	ball_drum.BMP		
36568			Content	
36751			Content	
36897	MovieStart	Navjot_3_a.wmv		
37084			Content	
39079	MovieEnd	Navjot_3_a.wmv		
39416			new	
39429	ImageStart	duck_frog.BMP		
39765			new	
40182			new	
41198			new	
41997			new	
42297			new	
44262			new	
44405	ImageEnd	duck_frog.BMP		
44762			Content	
45048	MovieStart	Navjot_3_a.wmv		
45261			Content	
47216	MovieEnd	Navjot_3_a.wmv		
47510			Content	
47523	ImageStart	sun_tree.BMP		
47726			old	
47943			old	
48476			old	
48792			Content	
49175			Content	
49858			old	
50941			Content	
51474			Content	
52256			old	
52503	ImageEnd	sun_tree.BMP		
52839			Content	
52868	MovieStart	Navjot_3_a.wmv		
53022			Content	
53189			Content	
53355			Content	
55053	MovieEnd	Navjot_3_a.wmv		
55416	ImageStart	ring_watch.BMP		
55687			old	
56070			old	
56686			Content	
56869			Content	
57769			old	
60200			old	
60394	ImageEnd	ring_watch.BMP		
60767			Content	
60961	MovieStart	Navjot_3_a.wmv		
60966			Content	
61150			Content	
61366			Content	
62882			Content	
