Timestamp	Event	Descriptor	AoiNames	
0			Content	
26			Content	
102	ImageStart	fixation.png		
425			Content	
2241			Content	
2341			Content	
4333	KeyPress	Space		
4333	ImageEnd	fixation.png		
4788	MovieStart	Navjot_3_a.wmv		
6960	MovieEnd	Navjot_3_a.wmv		
7671			Content	
7940	ImageStart	butterfly_ant.BMP		
7987			Content	
8170			new	
8437			new	
8637			old	
9003			old	
9353			new	
9703			new	
10785			old	
11235			new	
11701			new	
12018			Content	
12501			new	
12913	ImageEnd	butterfly_ant.BMP		
13701	MovieStart	Navjot_3_a.wmv		
13850			Content	
15366			Content	
15880	MovieEnd	Navjot_3_a.wmv		
16332			Content	
16713	ImageStart	balloon_kite.BMP		
17631			old	
17797			new	
18397			new	
18897			old	
19580			old	
19929			old	
20113			old	
20362			Content	
20662			Content	
20745			Content	
20963			Content	
21681	ImageEnd	balloon_kite.BMP		
22433	MovieStart	Navjot_3_a.wmv		
22678			Content	
22877			Content	
23077			Content	
24636	MovieEnd	Navjot_3_a.wmv		
25093			Content	
25457	ImageStart	grapes_peach.BMP		
25576			old	
25676			new	
25959			new	
26608			old	
27608			new	
27858			new	
28524			new	
28974			new	
30189			new	
30432	ImageEnd	grapes_peach.BMP		
30456			Content	
31336	MovieStart	Navjot_3_a.wmv		
31672			Content	
32371			Content	
33510	MovieEnd	Navjot_3_a.wmv		
33953			Content	
34303			Content	
34387	ImageStart	lamp_television.BMP		
34820			new	
35169			new	
35286			old	
35719			old	
35935			old	
36452			new	
36668			new	
37318			new	
37518			new	
37784			new	
37967			new	
38500			Content	
38584			old	
38850			old	
39354	ImageEnd	lamp_television.BMP		
39733			Content	
40057	MovieStart	Navjot_3_a.wmv		
40249			Content	
40532			Content	
42247	MovieEnd	Navjot_3_a.wmv		
42781			Content	
43099	ImageStart	tomato_carrot.BMP		
43331			Content	
43580			new	
43880			new	
44180			old	
44447			old	
45746			old	
46062			old	
46329			old	
47378			old	
48011			new	
48075	ImageEnd	tomato_carrot.BMP		
48461			Content	
48866	MovieStart	Navjot_3_a.wmv		
48944			Content	
49293			Content	
51042	MovieEnd	Navjot_3_a.wmv		
51076			Content	
52458			new	
52515	ImageStart	bird_turtle.BMP		
52624			Content	
53207			old	
53474			old	
54273			new	
55106			old	
55306			old	
56272			new	
56489			new	
57483	ImageEnd	bird_turtle.BMP		
58185	MovieStart	Navjot_3_a.wmv		
58620			Content	
58820			Content	
60382	MovieEnd	Navjot_3_a.wmv		
61197	ImageStart	cow_horse.BMP		
61619			Content	
61735			new	
62185			old	
63001			Content	
63184			new	
63401			new	
63867			old	
64183			new	
64467			new	
64933			old	
65233			new	
65416			new	
66171	ImageEnd	cow_horse.BMP		
66842	MovieStart	Navjot_3_a.wmv		
67132			Content	
67265			Content	
69019	MovieEnd	Navjot_3_a.wmv		
69414			Content	
69747			Content	
69816	ImageStart	strawberry_banana.BMP		
69913			Content	
70429			Content	
70613			new	
72978			Content	
73311			new	
73644			new	
74477			old	
74783	ImageEnd	strawberry_banana.BMP		
74860			Content	
75143			Content	
75493			Content	
75662	MovieStart	Navjot_3_a.wmv		
75742			Content	
75976			Content	
77829	MovieEnd	Navjot_3_a.wmv		
78507			old	
78989	ImageStart	barn_house.BMP		
79457			old	
79707			old	
80156			new	
80822			new	
81056			old	
81339			new	
81905			new	
82288			new	
82854			new	
83404			old	
83487			old	
83956	ImageEnd	barn_house.BMP		
83970			Content	
84826	MovieStart	Navjot_3_a.wmv		
84953			Content	
86999	MovieEnd	Navjot_3_a.wmv		
87840	ImageStart	clock_telephone.BMP		
89084			new	
89217			new	
89567			old	
90000			old	
90599			new	
90899			new	
91865			old	
92215			old	
