Timestamp	Event	Descriptor	AoiNames	
0			Content	
98			Content	
331	MovieStart	MutedBallie.avi		
547			Content	
709	KeyPress	Space		
709	MovieEnd	MutedBallie.avi		
1247			Content	
1730			Content	
2046			Content	
2089	ImageStart	blacksquare.bmp		
2329			Content	
3312			Content	
3421	KeyPress	Space		
3421	ImageEnd	blacksquare.bmp		
3425	ImageStart	fixation.png		
3612			Content	
3928			Content	
4427	ImageEnd	fixation.png		
4449	ImageStart	Slide1.JPG		
4644			AOI_1	
5427			AOI_1	
5510			Content	
6393			AOI_1	
7009			Content	
7892			AOI_1	
8075			AOI_1	
8885	KeyPress	Space		
8885	ImageEnd	Slide1.JPG		
8890	ImageStart	fixation.png		
9074			Content	
9507			Content	
9887	ImageEnd	fixation.png		
9915	ImageStart	Slide2.JPG		
10107			AOI_1	
10323			AOI_1	
11373			AOI_1	
11839			Content	
12439			AOI_1	
12655			AOI_1	
13221			AOI_1	
13471			AOI_1	
13754			AOI_1	
14137			AOI_1	
14604			AOI_1	
14903			AOI_1	
15470			AOI_1	
15803			AOI_1	
15861	KeyPress	Space		
15861	ImageEnd	Slide2.JPG		
15865	ImageStart	fixation.png		
16069			Content	
16452			Content	
16875	ImageEnd	fixation.png		
16904	ImageStart	Slide3.JPG		
17062	KeyPress	Space		
17063	ImageEnd	Slide3.JPG		
17085			Content	
18331	ImageStart	fixation.png		
18453	KeyPress	Escape		
18453	ImageEnd	fixation.png		
