Timestamp	Event	Descriptor	AoiNames	
323	MovieStart	MutedBallie.avi		
1830			Content	
2130			Content	
2446			Content	
2646			Content	
2896			Content	
3968	KeyPress	Space		
3968	MovieEnd	MutedBallie.avi		
4282	ImageStart	blacksquare.bmp		
4978			Content	
5361			Content	
5744			Content	
5994			Content	
6460			Content	
7088	KeyPress	Space		
7088	ImageEnd	blacksquare.bmp		
7109	ImageStart	Slide1.JPG		
7109			Content	
7559			Content	
7642			Content	
7826			AOI_1	
8608			AOI_1	
9608			AOI_1	
10424			AOI_1	
10674			AOI_1	
10840			AOI_1	
11723			Content	
11973			AOI_1	
12755			AOI_1	
13188			Content	
13384	KeyPress	Space		
13384	ImageEnd	Slide1.JPG		
13392	ImageStart	blacksquare.bmp		
13505			Content	
13621			Content	
13738			Content	
14008	KeyPress	Space		
14008	ImageEnd	blacksquare.bmp		
14033	ImageStart	Slide2.JPG		
14071			Content	
14254			AOI_1	
14554			AOI_1	
15237			AOI_1	
16586			Content	
17951			AOI_1	
18035			AOI_1	
18901			AOI_1	
19672	KeyPress	Space		
19672	ImageEnd	Slide2.JPG		
19680	ImageStart	blacksquare.bmp		
19800			Content	
19883			Content	
20050			Content	
20183			Content	
20499			Content	
20512	KeyPress	Space		
20512	ImageEnd	blacksquare.bmp		
20533	ImageStart	Slide3.JPG		
20749			Content	
20966			correct	
21232			Content	
21399			Content	
21549			correct	
22381			correct	
22465			correct	
22714			correct	
22964			incorrect	
23280			incorrect	
23847			incorrect	
25446			correct	
25729			correct	
25978			incorrect	
26228			incorrect	
26428			correct	
26911			correct	
26976	KeyPress	Space		
26976	ImageEnd	Slide3.JPG		
26984	ImageStart	blacksquare.bmp		
27727			Content	
27984	KeyPress	Space		
27984	ImageEnd	blacksquare.bmp		
28005	ImageStart	Slide4.JPG		
28094			incorrect	
28343			Content	
28543			incorrect	
29176			correct	
29426			correct	
31441			correct	
31841			Content	
32191			correct	
33390			Content	
33523			incorrect	
33790			incorrect	
35680	KeyPress	Space		
35680	ImageEnd	Slide4.JPG		
35687	ImageStart	blacksquare.bmp		
36138			Content	
36421			Content	
36584	KeyPress	Space		
36584	ImageEnd	blacksquare.bmp		
36604	ImageStart	Slide5.JPG		
36621			Content	
37021			incorrect	
37104			incorrect	
37420			incorrect	
37970			incorrect	
38303			incorrect	
38786			incorrect	
38953			incorrect	
39719			incorrect	
39969			correct	
40268			correct	
40652			Content	
41534			correct	
41834			Content	
42001			incorrect	
42517			incorrect	
43066			correct	
43349			incorrect	
43783			correct	
44082			Content	
44732			correct	
45431			incorrect	
45948			incorrect	
46764			incorrect	
46964			correct	
47159	KeyPress	Space		
47159	ImageEnd	Slide5.JPG		
47167	ImageStart	blacksquare.bmp		
47687	KeyPress	Space		
47688	ImageEnd	blacksquare.bmp		
47709	ImageStart	Slide6.JPG		
47746			Content	
48029			correct	
48462			correct	
48929			correct	
49462			incorrect	
49712			incorrect	
51427			correct	
51827			correct	
52759			incorrect	
53042			incorrect	
53209			incorrect	
53742			correct	
54008			correct	
54291			Content	
55175	KeyPress	Space		
55175	ImageEnd	Slide6.JPG		
55183	ImageStart	blacksquare.bmp		
55624			Content	
55703	KeyPress	Space		
55703	ImageEnd	blacksquare.bmp		
55725	ImageStart	Slide7.JPG		
55840			Content	
56057			incorrect	
56240			correct	
56490			correct	
56906			correct	
57189			Content	
58971			Content	
59654			incorrect	
60770			incorrect	
60937			incorrect	
61819			incorrect	
63135			incorrect	
63368			incorrect	
63928	KeyPress	Space		
63928	ImageEnd	Slide7.JPG		
63935	ImageStart	blacksquare.bmp		
64001			Content	
64317			Content	
64519	KeyPress	Space		
64519	ImageEnd	blacksquare.bmp		
64534			Content	
64540	ImageStart	Slide8.JPG		
64800			Content	
65000			incorrect	
65266			Content	
65849			correct	
66132			Content	
66482			correct	
66882			correct	
67132			correct	
67698			incorrect	
67915			Content	
68164			incorrect	
68781			correct	
69264			Content	
69347			Content	
69896			Content	
71595			correct	
71679			correct	
71912			Content	
72411			Content	
72611			Content	
73260			incorrect	
73591	KeyPress	Space		
73591	ImageEnd	Slide8.JPG		
73612	InstructionStart	Instruction Element		
73893			Content	
74060			Content	
75575	KeyPress	Escape		
75575	InstructionEnd	Instruction Element		
