
Timestamp	Event	Descriptor	
112	ImageStart	fixation.png	
2272	KeyPress	Space	
2272	ImageEnd	fixation.png	
3273	MovieStart	MutedBallie.avi	
4368	KeyPress	Space	
4368	MovieEnd	MutedBallie.avi	
4913	ImageStart	blacksquare.bmp	
17679	KeyPress	Space	
17680	ImageEnd	blacksquare.bmp	
18341	MovieStart	Julia_3.AVI	
21084	MovieEnd	Julia_3.AVI	
21414	ImageStart	fixation.png	
26359	KeyPress	Space	
26359	ImageEnd	fixation.png	
26380	ImageStart	arrow_crown.BMP	
45295	KeyPress	Space	
45295	ImageEnd	arrow_crown.BMP	
45299	ImageStart	fixation.png	
48223	KeyPress	Space	
48223	ImageEnd	fixation.png	
48244	ImageStart	heart_moon.BMP	
74502	KeyPress	Space	
74502	ImageEnd	heart_moon.BMP	
74506	ImageStart	fixation.png	
76566	KeyPress	Space	
76566	ImageEnd	fixation.png	
76588	ImageStart	sailboat_bicycle.BMP	
87950	KeyPress	Space	
87950	ImageEnd	sailboat_bicycle.BMP	
87954	ImageStart	fixation.png	
89478	KeyPress	Space	
89478	ImageEnd	fixation.png	
89499	ImageStart	wheel_window.BMP	
110758	KeyPress	Space	
110758	ImageEnd	wheel_window.BMP	
110762	ImageStart	fixation.png	
111622	KeyPress	Space	
111622	ImageEnd	fixation.png	
111643	ImageStart	fish_bee.BMP	
139213	KeyPress	Space	
139213	ImageEnd	fish_bee.BMP	
139217	ImageStart	fixation.png	
140805	KeyPress	Space	
140805	ImageEnd	fixation.png	
140826	ImageStart	pig_elephant.BMP	
152148	KeyPress	Space	
152149	ImageEnd	pig_elephant.BMP	
152152	ImageStart	fixation.png	
153477	KeyPress	Space	
153477	ImageEnd	fixation.png	
153498	ImageStart	sheep_monkey.BMP	
162708	KeyPress	Space	
162708	ImageEnd	sheep_monkey.BMP	
162712	ImageStart	fixation.png	
164300	KeyPress	Space	
164300	ImageEnd	fixation.png	
164322	ImageStart	ostrich_fly.BMP	
184764	KeyPress	Space	
184764	ImageEnd	ostrich_fly.BMP	
184768	ImageStart	fixation.png	
185908	KeyPress	Space	
185908	ImageEnd	fixation.png	
185929	ImageStart	tiger_alligator.BMP	
200260	KeyPress	Space	
200260	ImageEnd	tiger_alligator.BMP	
200264	ImageStart	fixation.png	
201260	KeyPress	Space	
201260	ImageEnd	fixation.png	
201281	ImageStart	doorknob_bell.BMP	
207667	KeyPress	Space	
207667	ImageEnd	doorknob_bell.BMP	
207671	ImageStart	fixation.png	
210611	KeyPress	Space	
210612	ImageEnd	fixation.png	
210633	ImageStart	shoe_boot.BMP	
220947	KeyPress	Space	
220947	ImageEnd	shoe_boot.BMP	
220951	ImageStart	fixation.png	
222179	KeyPress	Space	
222179	ImageEnd	fixation.png	
222202	ImageStart	table_chair.BMP	
226683	KeyPress	Space	
226683	ImageEnd	table_chair.BMP	
226687	ImageStart	fixation.png	
228179	KeyPress	Space	
228179	ImageEnd	fixation.png	
228201	ImageStart	socks_pants.BMP	
237555	KeyPress	Space	
237555	ImageEnd	socks_pants.BMP	
237559	ImageStart	fixation.png	
239115	KeyPress	Space	
239115	ImageEnd	fixation.png	
239136	ImageStart	dress_jacket.BMP	
246050	KeyPress	Space	
246051	ImageEnd	dress_jacket.BMP	
246055	ImageStart	fixation.png	
247040	KeyPress	Space	
247040	ImageEnd	fixation.png	
247062	ImageStart	book_bottle.BMP	
255459	KeyPress	Space	
255459	ImageEnd	book_bottle.BMP	
255462	ImageStart	fixation.png	
256290	KeyPress	Space	
256290	ImageEnd	fixation.png	
257863	ImageStart	stove_refrigerator.BMP	
257863	KeyPress	Space	
257863	ImageEnd	stove_refrigerator.BMP	
257885	ImageStart	fixation.png	
258762	KeyPress	Space	
258762	ImageEnd	fixation.png	
258784	ImageStart	swing_door.BMP	
264714	KeyPress	Space	
264714	ImageEnd	swing_door.BMP	
264718	ImageStart	fixation.png	
265522	KeyPress	Space	
265522	ImageEnd	fixation.png	
265543	ImageStart	spoon_fork.BMP	
281722	KeyPress	Space	
281722	ImageEnd	spoon_fork.BMP	
281726	ImageStart	fixation.png	
282610	KeyPress	Space	
282610	ImageEnd	fixation.png	
282631	ImageStart	toe_finger.BMP	
289850	KeyPress	Space	
289850	ImageEnd	toe_finger.BMP	
289854	ImageStart	fixation.png	
291153	KeyPress	Space	
291154	ImageEnd	fixation.png	
291175	ImageStart	snowman_clown.BMP	
295905	KeyPress	Space	
295906	ImageEnd	snowman_clown.BMP	
295909	ImageStart	fixation.png	
297346	KeyPress	Space	
297346	ImageEnd	fixation.png	
297367	ImageStart	truck_car.BMP	
305233	KeyPress	Space	
305234	ImageEnd	truck_car.BMP	
305237	ImageStart	fixation.png	
306153	KeyPress	Space	
306153	ImageEnd	fixation.png	
306175	ImageStart	train_bus.BMP	
313705	KeyPress	Space	
313705	ImageEnd	train_bus.BMP	
313712	ImageStart	whiteborder.bmp	
314609	KeyPress	Space	
314609	ImageEnd	whiteborder.bmp	
315217	MovieStart	congratulations.wmv	
316881	KeyPress	Space	
317217	KeyPress	Space	
317609	KeyPress	Escape	
317609	MovieEnd	congratulations.wmv	
