Timestamp	Event	Descriptor	
112	ImageStart	fixation.png	
3712	KeyPress	Space	
3712	ImageEnd	fixation.png	
4304	MovieStart	MutedBallie.avi	
5248	KeyPress	Space	
5248	MovieEnd	MutedBallie.avi	
5779	ImageStart	blacksquare.bmp	
8432	KeyPress	Space	
8432	ImageEnd	blacksquare.bmp	
8983	MovieStart	Julia_3.AVI	
11730	MovieEnd	Julia_3.AVI	
12015	ImageStart	fixation.png	
15887	KeyPress	Space	
15888	ImageEnd	fixation.png	
15909	ImageStart	arrow_crown.BMP	
26823	KeyPress	Space	
26823	ImageEnd	arrow_crown.BMP	
26828	ImageStart	fixation.png	
28408	KeyPress	Space	
28408	ImageEnd	fixation.png	
28428	ImageStart	heart_moon.BMP	
66279	KeyPress	Space	
66279	ImageEnd	heart_moon.BMP	
66283	ImageStart	fixation.png	
67567	KeyPress	Space	
67567	ImageEnd	fixation.png	
67588	ImageStart	watermelon_orange.BMP	
84799	KeyPress	Space	
84799	ImageEnd	watermelon_orange.BMP	
84803	ImageStart	fixation.png	
85302	KeyPress	Space	
85303	ImageEnd	fixation.png	
85324	ImageStart	ring_watch.BMP	
107526	KeyPress	Space	
107526	ImageEnd	ring_watch.BMP	
107530	ImageStart	fixation.png	
108686	KeyPress	Space	
108686	ImageEnd	fixation.png	
108707	ImageStart	duck_frog.BMP	
116862	KeyPress	Escape	
116862	ImageEnd	duck_frog.BMP	
