Timestamp	Event	Descriptor	
104	ImageStart	fixation.png	
14669	KeyPress	Space	
14669	ImageEnd	fixation.png	
16885	MovieStart	MutedBallie.avi	
21517	KeyPress	Space	
21518	MovieEnd	MutedBallie.avi	
21916	ImageStart	blacksquare.bmp	
25429	KeyPress	Space	
25429	ImageEnd	blacksquare.bmp	
26236	MovieStart	Julia_3.AVI	
28994	MovieEnd	Julia_3.AVI	
29353	ImageStart	fixation.png	
32381	KeyPress	Space	
32381	ImageEnd	fixation.png	
32402	ImageStart	arrow_crown.BMP	
43486	KeyPress	Right	
43486	ImageEnd	arrow_crown.BMP	
43491	ImageStart	fixation.png	
45645	KeyPress	Space	
45645	ImageEnd	fixation.png	
45666	ImageStart	heart_moon.BMP	
63333	KeyPress	Left	
63333	ImageEnd	heart_moon.BMP	
63337	ImageStart	fixation.png	
69300	KeyPress	Space	
69301	ImageEnd	fixation.png	
69322	ImageStart	sailboat_bicycle.BMP	
71476	KeyPress	Left	
71476	ImageEnd	sailboat_bicycle.BMP	
71481	ImageStart	fixation.png	
76140	KeyPress	Space	
76140	ImageEnd	fixation.png	
76162	ImageStart	wheel_window.BMP	
78740	KeyPress	Right	
78741	ImageEnd	wheel_window.BMP	
78744	ImageStart	fixation.png	
84740	KeyPress	Escape	
84740	ImageEnd	fixation.png	
