Timestamp	Event	Descriptor	
102	ImageStart	fixation.png	
7363	KeyPress	Space	
7363	ImageEnd	fixation.png	
8727	MovieStart	MutedBallie.avi	
9699	KeyPress	Space	
9700	MovieEnd	MutedBallie.avi	
10092	ImageStart	blacksquare.bmp	
15811	KeyPress	Space	
15811	ImageEnd	blacksquare.bmp	
16476	MovieStart	Julia_3.AVI	
19237	MovieEnd	Julia_3.AVI	
19739	ImageStart	fixation.png	
23515	KeyPress	Space	
23515	ImageEnd	fixation.png	
23536	ImageStart	arrow_crown.BMP	
66898	KeyPress	Space	
66898	ImageEnd	arrow_crown.BMP	
66902	ImageStart	fixation.png	
71918	KeyPress	Space	
71918	ImageEnd	fixation.png	
71940	ImageStart	heart_moon.BMP	
90513	KeyPress	Space	
90514	ImageEnd	heart_moon.BMP	
90518	ImageStart	fixation.png	
136841	KeyPress	Escape	
136841	ImageEnd	fixation.png	
