"Subject","RT1","RT2","RT3","RT4","RT5","RT6","RT7","RT8","RT9","RT10","RT11","RT12","RT13","RT14","RT15","RT16","RT17","RT18","RT19","RT20"
155,5883,6194,2322,2993,3615,6959,5707,13111,5964,6477,10609,14939,3344,9821,9843,8587,4744,3189,6839,6977
156,5344,9526,4453,5997,3429,5279,4340,6944,3808,3393,2464,4650,4983,3311,8916,4331,4691,4181,1851,2014
157,35967,9467,4265,5762,2213,2713,4785,8330,4353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,20053,8969,28415,4527,12957,9326,31267,11349,18298,12942,27314,26141,14087,12781,10646,22572,8873,NA,NA,NA
160,2033,1671,1735,2364,2103,2915,4949,5487,2296,2684,2946,2544,2905,6493,2639,4882,5439,3094,4533,4743
161,7314,6184,2403,7570,6085,3872,4772,1831,8388,6081,9693,3542,6978,8242,26946,4928,6785,12478,3749,6128
162,5804,3002,3580,2689,1928,3349,2485,2403,2131,2584,1823,2786,1863,4596,11070,5991,8291,2995,1959,4296
164,3280,3993,1941,2136,2187,2094,1387,1574,1628,1885,2284,1304,4487,1893,9782,4150,1922,5104,4365,2367
165,3450,4532,3317,3795,2511,6124,3656,3154,3160,3800,3583,2774,6460,3475,2709,4914,2592,2243,2974,4755
166,3787,7195,7190,5403,26724,7374,2807,5295,4996,2251,2957,3367,4441,3059,3274,2999,3652,2063,5445,8917
167,4626,3178,2480,2074,2444,2615,2682,2331,3269,3787,2801,3560,1963,3412,2896,3945,3409,3613,2042,2894
169,28213,20488,3720,8461,3521,1864,1460,1976,2797,1824,1330,5236,6573,4685,5496,6862,1211,5902,4030,4974
170,2887,2916,9664,5271,6634,4950,7299,5976,7692,4523,10444,2596,11754,8138,14184,1718,2478,7635,4621,8154
171,8532,6727,6763,7789,7778,5535,23572,4659,14625,20463,20405,6612,6375,35914,27952,4495,7609,9598,7694,4318
173,2647,1827,1827,2027,2233,1561,1321,2231,1839,1643,2260,1868,1854,4335,8403,5479,11120,4459,11012,2736
174,2795,2006,1558,2506,2945,5818,4492,5085,3216,2867,1665,8653,14318,12011,9002,19291,4381,6566,8672,5192
