"Subject_ID","acc1","acc2","acc3","acc4","acc5","acc6","acc7","acc8","acc9","acc10","acc11","acc12","acc13","acc14","acc15","acc16","acc17","acc18","acc19","acc20"
101,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
102,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
103,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
106,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0
108,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0
109,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1
110,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0
111,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
112,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
114,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1
116,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
117,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
118,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1
123,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
128,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
129,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0
130,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1
131,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0
133,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
134,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
