Timestamp	Event	Descriptor	
341	MovieStart	MutedBallie.avi	
11063	MovieEnd	MutedBallie.avi	
11306	ImageStart	blacksquare.bmp	
21071	KeyPress	Space	
21071	ImageEnd	blacksquare.bmp	
21092	ImageStart	Slide1.JPG	
70030	KeyPress	Space	
70031	ImageEnd	Slide1.JPG	
70036	ImageStart	blacksquare.bmp	
84150	KeyPress	Space	
84150	ImageEnd	blacksquare.bmp	
84171	ImageStart	Slide2.JPG	
120261	KeyPress	Space	
120261	ImageEnd	Slide2.JPG	
120267	ImageStart	blacksquare.bmp	
123197	KeyPress	Space	
123197	ImageEnd	blacksquare.bmp	
123689	MovieStart	Julia_3.AVI	
126423	MovieEnd	Julia_3.AVI	
126609	ImageStart	blacksquare.bmp	
133341	KeyPress	Space	
133341	ImageEnd	blacksquare.bmp	
133363	ImageStart	spoon_fork.BMP	
165660	KeyPress	Right	
165660	ImageEnd	spoon_fork.BMP	
165666	ImageStart	blacksquare.bmp	
172060	KeyPress	Space	
172060	ImageEnd	blacksquare.bmp	
172082	ImageStart	socks_pants.BMP	
177900	KeyPress	Right	
177900	ImageEnd	socks_pants.BMP	
177906	ImageStart	blacksquare.bmp	
181996	KeyPress	Space	
181996	ImageEnd	blacksquare.bmp	
182017	ImageStart	stove_refrigerator.BMP	
184332	KeyPress	Right	
184332	ImageEnd	stove_refrigerator.BMP	
184338	ImageStart	blacksquare.bmp	
187844	KeyPress	Space	
187844	ImageEnd	blacksquare.bmp	
187865	ImageStart	snowman_clown.BMP	
190227	KeyPress	Left	
190228	ImageEnd	snowman_clown.BMP	
190233	ImageStart	blacksquare.bmp	
193868	KeyPress	Space	
193868	ImageEnd	blacksquare.bmp	
193889	ImageStart	swing_door.BMP	
196163	KeyPress	Left	
196163	ImageEnd	swing_door.BMP	
196169	ImageStart	blacksquare.bmp	
199451	KeyPress	Space	
199451	ImageEnd	blacksquare.bmp	
199472	ImageStart	dress_jacket.BMP	
201203	KeyPress	Left	
201203	ImageEnd	dress_jacket.BMP	
201209	ImageStart	blacksquare.bmp	
204667	KeyPress	Space	
204668	ImageEnd	blacksquare.bmp	
204688	ImageStart	fish_bee.BMP	
206667	KeyPress	Left	
206667	ImageEnd	fish_bee.BMP	
206673	ImageStart	blacksquare.bmp	
209860	KeyPress	Space	
209860	ImageEnd	blacksquare.bmp	
209880	ImageStart	shoe_boot.BMP	
211419	KeyPress	Right	
211419	ImageEnd	shoe_boot.BMP	
211425	ImageStart	blacksquare.bmp	
214187	KeyPress	Space	
214187	ImageEnd	blacksquare.bmp	
214208	ImageStart	table_chair.BMP	
216059	KeyPress	Right	
216059	ImageEnd	table_chair.BMP	
216064	ImageStart	blacksquare.bmp	
220723	KeyPress	Space	
220723	ImageEnd	blacksquare.bmp	
220744	ImageStart	doorknob_bell.BMP	
228891	KeyPress	Right	
228891	ImageEnd	doorknob_bell.BMP	
228897	ImageStart	whiteborder.bmp	
230867	KeyPress	Space	
230867	ImageEnd	whiteborder.bmp	
231565	MovieStart	Julia_3.AVI	
234297	MovieEnd	Julia_3.AVI	
234499	ImageStart	blacksquare.bmp	
238562	KeyPress	Space	
238562	ImageEnd	blacksquare.bmp	
238585	ImageStart	train_bus.BMP	
247186	KeyPress	Right	
247186	ImageEnd	train_bus.BMP	
247192	ImageStart	blacksquare.bmp	
251970	KeyPress	Space	
251970	ImageEnd	blacksquare.bmp	
251991	ImageStart	wheel_window.BMP	
253826	KeyPress	Left	
253826	ImageEnd	wheel_window.BMP	
253832	ImageStart	blacksquare.bmp	
259234	KeyPress	Space	
259234	ImageEnd	blacksquare.bmp	
259255	ImageStart	toe_finger.BMP	
260970	KeyPress	Left	
260970	ImageEnd	toe_finger.BMP	
260976	ImageStart	blacksquare.bmp	
264370	KeyPress	Space	
264370	ImageEnd	blacksquare.bmp	
264391	ImageStart	book_bottle.BMP	
265866	KeyPress	Right	
265866	ImageEnd	book_bottle.BMP	
265872	ImageStart	blacksquare.bmp	
269266	KeyPress	Space	
269266	ImageEnd	blacksquare.bmp	
269287	ImageStart	ostrich_fly.BMP	
271050	KeyPress	Right	
271050	ImageEnd	ostrich_fly.BMP	
271055	ImageStart	blacksquare.bmp	
274146	KeyPress	Space	
274146	ImageEnd	blacksquare.bmp	
274167	ImageStart	pig_elephant.BMP	
275737	KeyPress	Left	
275738	ImageEnd	pig_elephant.BMP	
275744	ImageStart	blacksquare.bmp	
279362	KeyPress	Space	
279362	ImageEnd	blacksquare.bmp	
279383	ImageStart	sailboat_bicycle.BMP	
281305	KeyPress	Right	
281306	ImageEnd	sailboat_bicycle.BMP	
281311	ImageStart	blacksquare.bmp	
287273	KeyPress	Space	
287273	ImageEnd	blacksquare.bmp	
287294	ImageStart	truck_car.BMP	
290305	KeyPress	Right	
290305	ImageEnd	truck_car.BMP	
290311	ImageStart	blacksquare.bmp	
293761	KeyPress	Space	
293761	ImageEnd	blacksquare.bmp	
293782	ImageStart	tiger_alligator.BMP	
295945	KeyPress	Right	
295945	ImageEnd	tiger_alligator.BMP	
295952	ImageStart	blacksquare.bmp	
299129	KeyPress	Space	
299129	ImageEnd	blacksquare.bmp	
299151	ImageStart	sheep_monkey.BMP	
301393	KeyPress	Right	
301393	ImageEnd	sheep_monkey.BMP	
301399	ImageStart	whiteborder.bmp	
302689	KeyPress	Space	
302689	ImageEnd	whiteborder.bmp	
303191	MovieStart	congratulations.wmv	
305137	KeyPress	Escape	
305137	MovieEnd	congratulations.wmv	
