Timestamp	Event	Descriptor	
103	ImageStart	blacksquare.bmp	
7192	KeyPress	Space	
7192	ImageEnd	blacksquare.bmp	
7853	MovieStart	Julia_3.AVI	
10592	MovieEnd	Julia_3.AVI	
10826	ImageStart	blacksquare.bmp	
12584	KeyPress	Space	
12584	ImageEnd	blacksquare.bmp	
12607	ImageStart	fish_bee.BMP	
29512	KeyPress	Left	
29512	ImageEnd	fish_bee.BMP	
29517	ImageStart	blacksquare.bmp	
30512	KeyPress	Space	
30512	ImageEnd	blacksquare.bmp	
30533	ImageStart	shirt_cap.BMP	
49911	KeyPress	Left	
49912	ImageEnd	shirt_cap.BMP	
49917	ImageStart	blacksquare.bmp	
51455	KeyPress	Space	
51455	ImageEnd	blacksquare.bmp	
51480	ImageStart	ostrich_fly.BMP	
58551	KeyPress	Right	
58551	ImageEnd	ostrich_fly.BMP	
58558	ImageStart	blacksquare.bmp	
59639	KeyPress	Space	
59639	ImageEnd	blacksquare.bmp	
59660	ImageStart	tomato_carrot.BMP	
64327	KeyPress	Left	
64327	ImageEnd	tomato_carrot.BMP	
64333	ImageStart	blacksquare.bmp	
65431	KeyPress	Space	
65431	ImageEnd	blacksquare.bmp	
65452	ImageStart	book_bottle.BMP	
72879	KeyPress	Right	
72879	ImageEnd	book_bottle.BMP	
72884	ImageStart	blacksquare.bmp	
74711	KeyPress	Space	
74711	ImageEnd	blacksquare.bmp	
74732	ImageStart	knife_key.BMP	
77607	KeyPress	Right	
77607	ImageEnd	knife_key.BMP	
77613	ImageStart	blacksquare.bmp	
79671	KeyPress	Space	
79671	ImageEnd	blacksquare.bmp	
79692	ImageStart	grapes_peach.BMP	
82311	KeyPress	Left	
82311	ImageEnd	grapes_peach.BMP	
82316	ImageStart	blacksquare.bmp	
84247	KeyPress	Space	
84247	ImageEnd	blacksquare.bmp	
84268	ImageStart	duck_frog.BMP	
88646	KeyPress	Right	
88647	ImageEnd	duck_frog.BMP	
88652	ImageStart	blacksquare.bmp	
90639	KeyPress	Space	
90639	ImageEnd	blacksquare.bmp	
90660	ImageStart	flower_leaf.BMP	
94398	KeyPress	Left	
94399	ImageEnd	flower_leaf.BMP	
94404	ImageStart	blacksquare.bmp	
96390	KeyPress	Space	
96391	ImageEnd	blacksquare.bmp	
96412	ImageStart	lettuce_corn.BMP	
98639	KeyPress	Right	
98639	ImageEnd	lettuce_corn.BMP	
98645	ImageStart	whiteborder.bmp	
100614	KeyPress	Space	
100614	ImageEnd	whiteborder.bmp	
101122	MovieStart	Julia_3.AVI	
103880	MovieEnd	Julia_3.AVI	
104126	ImageStart	blacksquare.bmp	
105566	KeyPress	Space	
105567	ImageEnd	blacksquare.bmp	
105589	ImageStart	lamp_television.BMP	
108694	KeyPress	Left	
108694	ImageEnd	lamp_television.BMP	
108700	ImageStart	blacksquare.bmp	
110342	KeyPress	Space	
110342	ImageEnd	blacksquare.bmp	
110366	ImageStart	leg_arm.BMP	
113142	KeyPress	Right	
113142	ImageEnd	leg_arm.BMP	
113148	ImageStart	blacksquare.bmp	
114878	KeyPress	Space	
114878	ImageEnd	blacksquare.bmp	
114899	ImageStart	sheep_monkey.BMP	
117206	KeyPress	Right	
117206	ImageEnd	sheep_monkey.BMP	
117212	ImageStart	blacksquare.bmp	
118422	KeyPress	Space	
118422	ImageEnd	blacksquare.bmp	
118443	ImageStart	cat_dog.BMP	
121318	KeyPress	Left	
121318	ImageEnd	cat_dog.BMP	
121324	ImageStart	blacksquare.bmp	
123278	KeyPress	Space	
123278	ImageEnd	blacksquare.bmp	
123299	ImageStart	toe_finger.BMP	
127702	KeyPress	Right	
127702	ImageEnd	toe_finger.BMP	
127708	ImageStart	blacksquare.bmp	
130110	KeyPress	Space	
130110	ImageEnd	blacksquare.bmp	
130131	ImageStart	spoon_fork.BMP	
132510	KeyPress	Right	
132510	ImageEnd	spoon_fork.BMP	
132515	ImageStart	blacksquare.bmp	
134653	KeyPress	Space	
134654	ImageEnd	blacksquare.bmp	
134675	ImageStart	mouse_squirrel.BMP	
136965	KeyPress	Right	
136966	ImageEnd	mouse_squirrel.BMP	
136972	ImageStart	blacksquare.bmp	
139501	KeyPress	Space	
139502	ImageEnd	blacksquare.bmp	
139523	ImageStart	barn_house.BMP	
142165	KeyPress	Right	
142166	ImageEnd	barn_house.BMP	
142172	ImageStart	blacksquare.bmp	
144085	KeyPress	Space	
144085	ImageEnd	blacksquare.bmp	
144107	ImageStart	scissors_brush.BMP	
149405	KeyPress	Right	
149406	ImageEnd	scissors_brush.BMP	
149411	ImageStart	blacksquare.bmp	
150998	KeyPress	Space	
150998	ImageEnd	blacksquare.bmp	
151020	ImageStart	tiger_alligator.BMP	
156893	KeyPress	Right	
156893	ImageEnd	tiger_alligator.BMP	
156899	ImageStart	whiteborder.bmp	
158677	KeyPress	Space	
158677	ImageEnd	whiteborder.bmp	
159178	MovieStart	congratulations.wmv	
161893	KeyPress	Escape	
161893	MovieEnd	congratulations.wmv	
