Timestamp	Event	Descriptor	
374	MovieStart	MutedBallie.avi	
3370	KeyPress	Space	
3370	MovieEnd	MutedBallie.avi	
4138	ImageStart	fixation.png	
7041	KeyPress	Space	
7041	ImageEnd	fixation.png	
7063	ImageStart	cookie_pizza_a.BMP	
12578	KeyPress	Left	
12578	ImageEnd	cookie_pizza_a.BMP	
12582	ImageStart	fixation.png	
15769	KeyPress	Space	
15770	ImageEnd	fixation.png	
15792	ImageStart	shoe_sock_a.BMP	
20954	KeyPress	Left	
20954	ImageEnd	shoe_sock_a.BMP	
20958	ImageStart	fixation.png	
23961	KeyPress	Space	
23961	ImageEnd	fixation.png	
23983	ImageStart	balloons_duck_a.BMP	
40281	KeyPress	Left	
40281	ImageEnd	balloons_duck_a.BMP	
40285	ImageStart	fixation.png	
43545	KeyPress	Space	
43545	ImageEnd	fixation.png	
43569	ImageStart	flowers_cat_a.BMP	
47977	KeyPress	Left	
47977	ImageEnd	flowers_cat_a.BMP	
47981	ImageStart	fixation.png	
51065	KeyPress	Space	
51065	ImageEnd	fixation.png	
51088	ImageStart	pig_butterfly_a.BMP	
57153	KeyPress	Left	
57153	ImageEnd	pig_butterfly_a.BMP	
57157	ImageStart	fixation.png	
59905	KeyPress	Space	
59905	ImageEnd	fixation.png	
59927	ImageStart	tv_bread_a.BMP	
71465	KeyPress	Left	
71465	ImageEnd	tv_bread_a.BMP	
71469	ImageStart	fixation.png	
79929	KeyPress	Space	
79929	ImageEnd	fixation.png	
79951	ImageStart	orange_ball_a.BMP	
108640	KeyPress	Left	
108641	ImageEnd	orange_ball_a.BMP	
108645	ImageStart	fixation.png	
111904	KeyPress	Space	
111904	ImageEnd	fixation.png	
111926	ImageStart	spoon_fork_a.BMP	
116768	KeyPress	Left	
116768	ImageEnd	spoon_fork_a.BMP	
116772	ImageStart	fixation.png	
120000	KeyPress	Space	
120000	ImageEnd	fixation.png	
120023	ImageStart	mouse_refrigerator_a.BMP	
124400	KeyPress	Left	
124400	ImageEnd	mouse_refrigerator_a.BMP	
124404	ImageStart	fixation.png	
127064	KeyPress	Space	
127064	ImageEnd	fixation.png	
127086	ImageStart	chair_grapes_a.BMP	
132456	KeyPress	Right	
132456	ImageEnd	chair_grapes_a.BMP	
132460	ImageStart	fixation.png	
135704	KeyPress	Space	
135704	ImageEnd	fixation.png	
135726	ImageStart	clock_dog_a.BMP	
140128	KeyPress	Right	
140128	ImageEnd	clock_dog_a.BMP	
140137	ImageStart	fixation.png	
143880	KeyPress	Space	
143880	ImageEnd	fixation.png	
143902	ImageStart	teddybear_doll_a.BMP	
152024	KeyPress	Left	
152024	ImageEnd	teddybear_doll_a.BMP	
152028	ImageStart	fixation.png	
166471	KeyPress	Space	
166472	ImageEnd	fixation.png	
166494	ImageStart	bunny_strawberry_a.BMP	
178023	KeyPress	Left	
178023	ImageEnd	bunny_strawberry_a.BMP	
178028	ImageStart	fixation.png	
179487	KeyPress	Space	
179487	ImageEnd	fixation.png	
179509	ImageStart	bottle_crayon_a.BMP	
430652	KeyPress	Left	
430652	ImageEnd	bottle_crayon_a.BMP	
430657	ImageStart	fixation.png	
434444	KeyPress	Space	
434444	ImageEnd	fixation.png	
434465	ImageStart	egg_pillow_a.BMP	
437660	KeyPress	Left	
437660	ImageEnd	egg_pillow_a.BMP	
437664	ImageStart	fixation.png	
440836	KeyPress	Space	
440836	ImageEnd	fixation.png	
440858	ImageStart	jacket_leaf_a.BMP	
444548	KeyPress	Left	
444548	ImageEnd	jacket_leaf_a.BMP	
444554	ImageStart	fixation.png	
447116	KeyPress	Space	
447116	ImageEnd	fixation.png	
447143	ImageStart	apple_bear_a.BMP	
454620	KeyPress	Right	
454620	ImageEnd	apple_bear_a.BMP	
454624	ImageStart	fixation.png	
457228	KeyPress	Space	
457228	ImageEnd	fixation.png	
457251	ImageStart	elephant_broccoli_a.BMP	
461324	KeyPress	Right	
461324	ImageEnd	elephant_broccoli_a.BMP	
461328	ImageStart	fixation.png	
463732	KeyPress	Space	
463732	ImageEnd	fixation.png	
463754	ImageStart	cake_hat_a.BMP	
468148	KeyPress	Left	
468148	ImageEnd	cake_hat_a.BMP	
468152	ImageStart	fixation.png	
470411	KeyPress	Space	
470412	ImageEnd	fixation.png	
470433	ImageStart	icecream_bicycle_a.BMP	
475531	KeyPress	Left	
475531	ImageEnd	icecream_bicycle_a.BMP	
475536	ImageStart	fixation.png	
476347	KeyPress	Space	
476347	ImageEnd	fixation.png	
477597	MovieStart	congratulations.wmv	
491788	MovieEnd	congratulations.wmv	
