System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 097
Recording date:	 10/14/2015
Recording time:	 9:15:51 AM
Recording resolution:	 1280 x 1024

Export date:	 11/18/2015
Export time:	 9:06:30 AM

Participant:	 097
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
11	09:15:51.182	00:00:00.010	0	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4	1	0	0						No media	0	1280	1024	0	0	615	541	44	0	Content		0	0	10820	2322628122	
27	09:15:51.198	00:00:00.027	1	616.5018	561.7845	0.6895093	0.5288825	514.074	3.690424	0	595.1692	566.6795	0.5249209	0.5055596	514.2316	3.728132	0	1	606	564						No media	0	1280	1024	0	0	615	541	44	0	Content		606	564	27449	2322644751	
44	09:15:51.215	00:00:00.044	2	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	44066	2322661368	
61	09:15:51.232	00:00:00.060	3	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	60687	2322677989	
77	09:15:51.248	00:00:00.077	4	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	77429	2322694731	
94	09:15:51.265	00:00:00.094	5	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	94052	2322711354	
111	09:15:51.282	00:00:00.110	6	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	110671	2322727973	
127	09:15:51.298	00:00:00.127	7	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	127292	2322744594	
144	09:15:51.315	00:00:00.144	8	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	144039	2322761341	
161	09:15:51.332	00:00:00.160	9	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	160663	2322777965	
177	09:15:51.348	00:00:00.177	10	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	177330	2322794632	
194	09:15:51.365	00:00:00.193	11	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	193994	2322811296	
211	09:15:51.382	00:00:00.210	12	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	210661	2322827963	
227	09:15:51.398	00:00:00.227	13	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	227282	2322844584	
244	09:15:51.415	00:00:00.243	14	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	243949	2322861251	
