System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 Rec 102
Recording date:	 10/28/2015
Recording time:	 2:58:23 PM
Recording resolution:	 1280 x 1024

Export date:	 11/2/2015
Export time:	 11:18:39 AM

Participant:	 P102
Timestamp	Event	Descriptor	
330	MovieStart	MutedBallie.avi	
4258	KeyPress	Space	
4258	MovieEnd	MutedBallie.avi	
6699	ImageStart	fixation.png	
18754	KeyPress	Space	
18754	ImageEnd	fixation.png	
18776	ImageStart	elephant_bear_a.BMP	
27353	KeyPress	Right	
27354	ImageEnd	elephant_bear_a.BMP	
27359	ImageStart	fixation.png	
32145	KeyPress	Space	
32145	ImageEnd	fixation.png	
32169	ImageStart	clock_bicycle_a.BMP	
37969	KeyPress	Right	
37969	ImageEnd	clock_bicycle_a.BMP	
37973	ImageStart	fixation.png	
38857	KeyPress	Space	
38857	ImageEnd	fixation.png	
38878	ImageStart	cake_doll_a.BMP	
48201	KeyPress	Left	
48201	ImageEnd	cake_doll_a.BMP	
48205	ImageStart	fixation.png	
48993	KeyPress	Space	
48993	ImageEnd	fixation.png	
49014	ImageStart	egg_hat_a.BMP	
59496	KeyPress	Left	
59496	ImageEnd	egg_hat_a.BMP	
59500	ImageStart	fixation.png	
60296	KeyPress	Space	
60297	ImageEnd	fixation.png	
60318	ImageStart	bottle_leaf_a.BMP	
65512	KeyPress	Left	
65512	ImageEnd	bottle_leaf_a.BMP	
65516	ImageStart	fixation.png	
66536	KeyPress	Space	
66536	ImageEnd	fixation.png	
66559	ImageStart	bunny_dog_a.BMP	
69488	KeyPress	Right	
69488	ImageEnd	bunny_dog_a.BMP	
69492	ImageStart	fixation.png	
70592	KeyPress	Space	
70592	ImageEnd	fixation.png	
70613	ImageStart	apple_strawberry_a.BMP	
75448	KeyPress	Right	
75448	ImageEnd	apple_strawberry_a.BMP	
75452	ImageStart	fixation.png	
76544	KeyPress	Space	
76544	ImageEnd	fixation.png	
76568	ImageStart	icecream_broccoli_a.BMP	
80928	KeyPress	Left	
80928	ImageEnd	icecream_broccoli_a.BMP	
80932	ImageStart	fixation.png	
81856	KeyPress	Space	
81856	ImageEnd	fixation.png	
81877	ImageStart	teddybear_crayon_a.BMP	
86664	KeyPress	Right	
86664	ImageEnd	teddybear_crayon_a.BMP	
86668	ImageStart	fixation.png	
87560	KeyPress	Space	
87560	ImageEnd	fixation.png	
87581	ImageStart	jacket_pillow_a.BMP	
92341	KeyPress	Left	
92341	ImageEnd	jacket_pillow_a.BMP	
92344	ImageStart	fixation.png	
92752	KeyPress	Space	
92752	ImageEnd	fixation.png	
92774	ImageStart	pig_butterfly_a.BMP	
96759	KeyPress	Left	
96760	ImageEnd	pig_butterfly_a.BMP	
96764	ImageStart	fixation.png	
98071	KeyPress	Space	
98072	ImageEnd	fixation.png	
98093	ImageStart	spoon_fork_a.BMP	
103351	KeyPress	Right	
103351	ImageEnd	spoon_fork_a.BMP	
103356	ImageStart	fixation.png	
104383	KeyPress	Space	
104384	ImageEnd	fixation.png	
104405	ImageStart	mouse_refrigerator_a.BMP	
122471	KeyPress	Space	
122471	ImageEnd	mouse_refrigerator_a.BMP	
122475	ImageStart	fixation.png	
125335	KeyPress	Right	
125335	ImageEnd	fixation.png	
125357	ImageStart	tv_bread_a.BMP	
128319	KeyPress	Left	
128319	ImageEnd	tv_bread_a.BMP	
128323	ImageStart	fixation.png	
129191	KeyPress	Space	
129191	ImageEnd	fixation.png	
129212	ImageStart	orange_ball_a.BMP	
133150	KeyPress	Right	
133151	ImageEnd	orange_ball_a.BMP	
133155	ImageStart	fixation.png	
134094	KeyPress	Space	
134095	ImageEnd	fixation.png	
134116	ImageStart	shoe_sock_a.BMP	
148710	KeyPress	Right	
148710	ImageEnd	shoe_sock_a.BMP	
148714	ImageStart	fixation.png	
149950	KeyPress	Space	
149951	ImageEnd	fixation.png	
149972	ImageStart	balloons_duck_a.BMP	
153006	KeyPress	Left	
153006	ImageEnd	balloons_duck_a.BMP	
153010	ImageStart	fixation.png	
153742	KeyPress	Space	
153742	ImageEnd	fixation.png	
153764	ImageStart	flowers_cat_a.BMP	
161894	KeyPress	Left	
161894	ImageEnd	flowers_cat_a.BMP	
161898	ImageStart	fixation.png	
163222	KeyPress	Space	
163222	ImageEnd	fixation.png	
163243	ImageStart	cookie_pizza_a.BMP	
170573	KeyPress	Left	
170574	ImageEnd	cookie_pizza_a.BMP	
170577	ImageStart	fixation.png	
171461	KeyPress	Space	
171462	ImageEnd	fixation.png	
171483	ImageStart	chair_grapes_a.BMP	
184733	KeyPress	Right	
184733	ImageEnd	chair_grapes_a.BMP	
184737	ImageStart	fixation.png	
185341	KeyPress	Space	
185341	ImageEnd	fixation.png	
186021	MovieStart	congratulations.wmv	
187197	KeyPress	Escape	
187197	MovieEnd	congratulations.wmv	
