"Subject","RT1","RT2","RT3","RT4","RT5","RT6","RT7","RT8","RT9","RT10","RT11","RT12","RT13","RT14","RT15","RT16","RT17","RT18","RT19","RT20"
101,3050,3346,4410,3409,2962,3354,3716,2138,3675,5122,3855,2585,2682,6722,5163,2623,2762,4074,2314,4170
103,6885,12602,4939,3986,4099,7027,22267,8923,4915,2706,2043,13555,4426,9466,6826,2451,1905,2794,2546,NA
106,1970,1833,1900,1922,1747,2122,2611,1947,2451,2778,2186,2498,2682,2123,2499,5298,2538,2274,2203,2330
107,14952,2491,1875,3034,2865,1978,1579,2891,2539,1747,2010,2220,3042,2114,1934,2113,2002,2403,NA,NA
108,3451,3459,2505,2291,2427,2499,3467,4195,2505,4123,4467,3515,2307,3563,1779,3915,12201,3826,3123,3324
109,4059,2274,2227,2211,3267,2947,3451,3969,3250,5659,4779,9635,2634,1931,2387,2446,4713,2986,2484,2323
110,6094,3002,2507,2731,2386,2618,1964,2661,3627,1859,2210,3515,2236,2267,2499,2532,5450,2769,3339,2331
111,5177,4768,2602,2194,2699,2987,2683,2994,5251,2627,2674,2203,7451,4859,2907,4211,4255,2914,1979,3794
112,4226,3491,3699,2683,2771,2836,3659,3082,2170,2106,1986,3614,2738,1978,2449,2282,1946,6674,3474,1755
114,5649,14762,3802,13658,4051,4683,4444,4824,7827,5323,5755,3203,3098,5115,5034,2370,2841,2547,6818,4249
115,26145,7219,7178,5113,4179,7770,3842,5922,7267,15226,5723,5411,6803,7914,13419,5306,4658,31635,6318,17483
116,2833,2082,1531,2322,2162,4283,2267,2002,1979,2186,2090,2019,2130,2184,2523,2627,3187,3907,2459,2683
117,2816,2491,3475,3171,2459,2041,2345,1923,2579,2450,8586,3779,6139,2731,4635,3867,2355,14763,5738,4418
118,2413,2657,2379,1867,5426,1977,1795,3082,5105,3306,2474,2131,1409,4403,2959,3818,3602,2251,3883,1780
123,6895,3131,2628,1739,2011,2075,2987,8316,4434,1515,2387,3033,2130,3051,4019,2018,3682,2563,2027,2618
128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,6114,3491,3082,5307,3739,5150,6900,3547,3783,3186,2610,2281,2867,3554,3219,3058,4914,4538,4746,2970
131,6442,3690,3562,3266,3859,8530,4211,10523,5690,4218,5010,14242,6393,4803,7427,5218,3930,6187,3867,3947
133,18193,9060,9186,3114,4872,4018,4011,3595,5403,3475,2547,2466,1987,2090,4569,3786,2971,3491,2084,5235
136,8653,3371,6347,2667,3228,4593,3364,6291,2216,2850,2443,2594,4098,2930,3769,2232,2643,5874,6041,3003
139,5568,1968,3322,2499,3562,5979,11139,2114,2810,2434,1936,4249,2946,1771,2009,4609,2784,3586,4129,NA
141,5090,4817,6538,4795,4073,3387,3769,3969,2745,2642,2978,3468,3466,3062,3673,3890,3734,3884,5313,3034
142,10424,8217,4144,2618,4314,2659,3506,7898,3802,2410,3282,3050,3098,3930,2107,5585,4019,3208,5712,2962
143,2217,4304,5003,2139,2650,2122,2658,3115,4923,2667,8289,2274,3193,3171,3001,2755,5147,3769,2458,NA
144,3314,3050,3490,2859,3019,2347,17442,4162,2338,3130,2770,2258,2427,2682,3274,2314,3534,3250,2290,2169
145,36210,20922,10619,8498,49753,3122,3403,5619,2947,2003,16722,3908,8146,6389,8115,27850,2427,4970,6834,2936
147,4954,9761,5954,3010,2488,2730,2730,3946,2514,2451,2195,5689,2810,2802,2730,2298,2059,2683,2354,4386
148,4778,2779,3035,19882,5006,3618,2635,6675,5859,12522,3436,2339,2275,2739,3178,3418,22298,15290,5650,31355
15,16099,3521,2307,2283,2139,2745,2162,1890,1827,1651,1713,1546,2714,3729,1643,4650,2714,2179,1251,2899
155,12170,5186,4163,4337,3106,3914,3578,12730,10890,3763,3202,10485,3393,11193,8338,4770,5026,3051,3089,3443
156,5265,3553,5034,3082,3679,5186,5769,3225,6283,3707,3610,3879,4634,3730,5905,5019,3155,3850,4515,9746
158,5440,38040,4009,9106,5962,6514,5826,29136,3202,2273,3842,5042,3042,9370,9403,5802,8322,NA,NA,NA
16,5883,4475,6782,3179,15457,3435,3795,4507,6977,2769,2610,2931,3802,3219,6315,3338,3875,3883,3387,5595
160,3913,3291,3698,3186,3642,2537,3786,3690,2697,3402,2642,2817,2764,2801,5314,1986,2945,2450,3554,1763
161,5467,8114,3007,2722,2521,2370,2858,2195,2466,2516,2346,3170,3379,2378,2266,5243,2850,2426,2194,2914
162,4255,4161,2482,2584,2635,2834,2386,2963,2786,3171,2440,3176,6563,3986,4011,11953,3644,8570,5866,3274
165,4563,2226,4594,3905,2208,7706,4487,3843,5994,3099,2808,2185,2458,5880,2913,4042,4170,10755,3020,3361
166,5515,5162,16298,4408,6065,11538,28689,4842,4377,5370,4402,8122,11529,251143,3195,3690,7477,4073,4394,5098
167,19821,5330,6178,5937,4257,4682,3954,2955,3043,2385,2618,3506,3258,3677,2826,5346,5986,3311,3794,5027
169,7337,5146,3642,3594,3892,3026,2849,2322,2209,1864,1992,6090,5819,10617,9966,1681,6354,3401,3082,3171
17,12698,6691,3411,2699,5755,3200,2939,2467,2683,4349,2771,3187,3011,2210,1994,2539,2923,2131,2555,2411
170,4410,6035,2123,3531,2091,2617,6867,3195,2538,11402,2226,3481,12690,4009,13234,2091,2337,1954,6514,6338
173,6273,2450,4109,5286,12002,3241,8385,5034,4273,4746,5282,6129,3178,3241,21385,3114,12541,10545,5042,4933
18,4411,3027,3299,3003,5011,5859,5490,5553,3460,4988,3435,4026,6890,6571,4426,7155,4649,4609,3179,4419
20,6387,4537,5154,2891,2490,2211,3306,2859,1852,7249,3868,2522,3323,1611,3459,3107,2539,2275,2283,NA
21,8776,10913,9985,16226,12916,6689,8346,7907,3978,5130,3811,4891,2786,12626,8083,10437,10779,3986,3667,3931
22,6192,1788,1859,2226,2147,3587,2210,2170,4466,1993,4475,4244,14336,3378,2291,2065,1491,1963,4755,2340
23,6290,3739,2843,3803,3163,3491,1963,2393,3954,2010,3723,2235,2970,3211,2251,4723,3778,2650,4035,NA
24,15488,2834,3330,3036,2883,2051,3235,2848,2315,2467,2586,2882,2426,2154,2096,2011,2922,2403,2403,2225
27,8809,3186,2130,3755,2339,2218,2603,7641,2770,2100,2083,4066,5555,1827,1563,1995,2523,1970,1747,5475
28,2823,2059,1906,1993,2563,2075,1395,2564,2499,2593,2594,3275,2155,2827,3075,3851,3029,3099,2473,2971
30,4240,2850,2027,2945,2691,2067,2963,2547,5099,1755,2818,4995,2955,3707,3378,4987,5435,4739,5563,3075
31,4906,2691,3176,3752,1731,1931,2395,1979,3451,2315,2171,2123,2411,3531,2226,6419,1851,2867,2083,4739
33,5538,13413,6530,15242,4355,4019,7386,6098,3650,4554,3534,3267,31466,6053,5427,3099,3731,2627,3962,2235
34,5401,3811,2515,4083,3604,3091,3313,2642,3147,3283,2090,4275,5507,3794,5195,5083,4979,4962,6166,2299
35,3939,3211,1715,2138,1331,2035,2347,4011,2298,2602,3794,3730,2257,3330,3627,2139,2226,2475,2850,1530
36,8729,2704,5361,4587,6674,5386,3682,3627,8146,5707,3683,3787,3450,3923,5291,4555,6347,7051,5019,6842
37,8128,2354,2772,1762,1604,1913,1954,2186,1667,1659,2419,2170,2963,4555,2442,2659,4116,3954,2978,2546
38,6873,3335,2433,3833,13650,4827,4073,2594,10051,3114,4611,2427,3139,3347,4530,4099,4496,4579,3866,2763
39,41168,8075,14209,13433,4202,4811,26866,6330,4602,5738,10306,5443,4265,4451,6811,18707,38739,6523,4434,NA
41,6395,6403,4595,3947,4195,5761,4354,4096,6827,2977,2650,4651,4747,9041,7354,17099,3435,3093,3418,13146
42,12538,9651,2667,14755,3331,3585,8920,5438,5425,3370,3370,8723,6643,4059,4059,3035,3723,3026,5747,3030
43,2339,3225,2844,1898,2617,1480,7842,17404,1939,1497,2842,2363,1698,12090,1788,2038,2915,5150,3961,NA
44,5586,5371,3371,2355,3819,6275,2011,6051,2684,3739,3682,2659,2419,2243,5498,3474,6449,3299,7507,3889
