Subject_ID,acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,acc11,acc12,acc13,acc14,acc15,acc16,acc17,acc18,acc19,acc20
15,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
16,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
18,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
21,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
22,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
27,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
31,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
34,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
35,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
36,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
38,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
42,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
43,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
44,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
45,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1
46,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
50,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
53,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
57,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
59,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1
62,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
64,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
65,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
66,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
67,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
70,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1
71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1
74,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
75,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
80,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
81,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
83,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1
86,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1
89,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1
90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
91,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
96,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1
98,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
101,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
103,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1
106,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0
107,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1
114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
115,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
116,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
117,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0
118,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
