System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 098
Recording date:	 10/9/2015
Recording time:	 9:26:31 AM
Recording resolution:	 1280 x 1024

Export date:	 10/26/2015
Export time:	 11:13:18 AM

Participant:	 098
Timestamp	Event	Descriptor	AoiNames	
0			Content	
113			Content	
367	MovieStart	MutedBallie.avi		
513			Content	
746			Content	
919	KeyPress	Space		
919	MovieEnd	MutedBallie.avi		
1412			Content	
1513	ImageStart	fixation.png		
1778			Content	
2516	ImageEnd	fixation.png		
2549	ImageStart	CD_CD.jpg		
2911			encode_distractor_left	
3427			encode_distractor_right	
3660			encode_distractor_right	
3860			encode_distractor_right	
4177			encode_distractor_right	
4759			encode_distractor_right	
5226			encode_distractor_left	
5509			encode_distractor_left	
6058			encode_distractor_left	
6458			encode_distractor_left	
6691			encode_distractor_right	
6958			encode_distractor_right	
7341			encode_distractor_right	
7525	ImageEnd	CD_CD.jpg		
7535	ImageStart	fixation.png		
7574			Content	
7841			Content	
8057			Content	
8538	ImageEnd	fixation.png		
8574	ImageStart	AB_AB.jpg		
8807			encode_target_right	
9273			encode_target_left	
9539			encode_target_left	
9922			encode_target_left	
10389			encode_target_right	
11188			encode_target_right	
11738			encode_target_left	
12154			encode_target_left	
12421			encode_target_left	
12737			encode_target_left	
13004			encode_target_left	
13420			encode_target_right	
13547	ImageEnd	AB_AB.jpg		
13557	ImageStart	fixation.png		
13920			Content	
14559	ImageEnd	fixation.png		
14592	ImageStart	CD_CD.jpg		
14935			encode_distractor_left	
15602			encode_distractor_left	
15835			encode_distractor_left	
16234			encode_distractor_left	
16601			encode_distractor_right	
16901			encode_distractor_right	
17350			encode_distractor_right	
17900			encode_distractor_right	
18083			encode_distractor_right	
18483			encode_distractor_right	
18949			encode_distractor_left	
19569	ImageEnd	CD_CD.jpg		
19581	ImageStart	fixation.png		
19599			Content	
19882			Content	
20580	ImageEnd	fixation.png		
20612	ImageStart	AB_AB.jpg		
20981			encode_target_left	
21730			encode_target_left	
22047			encode_target_right	
22297			encode_target_right	
23029			encode_target_right	
23662			encode_target_left	
23979			encode_target_left	
24179			encode_target_left	
24761			encode_target_right	
25011			encode_target_right	
25494			encode_target_right	
25591	ImageEnd	AB_AB.jpg		
25601	ImageStart	fixation.png		
25994			Content	
26760			Content	
26860			Content	
27043			Content	
27527			Content	
27743			Content	
28602	ImageEnd	fixation.png		
28634	ImageStart	AB_AD.jpg		
28759			Content	
29192			retrieve_old_pair	
29458			retrieve_old_pair	
29841			retrieval_new_pair	
30274			retrieve_old_pair	
30591			retrieve_old_pair	
31024			retrieve_old_pair	
31257			retrieval_new_pair	
31590			retrieval_new_pair	
32306			retrieve_old_pair	
32506			retrieve_old_pair	
32855			retrieve_old_pair	
33139			retrieve_old_pair	
33405			retrieval_new_pair	
34787			retrieve_old_pair	
35270			retrieve_old_pair	
35737			retrieve_old_pair	
36120			retrieve_old_pair	
36519			retrieve_old_pair	
36819			retrieve_old_pair	
37569			retrieve_old_pair	
37735			retrieve_old_pair	
37985			retrieve_old_pair	
38368			retrieve_old_pair	
38614	ImageEnd	AB_AD.jpg		
38624	ImageStart	fixation.png		
39034			Content	
39629	ImageEnd	fixation.png		
39661	ImageStart	AB_CB.jpg		
40117			retrieval_old_pair	
40600			retrieval_old_pair	
40850			retrieval_new_pair	
41083			retrieval_new_pair	
41566			retrieval_new_pair	
42049			retrieval_old_pair	
42332			retrieval_old_pair	
42831			retrieval_old_pair	
43231			retrieval_new_pair	
43581			retrieval_new_pair	
44180			retrieval_new_pair	
44514			retrieval_new_pair	
44963			retrieval_new_pair	
45280			retrieval_old_pair	
45646			retrieval_new_pair	
45863			retrieval_old_pair	
46362			retrieval_old_pair	
47195			retrieval_old_pair	
47662			retrieval_old_pair	
48178			retrieval_new_pair	
48461			retrieval_new_pair	
48777			retrieval_new_pair	
49327			retrieval_new_pair	
49643	ImageEnd	AB_CB.jpg		
49653	ImageStart	fixation.png		
49943			Content	
50656	ImageEnd	fixation.png		
51225			Content	
51549	MovieStart	congratulations.wmv		
51592			Content	
51808			Content	
52042			Content	
52641			Content	
52891			Content	
53310	KeyPress	Escape		
53311	MovieEnd	congratulations.wmv		
