System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 007
Recording date:	 7/20/2015
Recording time:	 9:38:48 AM
Recording resolution:	 1280 x 1024

Export date:	 9/22/2015
Export time:	 2:56:19 PM

Participant:	 007
Timestamp	Event	Descriptor	AoiNames	
0			Content	
88			Content	
388			Content	
485	MovieStart	MutedBallie.avi		
921			Content	
1271			Content	
1621			Content	
2354			Content	
2820			Content	
3403			Content	
3653			Content	
4307	KeyPress	Space		
4311	MovieEnd	MutedBallie.avi		
4453			Content	
4815	ImageStart	fixation.png		
5810	ImageEnd	fixation.png		
5837	ImageStart	encode 1 blue.JPG		
5902			Content	
6151			Familiarization 1L	
6668			Familiarization 1L	
6985			Familiarization 1L	
7167			Familiarization 1R	
7450			Familiarization 1R	
7650			Familiarization 1R	
7817			Familiarization 1R	
8017			Familiarization 1R	
8217			Familiarization 1L	
8500			Familiarization 1L	
9000			Familiarization 1L	
9316			Familiarization 1L	
9749			Familiarization 1R	
9961	KeyPress	Escape		
9962	ImageEnd	encode 1 blue.JPG		
