System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 075
Recording date:	 5/18/2015
Recording time:	 11:20:26 AM
Recording resolution:	 1280 x 1024

Export date:	 8/4/2015
Export time:	 9:40:09 AM

Participant:	 075
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
10	11:20:26.568	00:00:00.010	0	1001.134	550.066	0.55547	0.7663625	544.7001	4.170107	0	959.2368	539.5544	0.4107702	0.7730715	530.3585	4.266209	0	4	980	545						No media	0	1280	1024	0	0	981	545	127	0	Content		980	545	10429	3297833397	
27	11:20:26.585	00:00:00.027	1	1003.334	556.7202	0.5550662	0.7661067	544.61	4.190838	0	963.037	537.5444	0.4102012	0.7728484	530.5566	4.274473	0	4	983	547						No media	0	1280	1024	0	0	981	545	127	0	Content		983	547	27041	3297850009	
44	11:20:26.602	00:00:00.043	2	1000.756	550.6646	0.5546246	0.7657814	544.5707	4.180514	0	961.869	539.7908	0.4096566	0.7725661	530.5452	4.249688	0	4	981	545						No media	0	1280	1024	0	0	981	545	127	0	Content		981	545	43636	3297866604	
60	11:20:26.618	00:00:00.060	3	1004.319	552.0955	0.5541816	0.7654847	544.4771	4.167851	0	961.6089	540.7232	0.4091062	0.7722944	530.457	4.256286	0	4	983	546						No media	0	1280	1024	0	0	981	545	127	0	Content		983	546	60261	3297883229	
77	11:20:26.635	00:00:00.076	4	1005.063	553.5517	0.5537069	0.7653615	544.3875	4.174075	0	963.7827	541.8486	0.4085432	0.7722494	530.2947	4.243382	0	4	984	548						No media	0	1280	1024	0	0	981	545	127	0	Content		984	548	76885	3297899853	
94	11:20:26.652	00:00:00.093	5	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4	4	0	0						No media	0	1280	1024	0	0	981	545	127	0	Content		0	0	93648	3297916616	
110	11:20:26.668	00:00:00.110	6	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4	4	0	0						No media	0	1280	1024	0	0	981	545	127	0	Content		0	0	110273	3297933241	
115	11:20:26.673																				ImageStart	8	0	0	fixation.png																	
127	11:20:26.685	00:00:00.126	7	1077.398	535.6917	0.5514461	0.7661781	544.3399	4.139858	0	1059.227	520.8995	0.4062847	0.7734182	530.8119	4.23356	0	5	1068	528						fixation.png	0	131	134	575	445	495	83	233	0	Content		493	83	126896	3297949864	
144	11:20:26.702	00:00:00.143	8	1081.981	541.2459	0.550898	0.766524	544.3964	4.122902	0	1053.848	522.4911	0.4055541	0.7739254	530.9336	4.244229	0	5	1068	532						fixation.png	0	131	134	575	445	495	83	233	0	Content		493	87	143644	3297966612	
