System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 Rec 102
Recording date:	 10/28/2015
Recording time:	 2:54:06 PM
Recording resolution:	 1280 x 1024

Export date:	 11/2/2015
Export time:	 11:10:30 AM

Participant:	 P102
Timestamp	Event	Descriptor	
111	ImageStart	fixation.png	
11793	KeyPress	Space	
11793	ImageEnd	fixation.png	
12401	MovieStart	MutedBallie.avi	
13697	KeyPress	Space	
13698	MovieEnd	MutedBallie.avi	
14113	ImageStart	blacksquare.bmp	
15408	KeyPress	Space	
15409	ImageEnd	blacksquare.bmp	
16014	MovieStart	Julia_3.AVI	
18759	MovieEnd	Julia_3.AVI	
19055	ImageStart	fixation.png	
21040	KeyPress	Space	
21040	ImageEnd	fixation.png	
21062	ImageStart	arrow_crown.BMP	
25256	KeyPress	Right	
25257	ImageEnd	arrow_crown.BMP	
25261	ImageStart	fixation.png	
27112	KeyPress	Space	
27112	ImageEnd	fixation.png	
27134	ImageStart	heart_moon.BMP	
41608	KeyPress	Left	
41608	ImageEnd	heart_moon.BMP	
41612	ImageStart	fixation.png	
43656	KeyPress	Space	
43656	ImageEnd	fixation.png	
43677	ImageStart	watermelon_orange.BMP	
58743	KeyPress	Left	
58743	ImageEnd	watermelon_orange.BMP	
58747	ImageStart	fixation.png	
60615	KeyPress	Space	
60615	ImageEnd	fixation.png	
60637	ImageStart	ring_watch.BMP	
64663	KeyPress	Left	
64663	ImageEnd	ring_watch.BMP	
64667	ImageStart	fixation.png	
65127	KeyPress	Space	
65127	ImageEnd	fixation.png	
65149	ImageStart	duck_frog.BMP	
68111	KeyPress	Right	
68111	ImageEnd	duck_frog.BMP	
68115	ImageStart	fixation.png	
68839	KeyPress	Space	
68839	ImageEnd	fixation.png	
69009	ImageStart	ball_drum.BMP	
76727	KeyPress	Left	
76727	ImageEnd	ball_drum.BMP	
76731	ImageStart	fixation.png	
77215	KeyPress	Space	
77215	ImageEnd	fixation.png	
77237	ImageStart	knife_key.BMP	
81343	KeyPress	Right	
81343	ImageEnd	knife_key.BMP	
81347	ImageStart	fixation.png	
81762	KeyPress	Space	
81762	ImageEnd	fixation.png	
81785	ImageStart	sun_tree.BMP	
85215	KeyPress	Left	
85215	ImageEnd	sun_tree.BMP	
85219	ImageStart	fixation.png	
85975	KeyPress	Space	
85975	ImageEnd	fixation.png	
85997	ImageStart	lettuce_corn.BMP	
89191	KeyPress	Left	
89191	ImageEnd	lettuce_corn.BMP	
89195	ImageStart	fixation.png	
89775	KeyPress	Space	
89775	ImageEnd	fixation.png	
89796	ImageStart	hair_hat.BMP	
94030	KeyPress	Left	
94030	ImageEnd	hair_hat.BMP	
94034	ImageStart	fixation.png	
94406	KeyPress	Space	
94406	ImageEnd	fixation.png	
94427	ImageStart	flower_leaf.BMP	
101335	KeyPress	Right	
101335	ImageEnd	flower_leaf.BMP	
101339	ImageStart	fixation.png	
101769	KeyPress	Space	
101769	ImageEnd	fixation.png	
101792	ImageStart	leg_arm.BMP	
104750	KeyPress	Left	
104750	ImageEnd	leg_arm.BMP	
104754	ImageStart	fixation.png	
105398	KeyPress	Space	
105398	ImageEnd	fixation.png	
105419	ImageStart	lips_ear.BMP	
108710	KeyPress	Right	
108710	ImageEnd	lips_ear.BMP	
108714	ImageStart	fixation.png	
109286	KeyPress	Space	
109286	ImageEnd	fixation.png	
109307	ImageStart	scissors_brush.BMP	
117550	KeyPress	Right	
117550	ImageEnd	scissors_brush.BMP	
117554	ImageStart	fixation.png	
118006	KeyPress	Space	
118006	ImageEnd	fixation.png	
118027	ImageStart	star_cloud.BMP	
125070	KeyPress	Left	
125070	ImageEnd	star_cloud.BMP	
125074	ImageStart	fixation.png	
125485	KeyPress	Space	
125486	ImageEnd	fixation.png	
126471	ImageStart	glass_bowl.BMP	
132493	KeyPress	Right	
132493	ImageEnd	glass_bowl.BMP	
132497	ImageStart	fixation.png	
132989	KeyPress	Space	
132990	ImageEnd	fixation.png	
133549	ImageStart	hand_foot.BMP	
139837	KeyPress	Right	
139837	ImageEnd	hand_foot.BMP	
139841	ImageStart	fixation.png	
140245	KeyPress	Space	
140245	ImageEnd	fixation.png	
140268	ImageStart	garbage can_box.BMP	
143925	KeyPress	Right	
143925	ImageEnd	garbage can_box.BMP	
143929	ImageStart	fixation.png	
144565	KeyPress	Space	
144565	ImageEnd	fixation.png	
144588	ImageStart	lion_bear.BMP	
147877	KeyPress	Left	
147877	ImageEnd	lion_bear.BMP	
147881	ImageStart	fixation.png	
148461	KeyPress	Space	
148461	ImageEnd	fixation.png	
148482	ImageStart	shirt_cap.BMP	
152741	KeyPress	Right	
152741	ImageEnd	shirt_cap.BMP	
152745	ImageStart	fixation.png	
153341	KeyPress	Space	
153341	ImageEnd	fixation.png	
153369	ImageStart	nail_pencil.BMP	
157285	KeyPress	Left	
157285	ImageEnd	nail_pencil.BMP	
157289	ImageStart	fixation.png	
157645	KeyPress	Space	
157645	ImageEnd	fixation.png	
157666	ImageStart	mouse_squirrel.BMP	
161301	KeyPress	Left	
161301	ImageEnd	mouse_squirrel.BMP	
161307	ImageStart	whiteborder.bmp	
161717	KeyPress	Space	
161717	ImageEnd	whiteborder.bmp	
162346	MovieStart	congratulations.wmv	
166421	KeyPress	Escape	
166421	MovieEnd	congratulations.wmv	
