Timestamp	Event	Descriptor	AoiNames	
0			Content	
77			Content	
310			Content	
331	MovieStart	MutedBallie.avi		
627			Content	
1841	KeyPress	Space		
1841	MovieEnd	MutedBallie.avi		
2091	ImageStart	blacksquare.bmp		
12102			Content	
12268			Content	
22416	KeyPress	Space		
22417	ImageEnd	blacksquare.bmp		
22438	ImageStart	Slide1.JPG		
30320	KeyPress	Right		
30320	ImageEnd	Slide1.JPG		
30326	ImageStart	blacksquare.bmp		
39496			Content	
53496	KeyPress	Space		
53496	ImageEnd	blacksquare.bmp		
53517	ImageStart	Slide2.JPG		
59567			Content	
60752	KeyPress	Left		
60752	ImageEnd	Slide2.JPG		
60758	ImageStart	blacksquare.bmp		
67696	KeyPress	Space		
67696	ImageEnd	blacksquare.bmp		
68285	MovieStart	Julia_3.AVI		
69243			Content	
71020	MovieEnd	Julia_3.AVI		
71210	ImageStart	blacksquare.bmp		
75654			Content	
75787			Content	
75887			Content	
78991	KeyPress	Space		
78992	ImageEnd	blacksquare.bmp		
79013	ImageStart	tomato_carrot.BMP		
83856	KeyPress	Right		
83856	ImageEnd	tomato_carrot.BMP		
83861	ImageStart	blacksquare.bmp		
86407	KeyPress	Space		
86407	ImageEnd	blacksquare.bmp		
86429	ImageStart	bread_potato.BMP		
89078			old	
90319	KeyPress	Left		
90319	ImageEnd	bread_potato.BMP		
90326	ImageStart	blacksquare.bmp		
93584	KeyPress	Space		
93584	ImageEnd	blacksquare.bmp		
93605	ImageStart	clock_telephone.BMP		
94806			new	
96263	KeyPress	Left		
96263	ImageEnd	clock_telephone.BMP		
96269	ImageStart	blacksquare.bmp		
102503	KeyPress	Space		
102503	ImageEnd	blacksquare.bmp		
102530	ImageStart	balloon_kite.BMP		
105087	KeyPress	Right		
105087	ImageEnd	balloon_kite.BMP		
105093	ImageStart	blacksquare.bmp		
106655	KeyPress	Space		
106655	ImageEnd	blacksquare.bmp		
106676	ImageStart	apple_pear.BMP		
107963			Content	
108213			new	
108346			new	
109655	KeyPress	Right		
109655	ImageEnd	apple_pear.BMP		
109661	ImageStart	blacksquare.bmp		
110943	KeyPress	Space		
110943	ImageEnd	blacksquare.bmp		
110964	ImageStart	belt_tie.BMP		
111594			Content	
111678			old	
112027			old	
112577			old	
112927			old	
113210			old	
113926			old	
114142			old	
115057			new	
115791			new	
118489			old	
118722			old	
119005			old	
119305			old	
119522			Content	
119754			old	
119920			old	
120036			old	
120303			new	
120503			new	
122501			Content	
126287	KeyPress	Right		
126287	ImageEnd	belt_tie.BMP		
126293	ImageStart	blacksquare.bmp		
128743	KeyPress	Space		
128743	ImageEnd	blacksquare.bmp		
128764	ImageStart	grapes_peach.BMP		
131359	KeyPress	Left		
131359	ImageEnd	grapes_peach.BMP		
131365	ImageStart	blacksquare.bmp		
133207	KeyPress	Space		
133207	ImageEnd	blacksquare.bmp		
133228	ImageStart	eye_nose.BMP		
133744			Content	
134277			new	
134494			new	
135576			new	
137927	KeyPress	Right		
137927	ImageEnd	eye_nose.BMP		
137934	ImageStart	blacksquare.bmp		
139573			Content	
139789			Content	
140622			Content	
140989			Content	
142005			Content	
142771			Content	
142871			Content	
143071			Content	
143262	KeyPress	Space		
143262	ImageEnd	blacksquare.bmp		
143284	ImageStart	chicken_rabbit.BMP		
143554			Content	
143887			new	
144120			new	
