Timestamp	Event	Descriptor	AoiNames	
0			Content	
60			Content	
104	ImageStart	blacksquare.bmp		
277			Content	
576			Content	
1026			Content	
1259			Content	
2031	KeyPress	Space		
2031	ImageEnd	blacksquare.bmp		
2125			Content	
2775	MovieStart	Julia_3.AVI		
2808			Content	
2991			Content	
3724			Content	
3874			Content	
5511	MovieEnd	Julia_3.AVI		
5716	ImageStart	blacksquare.bmp		
5856			Content	
5972			Content	
6355			Content	
6472			Content	
6672			Content	
7238			Content	
7538			Content	
8118	KeyPress	Space		
8119	ImageEnd	blacksquare.bmp		
8141	ImageStart	ladder_dresser.BMP		
8321			Content	
8537			Content	
8637			old	
8887			old	
9003			new	
9137			new	
9936			old	
10469			new	
11219			new	
12068			new	
12351			old	
12934			old	
13334			old	
14050			new	
14383			new	
15565			new	
15682			new	
16847	KeyPress	Right		
16847	ImageEnd	ladder_dresser.BMP		
16853	ImageStart	blacksquare.bmp		
16931			Content	
17147			Content	
17447			Content	
17664			Content	
17847			Content	
18030			Content	
18038	KeyPress	Space		
18038	ImageEnd	blacksquare.bmp		
18059	ImageStart	pig_elephant.BMP		
18297			old	
18696			new	
18946			new	
19113			new	
19362			old	
19945			new	
20728			old	
21228			new	
21811			new	
22327			new	
22477			new	
22710			old	
23243			new	
23459			new	
23976			old	
24492			new	
24725			new	
25541			new	
25774			new	
26474			new	
26674			new	
27190			old	
27623			new	
27989			new	
28705			new	
28822			Content	
28934	KeyPress	Left		
28934	ImageEnd	pig_elephant.BMP		
28940	ImageStart	blacksquare.bmp		
30238			Content	
30521			Content	
30966	KeyPress	Space		
30966	ImageEnd	blacksquare.bmp		
30989	ImageStart	doorknob_bell.BMP		
32053			new	
32269			new	
32486			old	
33038	KeyPress	Left		
33038	ImageEnd	doorknob_bell.BMP		
33044	ImageStart	blacksquare.bmp		
35334			Content	
35462	KeyPress	Space		
35463	ImageEnd	blacksquare.bmp		
35467			Content	
35484	ImageStart	swing_door.BMP		
35783			new	
36200			new	
36833			old	
37649			old	
37865			Content	
38431			old	
38462	KeyPress	Left		
38462	ImageEnd	swing_door.BMP		
38468	ImageStart	blacksquare.bmp		
38898			Content	
39247			Content	
39331			Content	
39580			Content	
39914			Content	
40350	KeyPress	Space		
40350	ImageEnd	blacksquare.bmp		
40372	ImageStart	belt_tie.BMP		
40730			Content	
40863			old	
41129			old	
41546			new	
42079			new	
42562			new	
42645			new	
42845			new	
42902	KeyPress	Right		
42902	ImageEnd	belt_tie.BMP		
42908	ImageStart	blacksquare.bmp		
43594			Content	
43844			Content	
44044			Content	
44760			Content	
45301	KeyPress	Space		
45302	ImageEnd	blacksquare.bmp		
45323	ImageStart	ball_drum.BMP		
45643			new	
45793			new	
46026			new	
46442			old	
46809			old	
50056			new	
50589			old	
50756			old	
51261	KeyPress	Right		
51262	ImageEnd	ball_drum.BMP		
51268	ImageStart	blacksquare.bmp		
51588			Content	
51755			Content	
52171			Content	
52950	KeyPress	Space		
52950	ImageEnd	blacksquare.bmp		
52973	ImageStart	hand_foot.BMP		
53403			Content	
53503			Content	
53620			new	
54036			new	
54203			old	
54419			old	
54736			old	
54852			old	
55136			new	
55452			new	
55752			new	
55935			new	
56197	KeyPress	Right		
56197	ImageEnd	hand_foot.BMP		
56201			Content	
56204	ImageStart	blacksquare.bmp		
56501			Content	
56868			Content	
56951			Content	
57284			Content	
57550			Content	
57650			Content	
57800			Content	
58125	KeyPress	Space		
58125	ImageEnd	blacksquare.bmp		
58146	ImageStart	cow_horse.BMP		
58233			Content	
58366			Content	
58500			old	
58983			new	
59366			old	
60515			new	
60589	KeyPress	Left		
60589	ImageEnd	cow_horse.BMP		
60595	ImageStart	blacksquare.bmp		
60815			Content	
60914			Content	
61564			Content	
61647			Content	
61764			Content	
62064			Content	
62780			Content	
63363			Content	
63453	KeyPress	Space		
63453	ImageEnd	blacksquare.bmp		
63474	ImageStart	garbagecan_box.BMP		
64096			new	
64545			new	
64895			old	
65178			old	
66294			old	
67485	KeyPress	Right		
67485	ImageEnd	garbagecan_box.BMP		
67491	ImageStart	blacksquare.bmp		
67593			Content	
67726			Content	
68126			Content	
68209			Content	
68626			Content	
68842			Content	
69375			Content	
69525	KeyPress	Space		
69525	ImageEnd	blacksquare.bmp		
69546	ImageStart	butterfly_ant.BMP		
69841			Content	
70041			old	
70125			old	
70508			new	
70758			new	
71340			old	
72613	KeyPress	Right		
72614	ImageEnd	butterfly_ant.BMP		
72620	ImageStart	whiteborder.bmp		
73722			Content	
73872			Content	
74338			Content	
74971			Content	
75337			Content	
75570			Content	
75954			Content	
76493	KeyPress	Space		
76493	ImageEnd	whiteborder.bmp		
77536			Content	
77663	MovieStart	Julia_3.AVI		
77935			Content	
80395	MovieEnd	Julia_3.AVI		
80600	ImageStart	blacksquare.bmp		
80883			Content	
81100			Content	
81366			Content	
