System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 045
Recording date:	 11/5/2014
Recording time:	 3:17:04 PM
Recording resolution:	 1280 x 1024

Export date:	 9/14/2015
Export time:	 1:45:16 PM

Participant:	 045
Timestamp	Event	Descriptor	AoiNames	
109	ImageStart	blacksquare.bmp		
409			Content	
809			Content	
1322	KeyPress	Space		
1322	ImageEnd	blacksquare.bmp		
1812	MovieStart	Navjot_3_a.wmv		
1891			Content	
3740			Content	
3978	MovieEnd	Navjot_3_a.wmv		
4140			Content	
4238	ImageStart	butterfly_ant.BMP		
4939			new	
6571			old	
7937			new	
8153			old	
8736			old	
9103			new	
9209	ImageEnd	butterfly_ant.BMP		
9223	ImageStart	blacksquare.bmp		
9336			Content	
9636			Content	
9919			Content	
10319			Content	
10718			Content	
10968			Content	
11220	ImageEnd	blacksquare.bmp		
11401			Content	
11484			Content	
11702	MovieStart	Navjot_3_a.wmv		
11818			Content	
12034			Content	
12384			Content	
12633			Content	
13000			Content	
13183			Content	
13583			Content	
13870	MovieEnd	Navjot_3_a.wmv		
14111	ImageStart	balloon_kite.BMP		
14432			old	
14765			new	
14998			new	
15215			old	
15415			old	
15648			old	
15831			old	
16331			new	
16447			new	
17413			new	
17580			new	
18063			new	
18363			new	
18696			old	
18995			old	
19084	ImageEnd	balloon_kite.BMP		
19098	ImageStart	blacksquare.bmp		
19212			Content	
19495			Content	
19978			Content	
20545			Content	
20761			Content	
21027			Content	
21095	ImageEnd	blacksquare.bmp		
21260			Content	
21494			Content	
21630	MovieStart	Navjot_3_a.wmv		
21860			Content	
22010			Content	
22376			Content	
23807	MovieEnd	Navjot_3_a.wmv		
24112	ImageStart	grapes_peach.BMP		
24125			Content	
24375			new	
24691			new	
25008			old	
25224			old	
25624			old	
25790			new	
26090			new	
26640			old	
27806			old	
27922			old	
28255			old	
28488			old	
28722			new	
29099	ImageEnd	grapes_peach.BMP		
29110	ImageStart	blacksquare.bmp		
29904			Content	
30071			Content	
30504			Content	
30887			Content	
