Timestamp	Event	Descriptor	AoiNames	
0			Content	
94	ImageStart	blacksquare.bmp		
126			Content	
808			Content	
1208			Content	
1321	KeyPress	Space		
1321	ImageEnd	blacksquare.bmp		
1591			Content	
1892	MovieStart	Navjot_3_a.wmv		
2707			Content	
2791			Content	
4071	MovieEnd	Navjot_3_a.wmv		
4275	ImageStart	blacksquare.bmp		
4639			Content	
5005			Content	
5988			Content	
6280	ImageEnd	blacksquare.bmp		
6307	ImageStart	hair_hat.BMP		
6354			Content	
6571			old	
6854			old	
7154			new	
7470			new	
8003			old	
8703			new	
9002			old	
9685			new	
10118			old	
11288	ImageEnd	hair_hat.BMP		
11299	ImageStart	blacksquare.bmp		
11651			Content	
13000			Content	
13299	ImageEnd	blacksquare.bmp		
13327	ImageStart	shirt_cap.BMP		
13583			new	
13916			old	
14166			old	
14415			new	
14715			new	
18307	ImageEnd	shirt_cap.BMP		
18318	ImageStart	blacksquare.bmp		
18344			Content	
18794			Content	
19011			Content	
19294			Content	
20321	ImageEnd	blacksquare.bmp		
20349	ImageStart	garbage can_box.BMP		
20743			Content	
20960			new	
21059			new	
21476			Content	
23492			old	
23841			old	
24258			Content	
24508			new	
24741			old	
25330	ImageEnd	garbage can_box.BMP		
25348	ImageStart	blacksquare.bmp		
26823			Content	
27358	ImageEnd	blacksquare.bmp		
27387	ImageStart	leg_arm.BMP		
27755			new	
28288			old	
28604			new	
28987			new	
29237			new	
29470			new	
29903			new	
30136			new	
30336			new	
30785			new	
31019			new	
31468			old	
31718			old	
32318			old	
32362	ImageEnd	leg_arm.BMP		
32374	ImageStart	blacksquare.bmp		
32534			Content	
34376	ImageEnd	blacksquare.bmp		
34404	ImageStart	scissors_brush.BMP		
34683			new	
35349			old	
35765			old	
36215			old	
37781			old	
38230			new	
38530			new	
39030			old	
39384	ImageEnd	scissors_brush.BMP		
39396	ImageStart	blacksquare.bmp		
39912			Content	
41245			Content	
41395	ImageEnd	blacksquare.bmp		
41421	ImageStart	watermelon_orange.BMP		
41911			new	
42111			new	
42710			old	
43093			old	
43493			new	
43726			new	
44942			old	
45309			old	
45558			new	
45841			new	
46406	ImageEnd	watermelon_orange.BMP		
46419	ImageStart	blacksquare.bmp		
46924			Content	
48415	ImageEnd	blacksquare.bmp		
48444	ImageStart	duck_frog.BMP		
48605			Content	
48790			new	
49106			new	
49756			old	
51138			old	
53423	ImageEnd	duck_frog.BMP		
53435	ImageStart	blacksquare.bmp		
55436	ImageEnd	blacksquare.bmp		
55462	ImageStart	mouse_squirrel.BMP		
56917			new	
57117			old	
57284			old	
58416			old	
59066			new	
59315			new	
60443	ImageEnd	mouse_squirrel.BMP		
60455	ImageStart	blacksquare.bmp		
62455	ImageEnd	blacksquare.bmp		
62483	ImageStart	hand_foot.BMP		
65943			new	
66076			old	
66693			new	
67126			new	
67465	ImageEnd	hand_foot.BMP		
67476	ImageStart	blacksquare.bmp		
69476	ImageEnd	blacksquare.bmp		
69502	ImageStart	star_cloud.BMP		
74483	ImageEnd	star_cloud.BMP		
74494	ImageStart	blacksquare.bmp		
76495	ImageEnd	blacksquare.bmp		
76990	MovieStart	Navjot_3_a.wmv		
79149	MovieEnd	Navjot_3_a.wmv		
79317	ImageStart	blacksquare.bmp		
79384			Content	
80349			Content	
80816			Content	
81132			Content	
81314	ImageEnd	blacksquare.bmp		
81342	ImageStart	lion_bear.BMP		
81582			Content	
81798			new	
82065			new	
82715			old	
82931			old	
83680			new	
83896			new	
84380			old	
84596			old	
85462			new	
85712			new	
86145			old	
86322	ImageEnd	lion_bear.BMP		
86334	ImageStart	blacksquare.bmp		
86345			Content	
86744			Content	
87344			Content	
87661			Content	
87945			Content	
88278			Content	
88335	ImageEnd	blacksquare.bmp		
88367	ImageStart	lips_ear.BMP		
88477			Content	
88627			new	
89127			new	
90393			new	
90709			new	
92524			new	
92641			new	
93091			old	
93344	ImageEnd	lips_ear.BMP		
93357	ImageStart	blacksquare.bmp		
93957			Content	
94523			Content	
95356	ImageEnd	blacksquare.bmp		
95387	ImageStart	ball_drum.BMP		
95589			old	
95855			old	
96172			new	
96671			new	
97504			old	
99619			old	
100364	ImageEnd	ball_drum.BMP		
100376	ImageStart	blacksquare.bmp		
102376	ImageEnd	blacksquare.bmp		
102404	ImageStart	knife_key.BMP		
107383	ImageEnd	knife_key.BMP		
107395	ImageStart	blacksquare.bmp		
109394	ImageEnd	blacksquare.bmp		
109421	ImageStart	sun_tree.BMP		
114401	ImageEnd	sun_tree.BMP		
114413	ImageStart	blacksquare.bmp		
116417	ImageEnd	blacksquare.bmp		
116446	ImageStart	lettuce_corn.BMP		
121424	ImageEnd	lettuce_corn.BMP		
121436	ImageStart	blacksquare.bmp		
123437	ImageEnd	blacksquare.bmp		
123463	ImageStart	glass_bowl.BMP		
127965			old	
128444	ImageEnd	glass_bowl.BMP		
128455	ImageStart	blacksquare.bmp		
130456	ImageEnd	blacksquare.bmp		
130484	ImageStart	ring_watch.BMP		
135466	ImageEnd	ring_watch.BMP		
135478	ImageStart	blacksquare.bmp		
137474	ImageEnd	blacksquare.bmp		
137501	ImageStart	nail_pencil.BMP		
141519			new	
141703			Content	
141886			new	
142203			old	
142484	ImageEnd	nail_pencil.BMP		
142496	ImageStart	blacksquare.bmp		
142603			Content	
142819			Content	
142919			Content	
144496	ImageEnd	blacksquare.bmp		
