Timestamp	Event	Descriptor	AoiNames	
0			Content	
330	MovieStart	MutedBallie.avi		
444			Content	
694			Content	
6523			Content	
8538			Content	
11032	MovieEnd	MutedBallie.avi		
11297	ImageStart	blacksquare.bmp		
11298	KeyPress	Space		
11298	ImageEnd	blacksquare.bmp		
11342	ImageStart	elephant_bear_a.BMP		
11369			Content	
12335			incorrect	
12702			correct	
13002			correct	
13335			correct	
14850			incorrect	
15400			correct	
15666			correct	
16882			Content	
17198			Content	
17398			correct	
17615			correct	
17909	KeyPress	Left		
17909	ImageEnd	elephant_bear_a.BMP		
17913	ImageStart	blacksquare.bmp		
18014			Content	
18397			Content	
18697			Content	
18914			Content	
19147			Content	
19646			Content	
19863			Content	
20296			Content	
21562			Content	
21645			Content	
21945			Content	
22378			Content	
22678			Content	
22877			Content	
23094			Content	
23460			Content	
23468	KeyPress	Space		
23469	ImageEnd	blacksquare.bmp		
23491	ImageStart	clock_bicycle_a.BMP		
24610			incorrect	
25009			correct	
25309			correct	
25542			correct	
26058			incorrect	
26308			incorrect	
26824			correct	
27374			Content	
27541			incorrect	
27857			Content	
27988	KeyPress	Right		
27989	ImageEnd	clock_bicycle_a.BMP		
27993	ImageStart	blacksquare.bmp		
28340			Content	
28423			Content	
28673			Content	
28956			Content	
29256			Content	
29573			Content	
29589	KeyPress	Left		
29589	ImageEnd	blacksquare.bmp		
29610	ImageStart	cake_doll_a.BMP		
29806			incorrect	
30006			incorrect	
30155			incorrect	
30355			correct	
30971			incorrect	
31121			incorrect	
31288			correct	
31871			correct	
32337			incorrect	
32587			incorrect	
33270			incorrect	
33460	KeyPress	Left		
33460	ImageEnd	cake_doll_a.BMP		
33465	ImageStart	blacksquare.bmp		
35252			Content	
35634			Content	
35884			Content	
36051			Content	
36116	KeyPress	Right		
36116	ImageEnd	blacksquare.bmp		
36137	ImageStart	egg_hat_a.BMP		
36351			correct	
36534			incorrect	
36734			incorrect	
37217			correct	
37666			incorrect	
38033			incorrect	
38366			incorrect	
38692	KeyPress	Right		
38692	ImageEnd	egg_hat_a.BMP		
38697	ImageStart	blacksquare.bmp		
39032			Content	
39282			Content	
39748			Content	
40414			Content	
40681			Content	
41196	KeyPress	Right		
41196	ImageEnd	blacksquare.bmp		
41218	ImageStart	bottle_leaf_a.BMP		
41580			incorrect	
41697			incorrect	
41796			correct	
41980			correct	
42729			correct	
42912			correct	
43129			incorrect	
43362			incorrect	
43836	KeyPress	Left		
43836	ImageEnd	bottle_leaf_a.BMP		
43841	ImageStart	blacksquare.bmp		
44528			Content	
46027			Content	
46516	KeyPress	Left		
46516	ImageEnd	blacksquare.bmp		
46537	ImageStart	bunny_dog_a.BMP		
46859			incorrect	
47009			incorrect	
47176			correct	
47709			correct	
48825			Content	
48991			Content	
49224			incorrect	
49436	KeyPress	Left		
49436	ImageEnd	bunny_dog_a.BMP		
49441	ImageStart	blacksquare.bmp		
49457			Content	
49857			Content	
50257			Content	
50540			Content	
51539			Content	
52244	KeyPress	Left		
52244	ImageEnd	blacksquare.bmp		
52267	ImageStart	apple_strawberry_a.BMP		
52555			correct	
52888			correct	
53188			incorrect	
53421			Content	
54387			Content	
54470			incorrect	
54853			incorrect	
54868	KeyPress	Left		
54868	ImageEnd	apple_strawberry_a.BMP		
54872	ImageStart	blacksquare.bmp		
55836			Content	
56719			Content	
56935			Content	
57196	KeyPress	Left		
57196	ImageEnd	blacksquare.bmp		
