System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 002
Recording date:	 6/13/2014
Recording time:	 3:48:29 PM
Recording resolution:	 1280 x 1024

Export date:	 10/5/2015
Export time:	 11:07:51 AM

Participant:	 002
Timestamp	Event	Descriptor	AoiNames	
0			Content	
127			Content	
337	MovieStart	MutedBallie.avi		
560			Content	
5956			Content	
7421			Content	
7721			Content	
8820			Content	
9187			Content	
9670			Content	
11032	MovieEnd	MutedBallie.avi		
11268	ImageStart	blacksquare.bmp		
12367			Content	
12634			Content	
12834			Content	
13276	ImageEnd	blacksquare.bmp		
13304	ImageStart	cookie_pizza_a.BMP		
13583			correct	
14000			incorrect	
14949			correct	
15299			Content	
20015	KeyPress	Left		
20015	ImageEnd	cookie_pizza_a.BMP		
20020	ImageStart	blacksquare.bmp		
21260			Content	
21807	KeyPress	Space		
21876			Content	
22027	ImageEnd	blacksquare.bmp		
22051	ImageStart	shoe_sock_a.BMP		
22426			correct	
22609			correct	
23759			incorrect	
24491			incorrect	
24658			incorrect	
25108			correct	
25307			correct	
25441			correct	
25807			correct	
26024			correct	
26506			correct	
27535	KeyPress	Left		
27535	ImageEnd	shoe_sock_a.BMP		
27539	ImageStart	blacksquare.bmp		
28538			Content	
28615	KeyPress	Space		
29546	ImageEnd	blacksquare.bmp		
29573	ImageStart	balloons_duck_a.BMP		
30187			incorrect	
30487			incorrect	
30920			correct	
31153			correct	
31653			correct	
33383	KeyPress	Right		
33383	ImageEnd	balloons_duck_a.BMP		
33387	ImageStart	blacksquare.bmp		
33784			Content	
34034			Content	
34711	KeyPress	Space		
35395	ImageEnd	blacksquare.bmp		
35422	ImageStart	flowers_cat_a.BMP		
35916			incorrect	
36049			Content	
36482			correct	
36715			correct	
37098			correct	
37798			correct	
37998			correct	
39155	KeyPress	Left		
39155	ImageEnd	flowers_cat_a.BMP		
39159	ImageStart	blacksquare.bmp		
40870	KeyPress	Space		
41168	ImageEnd	blacksquare.bmp		
41194	ImageStart	pig_butterfly_a.BMP		
44134	KeyPress	Right		
44134	ImageEnd	pig_butterfly_a.BMP		
44139	ImageStart	blacksquare.bmp		
44959			Content	
45426			Content	
46144	ImageEnd	blacksquare.bmp		
46177	ImageStart	tv_bread_a.BMP		
46238	KeyPress	Space		
46238	ImageEnd	tv_bread_a.BMP		
46385	ImageStart	blacksquare.bmp		
46708			Content	
48328	ImageEnd	blacksquare.bmp		
48355	ImageStart	orange_ball_a.BMP		
48740			correct	
49622			Content	
49939			incorrect	
50405			incorrect	
51088			correct	
51738			correct	
51904			correct	
52154			incorrect	
52687			incorrect	
52870			incorrect	
53153			incorrect	
53386			incorrect	
53786			incorrect	
53986			incorrect	
54152			incorrect	
54452			incorrect	
54552			correct	
54735			correct	
57766	KeyPress	Right		
57766	ImageEnd	orange_ball_a.BMP		
57771	ImageStart	blacksquare.bmp		
