System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 039
Recording date:	 11/3/2014
Recording time:	 12:44:00 PM
Recording resolution:	 1280 x 1024

Export date:	 9/14/2015
Export time:	 2:07:46 PM

Participant:	 039
Timestamp	Event	Descriptor	AoiNames	
0			Content	
312	MovieStart	MutedBallie.avi		
449			Content	
666			Content	
5707	KeyPress	Space		
5707	MovieEnd	MutedBallie.avi		
7079	ImageStart	blacksquare.bmp		
8693			Content	
8835	KeyPress	Space		
8835	ImageEnd	blacksquare.bmp		
8858	ImageStart	cake_hat_a.BMP		
11457			Content	
19069			correct	
19469			incorrect	
19969			incorrect	
20435			incorrect	
20918			incorrect	
21384			incorrect	
21817			incorrect	
22083			incorrect	
22683			incorrect	
23016			incorrect	
23233			incorrect	
23582			incorrect	
23782			correct	
23982			correct	
31377			incorrect	
39870			Content	
46582			incorrect	
46665			incorrect	
46898			incorrect	
47298			incorrect	
47448			incorrect	
47598			incorrect	
48281			correct	
48647			correct	
49013			correct	
49296			correct	
49496			Content	
49780			Content	
49912			correct	
50026	KeyPress	Right		
50027	ImageEnd	cake_hat_a.BMP		
50029			Content	
50031	ImageStart	blacksquare.bmp		
51128			Content	
51294			Content	
54234	KeyPress	Space		
54234	ImageEnd	blacksquare.bmp		
54255	ImageStart	jacket_leaf_a.BMP		
55142			incorrect	
56025			incorrect	
57424			correct	
58739			Content	
59389			correct	
59905			correct	
61304			correct	
61438			correct	
62053			correct	
62287			correct	
62330	KeyPress	Right		
62330	ImageEnd	jacket_leaf_a.BMP		
62335	ImageStart	blacksquare.bmp		
64235			Content	
64485			Content	
64618			Content	
64868			Content	
64946	KeyPress	Space		
64947	ImageEnd	blacksquare.bmp		
64969	ImageStart	apple_bear_a.BMP		
65051			correct	
65202			Content	
66534			Content	
67433			correct	
68149			correct	
68282			correct	
68515			correct	
70514			correct	
72080			Content	
72596			Content	
72963			incorrect	
75078			correct	
75461			Content	
75744			Content	
79178	KeyPress	Left		
79178	ImageEnd	apple_bear_a.BMP		
79182	ImageStart	blacksquare.bmp		
81314	KeyPress	Space		
81314	ImageEnd	blacksquare.bmp		
81336	ImageStart	elephant_broccoli_a.BMP		
84037			correct	
84387			correct	
84620			correct	
85236			Content	
85403			correct	
86435			correct	
86569			incorrect	
86902			incorrect	
87301			incorrect	
87784			incorrect	
87951			incorrect	
88167			incorrect	
89383			correct	
89550			correct	
89833			correct	
90632			correct	
90965			correct	
91165			correct	
92231			correct	
93147			correct	
93447			correct	
94246			correct	
94746			correct	
94769	KeyPress	Right		
94770	ImageEnd	elephant_broccoli_a.BMP		
94774	ImageStart	blacksquare.bmp		
97121	KeyPress	Space		
97122	ImageEnd	blacksquare.bmp		
97143	ImageStart	clock_dog_a.BMP		
99609			Content	
100425			Content	
101141			Content	
101345	KeyPress	Left		
