System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 053
Recording date:	 12/3/2014
Recording time:	 2:12:14 PM
Recording resolution:	 1280 x 1024

Export date:	 9/14/2015
Export time:	 3:17:38 PM

Participant:	 053
Timestamp	Event	Descriptor	AoiNames	
0			Content	
123			Content	
328	MovieStart	MutedBallie.avi		
423			Content	
672			Content	
972			Content	
2204	KeyPress	Space		
2205	MovieEnd	MutedBallie.avi		
2541	ImageStart	blacksquare.bmp		
3038			Content	
5179	KeyPress	Space		
5179	ImageEnd	blacksquare.bmp		
5201	ImageStart	Slide1.JPG		
7601			AOI_1	
8149			AOI_1	
8316			AOI_1	
11627	KeyPress	Space		
11627	ImageEnd	Slide1.JPG		
11635	ImageStart	blacksquare.bmp		
12547	KeyPress	Space		
12548	ImageEnd	blacksquare.bmp		
12570	ImageStart	Slide2.JPG		
14511			AOI_1	
14961			AOI_1	
15443			AOI_1	
20407			AOI_1	
22022			AOI_1	
23155	KeyPress	Space		
23155	ImageEnd	Slide2.JPG		
23163	ImageStart	blacksquare.bmp		
23875	KeyPress	Space		
23875	ImageEnd	blacksquare.bmp		
23897	ImageStart	Slide3.JPG		
30147	KeyPress	Space		
30147	ImageEnd	Slide3.JPG		
30154	ImageStart	blacksquare.bmp		
31643	KeyPress	Space		
31643	ImageEnd	blacksquare.bmp		
31664	ImageStart	Slide4.JPG		
38795	KeyPress	Space		
38795	ImageEnd	Slide4.JPG		
38803	ImageStart	blacksquare.bmp		
39403	KeyPress	Space		
39403	ImageEnd	blacksquare.bmp		
39424	ImageStart	Slide5.JPG		
49755	KeyPress	Space		
49755	ImageEnd	Slide5.JPG		
49763	ImageStart	blacksquare.bmp		
50274	KeyPress	Space		
50274	ImageEnd	blacksquare.bmp		
50296	ImageStart	Slide6.JPG		
54582			correct	
55298			incorrect	
55815			correct	
55965			correct	
58266	KeyPress	Space		
58266	ImageEnd	Slide6.JPG		
58274	ImageStart	blacksquare.bmp		
58914	KeyPress	Space		
58914	ImageEnd	blacksquare.bmp		
58935	ImageStart	Slide7.JPG		
59878			incorrect	
60012			Content	
60411			Content	
60861			Content	
61444			Content	
61677			Content	
66239			Content	
69503			Content	
69836			incorrect	
75715			incorrect	
75949			incorrect	
76749			correct	
76932			correct	
77348			correct	
77554	KeyPress	Space		
77554	ImageEnd	Slide7.JPG		
77564	ImageStart	blacksquare.bmp		
77681			Content	
77914			Content	
78098	KeyPress	Space		
78098	ImageEnd	blacksquare.bmp		
78119	ImageStart	Slide8.JPG		
78314			Content	
78547			correct	
78880			correct	
79447			Content	
82961			Content	
83043			correct	
83277			correct	
83660			correct	
83843			correct	
85325			correct	
85825			Content	
87323			correct	
87457			correct	
88066	KeyPress	Space		
88066	ImageEnd	Slide8.JPG		
88087	InstructionStart	Instruction Element		
88555			Content	
88689			Content	
89205			Content	
89450	KeyPress	Escape		
89450	InstructionEnd	Instruction Element		
