System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 098
Recording date:	 9/25/2015
Recording time:	 9:30:33 AM
Recording resolution:	 1280 x 1024

Export date:	 9/28/2015
Export time:	 2:49:03 PM

Participant:	 098
Timestamp	Event	Descriptor	AoiNames	
0			Content	
384	MovieStart	MutedBallie.avi		
588			Content	
831	KeyPress	Space		
831	MovieEnd	MutedBallie.avi		
1520	ImageStart	blacksquare.bmp		
1970			Content	
2120			Content	
2303			Content	
2570			Content	
2803			Content	
3552			Content	
3819			Content	
3942	KeyPress	Space		
3942	ImageEnd	blacksquare.bmp		
3947	ImageStart	fixation.png		
4035			Content	
4368			Content	
4502			Content	
4956	ImageEnd	fixation.png		
4986	ImageStart	Slide1.JPG		
5234			AOI_1	
5401			AOI_1	
6517			AOI_1	
6883			AOI_1	
8649			AOI_1	
8865			AOI_1	
9715			AOI_1	
10297			AOI_1	
10731			AOI_1	
10774	KeyPress	Space		
10775	ImageEnd	Slide1.JPG		
10778	ImageStart	fixation.png		
11080			Content	
11263			Content	
11790	ImageEnd	fixation.png		
11826	ImageStart	Slide2.JPG		
12113			AOI_1	
12329			AOI_1	
14278			AOI_1	
14494			AOI_1	
15127			AOI_1	
15777			AOI_1	
16734	KeyPress	Space		
16734	ImageEnd	Slide2.JPG		
16739	ImageStart	fixation.png		
16842			Content	
17059			Content	
17748	ImageEnd	fixation.png		
17775	ImageStart	Slide3.JPG		
18108			correct	
18508			correct	
18891			correct	
20090			correct	
20889			correct	
21522			incorrect	
21839			incorrect	
22238			incorrect	
23204			incorrect	
23687			correct	
23734	KeyPress	Space		
23734	ImageEnd	Slide3.JPG		
23740	ImageStart	fixation.png		
24054			Content	
24737	ImageEnd	fixation.png		
25403			Content	
25519			Content	
25836			correct	
26066	ImageStart	Slide4.JPG		
26585			correct	
26835			correct	
27135			correct	
28284			correct	
29133			incorrect	
29833			incorrect	
30549			incorrect	
31531			correct	
32662	KeyPress	Space		
32662	ImageEnd	Slide4.JPG		
32666	ImageStart	fixation.png		
32964			Content	
33676	ImageEnd	fixation.png		
33710	ImageStart	Slide5.JPG		
34146			correct	
34546			incorrect	
34862			incorrect	
35279			correct	
36444			correct	
36977			correct	
37610			incorrect	
38426			incorrect	
38893			incorrect	
39326			correct	
39525			correct	
39842			incorrect	
40375			correct	
41291			Content	
41657			incorrect	
42090			incorrect	
42490			correct	
42823			correct	
43741	KeyPress	Space		
43742	ImageEnd	Slide5.JPG		
43746	ImageStart	fixation.png		
43822			Content	
44056			Content	
44751	ImageEnd	fixation.png		
44782	ImageStart	Slide6.JPG		
45171			incorrect	
45255			incorrect	
45921			incorrect	
46137			incorrect	
47170			incorrect	
47853			incorrect	
48219			incorrect	
48702			incorrect	
49551			correct	
49984			correct	
50384			correct	
50850			incorrect	
51373	KeyPress	Space		
51373	ImageEnd	Slide6.JPG		
51377	ImageStart	fixation.png		
51383			Content	
51716			Content	
52380	ImageEnd	fixation.png		
52408	ImageStart	Slide7.JPG		
52699			incorrect	
53015			correct	
53265			correct	
53848			correct	
54431			correct	
54997			correct	
55996			correct	
56979			correct	
57479			correct	
58478			incorrect	
59494			incorrect	
59933	KeyPress	Space		
59933	ImageEnd	Slide7.JPG		
59937	ImageStart	fixation.png		
60227			Content	
60945	ImageEnd	fixation.png		
60975	ImageStart	Slide8.JPG		
61276			incorrect	
61759			incorrect	
61992			incorrect	
65156			incorrect	
65856			correct	
66489			correct	
66822			correct	
67105			correct	
68221			correct	
68454			incorrect	
69236			Content	
69353			incorrect	
69536			Content	
70069			incorrect	
70253	KeyPress	Space		
70253	ImageEnd	Slide8.JPG		
70269			Content	
70301	InstructionStart	Instruction Element		
70486			Content	
70685			Content	
71635			Content	
72309	KeyPress	Space		
72309	InstructionEnd	Instruction Element		
