Data properties:

Recording date: 5/10/2016
Recording time: 09:27:09:862 (corresponds to time 0)
Study: 10
Subject: 123
Recording: 123
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	26	300	21	147	
2	326	566	62	113	
3	1059	183	69	106	
4	1608	750	641	537	
5	2358	233	715	592	
6	2591	367	664	1088	
7	3141	267	695	592	
8	3407	300	57	746	
9	3707	100	53	709	
10	3923	583	183	121	
11	4973	17	183	160	
12	5756	67	133	744	
13	8819	34	210	1098	
14	9403	133	392	433	
15	9802	83	453	156	
16	10185	1582	420	169	
17	11934	50	637	440	
18	12101	100	64	-3	
19	12417	17	76	83	
20	13133	17	85	76	
21	13400	383	63	81	
22	14033	366	65	61	
23	14682	933	68	72	
24	16064	133	716	362	
25	16198	266	730	323	
26	16464	300	241	359	
27	16764	466	169	331	
28	17230	250	710	342	
29	17480	133	728	298	
30	17613	233	707	346	
31	20427	17	-1	63	
32	20727	17	44	64	
33	20944	150	48	93	
34	21343	17	90	708	
35	21710	17	65	777	
36	22260	33	41	82	
37	23576	167	628	344	
38	23742	150	742	344	
39	23892	399	754	288	
40	24292	166	257	411	
41	24458	100	216	315	
42	29737	683	359	326	
43	30586	83	26	78	
44	30670	550	87	87	
45	31469	17	108	710	
46	31919	100	78	110	
47	32652	17	65	78	
48	32769	17	76	96	
49	33052	283	73	78	
50	33518	333	71	80	
51	36299	183	741	341	
52	42994	117	76	579	
53	43561	400	737	391	
54	43960	217	283	317	
55	44177	250	219	285	
56	44427	849	758	388	
57	114407	17	331	211	
58	137258	333	333	354	
59	137591	200	764	389	
60	137791	766	833	375	
61	138557	316	663	314	
62	138873	1149	343	360	
63	140023	150	263	334	
64	140172	200	766	366	
65	140372	566	846	364	
66	140939	316	681	302	
67	141255	949	857	347	
68	142204	416	1044	410	
69	142621	750	831	347	
70	147134	233	437	240	
71	147534	150	423	265	
72	148467	216	328	236	
