Data properties:

Recording date: 5/13/2016
Recording time: 11:19:56:840 (corresponds to time 0)
Study: 11
Subject: 124
Recording: 124
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	308	183	-36	143	
1	491	932	37	119	
2	2240	17	312	1252	
3	3256	66	-60	1254	
4	3939	117	-948	991	
5	4322	499	397	315	
6	4821	216	380	351	
7	5204	916	392	313	
8	6420	633	601	565	
9	7203	166	433	416	
10	7536	17	389	372	
11	7786	383	219	308	
12	8169	100	295	323	
13	8385	183	691	302	
14	8902	283	698	282	
15	9185	283	251	329	
16	9468	466	203	291	
17	10084	100	142	343	
18	10184	466	128	379	
19	10650	283	155	281	
20	11150	133	311	324	
21	11283	217	639	341	
22	11500	250	720	266	
23	11949	316	562	248	
24	12399	150	710	412	
25	12549	100	683	467	
26	12816	183	405	242	
27	12999	133	-89	495	
28	13315	17	123	369	
29	13448	150	319	284	
30	13598	1632	378	306	
31	15446	367	426	413	
32	15813	300	262	375	
33	16296	83	516	634	
34	16579	133	649	344	
35	16829	17	747	335	
36	16979	17	759	344	
37	17328	17	732	325	
38	17611	333	733	335	
39	18178	17	735	329	
40	18411	17	641	314	
41	18744	183	208	423	
42	18927	333	188	336	
43	19260	899	151	301	
44	20293	167	579	358	
45	20459	100	538	365	
46	20676	217	740	498	
47	21142	250	186	271	
48	21392	250	375	282	
49	21642	1249	368	337	
50	23024	33	385	502	
51	23324	166	351	310	
52	23724	17	365	593	
53	23923	250	445	432	
54	24440	33	291	988	
55	24839	117	157	463	
56	24956	183	142	430	
57	25139	200	172	487	
58	25505	200	255	491	
59	25705	466	620	409	
60	26355	149	545	481	
61	26504	250	517	422	
62	27037	250	535	409	
63	27287	433	706	423	
64	27953	33	582	324	
65	28170	150	363	286	
66	28320	233	141	300	
67	28553	250	61	317	
68	29103	450	464	263	
69	29552	333	386	297	
70	29885	866	366	345	
71	30985	17	350	335	
72	31135	83	367	347	
73	31751	116	597	595	
74	32001	17	438	444	
75	32351	516	316	396	
76	32867	100	346	542	
77	33333	450	638	338	
78	33916	816	637	356	
79	34732	350	235	369	
80	35082	150	327	404	
81	35365	117	217	483	
82	35581	500	340	410	
83	36648	216	948	579	
84	36864	499	840	590	
85	37363	416	441	346	
86	37780	350	426	290	
87	38246	17	345	325	
88	38496	283	376	343	
89	38946	150	367	332	
90	39462	216	358	309	
91	40011	17	550	580	
92	40345	133	378	412	
93	40478	283	636	369	
94	40761	150	743	374	
95	41027	183	771	377	
96	41310	766	769	380	
97	42243	150	665	384	
98	42393	816	617	429	
99	43209	133	582	447	
100	43459	333	571	447	
101	43909	17	761	375	
102	44142	133	496	378	
103	44275	200	173	396	
104	44475	133	96	404	
105	44608	100	127	480	
106	44708	766	158	410	
107	45674	333	466	310	
108	46007	167	379	316	
109	46390	666	381	343	
110	47173	233	384	355	
111	47539	117	388	411	
112	47989	333	601	615	
113	48539	116	526	461	
