Data properties:

Recording date: 1/13/2016
Recording time: 10:08:17:090 (corresponds to time 0)
Study: perceptual_4
Subject: 108
Recording: 108
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
2	0	430	-518	-113	
3	630	117	549	385	
4	747	483	59	123	
5	1230	2515	74	91	
6	3745	183	-1402	582	
7	4145	83	-1244	571	
8	4228	233	-343	238	
9	6893	450	-1916	924	
10	7342	633	21	69	
11	7975	3547	87	89	
12	11522	416	-510	681	
13	11939	333	-942	934	
14	12272	183	-78	151	
15	12455	633	50	75	
16	13088	366	-1033	600	
17	13454	200	3	195	
18	13654	383	54	81	
19	14037	167	-36	654	
20	14204	283	453	397	
21	14487	233	244	291	
22	14720	200	711	281	
23	14920	550	773	220	
24	15469	200	705	391	
25	15669	216	180	372	
26	15886	1232	218	234	
27	18301	233	61	89	
28	18800	200	8	46	
29	19000	250	456	363	
30	19250	316	203	305	
31	19566	633	252	221	
32	20199	533	785	219	
33	20732	250	732	454	
34	20982	400	757	208	
35	21382	450	223	246	
36	21831	150	158	449	
37	21981	634	156	552	
38	22615	249	0	80	
39	22864	550	62	85	
40	23413	167	2	96	
41	23580	783	56	84	
42	24363	266	220	342	
43	24629	200	736	322	
44	24829	416	768	245	
45	25245	316	713	387	
46	25562	350	811	299	
47	25912	650	873	316	
48	26561	300	52	80	
49	27094	83	112	120	
50	27177	1049	68	94	
51	28227	550	245	336	
52	28776	183	454	311	
53	28959	416	225	289	
54	29376	583	213	239	
55	29959	500	359	344	
56	30458	1099	53	82	
57	31558	500	390	108	
58	32057	317	477	365	
59	32374	333	250	334	
60	32707	217	220	263	
61	32923	200	198	230	
62	33123	250	725	306	
63	33373	333	804	265	
64	33706	699	858	276	
65	34406	283	770	271	
66	34689	183	-49	59	
67	34872	1732	73	86	
68	36604	200	237	379	
69	36804	316	128	276	
70	37120	566	331	526	
71	37687	350	123	266	
