Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
2	0	165	573	679	
3	165	133	644	740	
4	299	317	90	152	
5	615	2332	198	230	
6	3230	566	185	224	
7	3963	17	177	220	
8	4363	100	719	653	
9	4579	17	740	655	
10	4745	316	732	658	
11	5445	100	384	1076	
12	5545	350	656	1135	
13	6244	117	620	573	
14	6544	166	601	561	
15	6827	150	298	931	
16	7210	167	-1136	1258	
17	7377	266	-941	1207	
18	7643	183	-892	1074	
19	7943	50	-1149	1056	
20	9975	216	1	484	
21	10341	50	446	840	
22	10492	83	637	825	
23	10691	749	370	477	
24	11441	233	330	546	
25	11674	316	299	509	
26	12124	100	365	494	
27	12373	117	296	442	
28	12940	17	387	468	
29	13223	133	367	483	
30	13556	333	270	499	
31	13889	816	380	477	
32	14705	317	319	475	
33	15021	167	172	454	
34	15188	366	378	478	
35	15554	100	295	432	
36	15654	250	315	486	
37	15904	350	373	470	
38	16254	217	20	168	
39	16470	433	144	198	
40	16904	150	183	360	
41	17053	316	164	190	
42	17369	200	789	453	
43	17569	250	826	469	
44	17819	200	802	410	
45	18169	100	826	472	
46	18269	233	821	527	
47	18502	383	823	471	
48	18885	100	797	393	
49	18985	200	819	465	
50	19185	433	741	523	
51	19618	250	209	174	
52	19868	100	127	131	
53	19968	166	193	190	
54	20134	117	124	135	
55	20251	233	205	188	
56	20484	266	532	418	
57	21567	150	429	459	
58	21717	150	521	496	
59	21866	133	632	463	
60	22000	633	294	490	
61	23032	500	793	459	
62	23532	682	898	522	
63	24214	200	882	466	
64	24414	266	804	464	
65	24680	150	915	475	
66	24997	100	925	521	
67	25097	100	901	454	
68	25197	166	928	521	
69	25363	167	804	479	
70	25530	200	737	418	
71	25730	833	301	401	
72	26563	267	729	404	
73	26829	216	864	464	
74	27046	100	912	523	
75	27146	133	911	452	
76	27279	1382	174	449	
77	28661	217	320	456	
78	28994	150	409	476	
79	32126	99	10	563	
80	32475	183	-12	537	
81	32658	266	25	564	
82	33091	50	36	564	
83	33257	250	155	546	
84	33724	17	622	463	
85	34207	33	857	521	
86	34807	233	132	195	
87	35372	33	288	1087	
88	35989	83	310	477	
89	36072	133	314	514	
90	36439	167	348	573	
91	36739	467	375	568	
92	37206	116	259	555	
93	37322	133	378	582	
94	37455	183	269	551	
95	37639	200	843	556	
96	37838	1582	882	558	
97	39587	233	298	505	
98	39821	133	342	514	
99	40203	100	528	928	
100	44467	83	809	397	
101	44550	466	847	429	
102	45017	833	180	191	
103	45850	216	512	467	
104	46066	200	325	454	
105	46266	100	469	519	
106	46366	466	241	480	
107	46832	183	721	457	
108	47015	183	783	526	
109	47198	566	747	532	
110	47765	200	330	460	
111	47965	983	242	475	
112	48947	117	287	496	
113	49180	183	-237	911	
114	49364	183	207	534	
115	49713	16	-1172	1122	
116	49963	83	521	539	
117	50046	200	269	459	
118	50246	167	482	504	
119	50646	17	477	532	
120	50962	150	811	454	
121	51112	133	862	533	
122	52011	133	243	484	
123	52578	233	248	481	
124	52811	117	557	511	
125	53827	17	266	213	
126	54426	83	482	458	
127	54510	300	259	477	
128	54809	217	340	544	
129	55026	450	452	556	
130	55592	133	452	561	
131	55725	916	250	368	
132	56641	383	468	549	
133	57024	200	332	534	
134	57224	200	196	515	
135	57590	117	318	532	
136	57707	100	177	509	
137	57807	183	340	538	
138	57990	333	218	511	
139	58323	200	339	540	
140	58756	217	465	576	
141	58973	450	747	490	
142	59423	200	791	555	
143	59623	116	759	521	
144	59739	983	771	558	
145	60938	150	146	520	
146	61088	117	223	497	
147	61754	150	269	393	
148	61904	183	511	470	
149	62088	116	267	396	
150	62204	283	290	431	
151	62487	100	390	443	
152	62587	366	272	419	
153	63586	117	841	466	
154	63703	133	786	405	
155	65734	84	202	502	
156	65818	350	-233	294	
157	68166	1765	814	433	
158	70081	100	843	535	
159	70181	1132	840	477	
160	71314	1133	829	431	
161	72446	500	931	427	
162	72946	699	388	467	
163	73845	50	255	552	
164	74012	100	404	575	
165	74461	100	661	522	
166	74561	250	802	483	
167	74811	366	823	435	
168	75178	366	396	482	
169	75544	133	372	558	
170	75794	250	-3	177	
171	76043	833	198	207	
172	76876	500	809	457	
173	77376	533	850	568	
174	77909	283	399	539	
175	78192	333	452	564	
176	78525	100	358	545	
177	78625	184	456	576	
178	78808	100	444	500	
179	78908	100	350	467	
180	79008	400	419	454	
181	79408	133	324	400	
182	79541	549	445	563	
183	80191	650	454	560	
184	81590	849	803	443	
185	82439	233	808	539	
186	82672	200	881	558	
187	82872	167	472	451	
188	83039	233	423	449	
189	83272	117	352	387	
190	83388	416	425	415	
191	83805	117	850	378	
192	83921	133	872	446	
193	84054	333	933	466	
194	84388	166	945	534	
195	84554	233	934	471	
196	84787	666	823	449	
197	85603	84	566	922	
198	85687	116	525	889	
199	85803	433	-191	1166	
200	86236	183	-65	1156	
201	86419	217	217	1173	
