Data properties:

Recording date: 4/15/2016
Recording time: 10:50:24:782 (corresponds to time 0)
Study: False Belief 1
Subject: 121
Recording: 121
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	0	288	694	486	
1	405	450	129	23	
2	855	2631	112	98	
3	5235	17	-740	32	
4	9248	17	280	337	
5	9448	17	-2	331	
6	9582	333	282	337	
7	10081	17	164	391	
8	10448	250	135	378	
9	10698	1599	282	338	
10	12296	983	72	108	
11	13279	250	732	365	
12	13529	1282	772	356	
13	14811	449	664	398	
14	15261	250	779	345	
15	15510	100	697	333	
16	15827	67	663	294	
17	16693	350	570	435	
18	17043	100	637	356	
19	17409	550	621	335	
20	17959	550	773	355	
21	18508	633	111	90	
22	19274	300	511	379	
23	19574	100	691	357	
24	19840	83	745	364	
25	19924	350	875	416	
26	20273	300	280	331	
27	20573	500	171	366	
28	21073	1216	321	334	
29	22289	216	779	357	
30	22505	333	720	345	
31	22838	366	874	426	
32	23205	683	715	348	
33	23887	666	305	321	
34	24554	583	174	365	
35	25353	1099	94	91	
36	26452	266	725	453	
37	26719	1182	856	458	
38	27901	1116	812	289	
39	29017	416	686	452	
40	29433	233	274	404	
41	29666	616	273	460	
42	30283	699	270	297	
43	30982	633	269	456	
44	31798	117	776	384	
45	31915	600	857	463	
46	32514	166	725	367	
47	32681	833	648	359	
48	33514	933	277	317	
49	34613	83	75	44	
50	34696	966	116	88	
51	35662	266	759	395	
52	35928	833	272	384	
53	36878	50	240	380	
54	37044	50	227	380	
55	37211	466	238	376	
56	37794	866	257	379	
57	38826	400	256	385	
58	39226	183	532	363	
59	39526	183	756	297	
60	39709	550	741	446	
61	40259	500	795	434	
62	40758	583	761	294	
63	41341	233	210	393	
64	41574	500	245	384	
65	42074	366	360	379	
66	42440	283	770	347	
67	42724	366	751	311	
68	43090	283	238	415	
69	43373	500	266	390	
70	44073	17	249	389	
71	44322	233	263	393	
72	44789	17	267	379	
73	44989	117	274	377	
74	45305	133	-80	88	
75	45438	1066	101	83	
76	46504	433	725	377	
77	47104	250	739	487	
78	47520	350	352	469	
79	47870	117	205	447	
80	48086	683	227	456	
81	48769	200	283	293	
82	48969	566	245	293	
83	49535	1216	210	464	
84	50751	250	249	330	
85	51001	300	251	283	
86	51301	766	366	479	
87	52067	267	803	460	
88	52333	649	744	472	
89	52983	1116	103	89	
90	54232	250	282	318	
91	54482	183	787	331	
92	54665	1049	769	280	
93	55714	650	757	432	
94	56364	550	778	294	
95	56913	799	775	364	
96	57712	1066	769	288	
97	58778	500	769	372	
98	59278	233	296	421	
99	59511	400	298	466	
100	59911	450	263	311	
101	60510	316	260	321	
102	60827	933	276	455	
103	61760	733	224	468	
104	62492	200	77	77	
105	62692	899	118	82	
106	63591	433	765	350	
107	64024	266	702	433	
108	64291	533	350	436	
109	64823	483	224	436	
110	65307	466	294	315	
111	65773	766	358	457	
112	66722	1382	309	291	
113	68104	183	727	320	
114	68288	483	766	306	
115	68771	1699	700	446	
116	70469	183	717	356	
117	70653	766	761	287	
118	71419	383	729	428	
119	71802	266	841	453	
120	72068	866	897	347	
121	73217	133	485	550	
122	73351	333	855	945	
123	73684	250	728	1050	
124	74067	150	676	579	
125	74217	699	650	540	
