Data properties:

Recording date: 4/29/2016
Recording time: 12:02:42:070 (corresponds to time 0)
Study: True Belief 1
Subject: 121
Recording: 121
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	0	47	665	480	
1	47	300	512	-2	
2	513	83	139	82	
3	596	1299	89	97	
4	5326	1182	231	340	
5	6509	233	129	443	
6	6742	949	102	384	
7	7691	466	219	358	
8	11722	34	-200	19	
9	11939	167	-136	98	
10	12105	216	93	79	
11	13304	1432	778	353	
12	15385	316	650	408	
13	15702	766	760	352	
14	16468	216	781	386	
15	16684	100	758	281	
16	21448	266	100	382	
17	21714	516	234	330	
18	22230	816	94	368	
19	23046	366	237	349	
20	23413	400	99	369	
21	23812	749	235	333	
22	24562	183	783	358	
23	24745	666	875	428	
24	25411	833	253	354	
25	26244	1033	58	83	
26	27276	283	692	423	
27	27560	150	874	424	
28	27909	916	840	500	
29	28825	216	788	350	
30	29192	166	772	231	
31	31890	167	34	467	
32	32056	183	-5	436	
33	32706	183	790	386	
34	32889	283	818	308	
35	33172	550	633	347	
36	33722	1016	76	90	
37	34738	466	171	402	
38	35204	366	756	430	
39	35570	550	186	378	
40	36120	216	777	396	
41	36337	316	783	449	
42	36653	483	745	287	
43	37136	266	759	455	
44	37402	500	834	473	
45	37902	316	748	337	
46	38218	366	790	432	
47	38585	483	829	480	
48	39201	283	802	437	
49	39484	183	250	369	
50	39667	1282	170	377	
51	40950	783	326	346	
52	41732	200	771	371	
53	41932	783	775	435	
54	42715	766	750	298	
55	43481	799	228	378	
56	44281	1132	71	93	
57	45413	366	281	360	
58	45780	150	182	470	
59	45929	1166	142	464	
60	47095	783	744	485	
61	47878	766	763	325	
62	48644	283	771	272	
63	48927	250	234	326	
64	49177	983	168	322	
65	50159	483	319	300	
66	50642	1132	302	482	
67	51775	466	70	78	
68	52441	83	-524	68	
69	52524	250	416	355	
70	52891	633	751	295	
71	53524	833	771	357	
72	54356	450	743	296	
73	54806	833	761	367	
74	55772	133	777	356	
75	55905	866	761	291	
76	56771	699	766	359	
77	57471	233	263	367	
78	57704	383	235	477	
79	58087	266	760	333	
80	58353	1266	762	290	
81	59619	300	504	-20	
82	60052	1216	72	101	
83	61268	233	730	464	
84	61501	216	693	459	
85	61717	616	297	447	
86	62334	283	719	445	
87	62617	117	688	399	
88	62733	766	735	303	
89	63500	1066	812	476	
90	64566	450	300	466	
91	65015	933	157	452	
92	65948	183	230	441	
93	66131	883	300	457	
94	67014	316	253	269	
95	67330	100	185	253	
96	69046	167	871	590	
97	69212	133	441	1028	
98	69345	366	225	1080	
99	69712	233	578	686	
100	69945	100	198	676	
101	70811	83	-260	1245	
102	70894	200	-460	1328	
