Data properties:

Recording date: 2/23/2016
Recording time: 09:39:06:767 (corresponds to time 0)
Study: Associative 2
Subject: 114
Recording: 114
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	433	83	-101	287	
1	516	3881	112	83	
2	4397	333	417	381	
3	4730	283	213	383	
4	5013	683	160	379	
5	5696	250	738	400	
6	5946	333	812	371	
7	6279	416	1019	370	
8	6695	400	1050	406	
9	7095	300	316	368	
10	7395	1415	410	360	
11	8810	383	411	51	
12	9193	899	585	37	
13	10093	399	1068	365	
14	10492	600	782	371	
15	11092	250	316	380	
16	11342	650	161	371	
17	11991	216	146	411	
18	12208	366	754	386	
19	12574	466	850	374	
20	13041	383	815	395	
21	13424	883	826	348	
22	14307	733	1049	354	
23	15040	1216	42	53	
24	16255	416	409	357	
25	16672	283	1001	404	
26	16955	616	1046	369	
27	17571	416	806	331	
28	17987	449	339	337	
29	18436	766	146	337	
30	19202	699	378	340	
31	19902	183	418	350	
32	20085	316	764	359	
33	20402	400	823	366	
34	20801	565	-341	63	
35	21367	216	119	39	
36	21583	550	71	30	
37	22133	250	286	344	
38	22383	433	141	359	
39	22816	383	366	354	
40	23199	250	405	350	
41	23449	300	767	358	
42	23749	300	400	346	
43	24049	216	941	342	
44	24265	733	1074	352	
45	24998	250	422	367	
46	25248	1082	816	347	
47	26331	366	104	349	
48	26697	400	402	341	
49	27097	250	54	63	
50	28446	183	271	445	
51	28629	416	387	376	
52	29045	733	170	364	
53	29778	267	849	354	
54	30044	166	808	363	
55	30211	433	1041	364	
56	30643	400	1076	355	
57	31043	283	308	417	
58	31326	350	370	368	
59	31676	467	415	368	
60	32143	466	396	400	
61	32609	316	385	353	
62	32926	600	805	379	
63	33525	866	794	423	
64	34391	283	161	389	
65	34674	250	888	353	
66	34924	649	1047	349	
67	35573	366	1049	388	
68	35940	283	1068	345	
69	36223	666	792	337	
70	36889	749	404	376	
71	37638	782	796	364	
72	38421	284	768	164	
73	38705	133	211	104	
74	38988	233	625	367	
75	39221	450	454	349	
76	39671	733	810	371	
77	40403	216	235	360	
78	40620	250	148	370	
79	40869	316	779	362	
80	41186	649	418	360	
81	41835	250	892	385	
82	42085	250	1030	371	
83	42335	1316	796	354	
84	43651	799	1068	359	
85	44450	316	164	360	
86	44766	316	136	406	
87	45083	233	398	362	
88	45316	983	163	344	
89	46299	533	742	336	
90	46832	500	166	329	
91	48647	83	609	394	
92	48730	699	838	359	
93	49429	883	688	17	
94	50312	250	1274	115	
95	50562	400	1079	-513	
96	50962	283	460	217	
97	51245	533	412	245	
98	51778	617	335	276	
99	52395	1149	395	244	
