Data properties:

Recording date: 4/13/2016
Recording time: 11:10:18:674 (corresponds to time 0)
Study: colors
Subject: 118
Recording: 118
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	0	117	743	454	
1	367	200	-388	-65	
2	567	3064	98	126	
3	3848	150	87	120	
4	4131	100	93	131	
5	4331	2632	96	132	
6	7661	33	381	72	
7	8028	133	122	88	
8	10393	433	152	427	
9	10826	233	741	401	
10	11059	983	819	435	
11	12741	800	865	412	
12	13541	200	809	432	
13	13924	299	776	433	
14	14223	150	236	369	
15	14506	533	167	411	
16	15173	383	68	116	
17	15556	167	51	657	
18	15856	416	468	420	
19	16272	699	820	427	
20	19986	1083	174	434	
21	21068	1032	72	93	
22	22101	600	153	418	
23	22700	133	156	454	
24	22967	300	165	368	
25	23683	283	-138	351	
26	25648	533	157	356	
27	26181	100	232	376	
28	26431	100	774	388	
29	26531	566	824	418	
30	27097	433	50	132	
31	27530	100	81	65	
32	28146	83	381	383	
33	28230	566	196	409	
34	29012	217	749	369	
35	29229	933	815	422	
36	30361	200	214	353	
37	30561	250	170	422	
38	31111	83	767	402	
39	31194	117	832	450	
40	32893	17	555	407	
41	35291	17	806	449	
42	35491	183	811	453	
43	35674	233	842	396	
44	35907	150	875	305	
45	36057	284	882	414	
46	36340	183	232	424	
47	36640	50	228	444	
48	36840	17	212	421	
49	36973	50	218	422	
50	37140	150	217	423	
51	37573	16	864	1058	
52	37823	17	518	1177	
53	38139	17	1127	-239	
54	40488	100	795	585	
55	41687	1183	197	412	
56	43319	1348	173	419	
57	46916	449	211	426	
58	47582	117	881	384	
59	53727	200	832	411	
60	53927	500	813	459	
61	54427	117	2443	754	
62	58589	183	766	384	
63	59406	200	818	383	
64	60022	233	1114	361	
65	60256	216	824	391	
66	60472	366	133	311	
67	60988	183	138	364	
68	61171	250	174	384	
69	61421	883	139	381	
70	62303	233	185	381	
71	64253	84	-751	112	
72	64803	33	1924	1009	
73	64969	66	964	376	
74	65252	282	411	313	
