Data properties:

Recording date: 2/17/2016
Recording time: 09:48:49:397 (corresponds to time 0)
Study: single 1
Subject: 109
Recording: 109
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	0	166	191	554	
1	166	117	128	556	
2	283	316	-466	99	
3	599	316	30	103	
4	916	1532	86	135	
5	2448	516	587	619	
6	2964	433	61	194	
7	3564	183	73	92	
8	3747	766	61	138	
9	4513	200	224	403	
10	4713	217	172	394	
11	4929	233	131	383	
12	5163	1349	796	377	
13	6512	283	201	361	
14	6795	516	114	373	
15	7311	266	146	437	
16	7578	749	113	386	
17	8327	183	170	429	
18	8510	1399	791	384	
19	9909	250	839	402	
20	10342	233	170	374	
21	10575	433	121	382	
22	11008	416	182	387	
23	11425	799	788	377	
24	12224	1082	110	393	
25	13457	133	755	339	
26	13590	699	794	389	
27	14289	300	406	167	
28	14589	233	25	142	
29	14822	383	61	138	
30	15438	116	490	396	
31	15555	283	162	389	
32	15838	333	122	383	
33	16171	1649	792	370	
34	17820	267	167	369	
35	18086	316	107	374	
36	18403	466	141	415	
37	18869	266	736	374	
38	19136	416	831	365	
39	19552	1016	790	366	
40	20568	833	57	134	
41	21400	266	214	426	
42	21667	516	118	378	
43	22333	283	778	341	
44	22616	266	852	344	
45	22883	316	794	342	
46	23199	716	815	377	
47	23915	166	570	340	
48	24082	216	210	353	
49	24531	216	153	379	
50	24748	266	900	378	
51	25014	183	858	370	
52	25198	183	805	364	
53	25631	1382	803	370	
54	27696	83	415	384	
55	27779	516	-82	345	
56	28445	216	-63	362	
57	28662	166	124	396	
58	28828	1149	799	366	
59	29977	866	702	296	
60	30843	250	817	407	
61	31093	100	720	406	
62	31393	183	-250	78	
63	31576	1132	60	130	
64	32858	200	139	379	
65	33058	217	750	411	
66	33275	266	812	392	
67	33541	250	184	374	
68	33791	566	124	376	
69	34524	133	598	351	
70	34657	783	807	365	
71	35440	433	171	424	
72	35873	333	166	374	
73	36206	749	98	373	
74	37155	583	133	451	
75	37738	450	101	392	
76	38371	150	845	418	
77	38521	183	846	380	
78	38704	1149	789	356	
79	39853	316	145	364	
80	40170	433	98	346	
81	40603	450	158	350	
82	41052	466	133	414	
83	41752	216	884	364	
84	41968	633	795	376	
85	42601	250	17	133	
86	42851	2032	56	136	
87	45066	150	498	325	
88	45216	500	417	308	
89	45716	716	504	313	
