2,0,0,0,0.25,0,0,0,0.25,0.2,0,0.16,0,0.25,0,0,0.25,0,0,0,0,0.19,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0
4,0,0,0.25,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0,0,0.11,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0.25
6,0.04,0,0,0.02,0,0,0,0.25,0,0,0.08,0.04,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0
7,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.02,0
9,0,0.11,0.25,0,0,0,0.03,0,0.25,0,0,0,0,0,0.25,0,0,0.2,0,0.25,0.25,0,0,0.11,0.25,0,0.25,0,0,0.25,0.06,0,0,0.25,0,0.06,0.25,0,0.25,0
12,0,0.2,0.08,0,0.15,0,0.25,0,0.22,0,0.1,0,0,0.14,0.03,0,0.16,0.09,0.22,0,0.1,0,0,0.17,0,0.09,0,0.25,0,0,0,0,0.02,0.23,0.15,0.1,0.25,0,0.15,0
13,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0,0.19,0,0,0,0.25,0,0.25,0.25,0,0.02,0.23,0.25,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0,0.25
14,0.25,0,0.25,0,0.09,0.16,0.03,0.22,0,0.25,0.06,0.15,0.07,0,0.12,0,0.25,0,0.23,0,0.16,0,0.08,0,0.15,0,0.11,0,0.25,0,0.25,0,0,0.19,0,0.03,0.16,0.09,0.25,0
15,0.25,0,0,0.25,0,0,0,0.03,0,0.25,0.25,0,0,0,0.25,0,0.25,0,0,0.14,0,0.15,0.15,0,0,0.25,0.07,0,0.25,0,0,0.05,0.12,0.13,0,0,0,0,0,0.25
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
17,0.25,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0
