sub,tar LL,tar LR,tar RL,tar RR,1st r new cor,1st r new inc,1st r old l,1st r old r,2nd r new cor,2nd ret new inc,2nd r old l,2nd r old r,dis l l,dis l r,dis r l,dis r r
7,1.18,1.4,1.78,0.67,0.65,0.92,0.45,1.57,1.55,1.27,0.37,0.65,1.35,0.97,1.03,2.09
33,1.47,1.12,0.45,0.32,0,0.3,1.08,0.35,0,0,0,0,1,2.03,1.78,0.4
34,0.68,1.11,1.25,0.93,1.53,1.93,1.01,0.68,0.15,1.58,0.37,1.4,1.56,1.08,2.18,0.58
35,0.93,1.8,4.89,1.85,0.32,1.83,1.5,1.05,0.32,4.05,0.52,1.32,0.48,2.61,2.25,0.42
36,2.5,3.83,1.6,1.17,1.98,1.27,1.55,1.4,0.28,0,2.95,0,2.18,3.7,1.98,0.97
37,0.65,0.37,1.48,1.53,0,0.43,0.28,0.67,0.13,0.6,0.25,0.38,0.33,1.2,1.15,1.32
38,0.98,0.62,1.52,0.1,1.08,2.12,0.85,1.43,1.1,1.82,0.52,0.62,1.3,2.03,2.07,1.43
39,0.3,1.62,0.33,0.57,0.9,0.87,0.17,0.59,0.65,1.03,0.6,0.85,0,2.52,2.23,0.32
41,2.32,1.83,2.96,0.6,1.52,2.61,2.46,1.22,0,1.23,0.45,0.38,1.05,2.13,2.04,1.12
42,0.6,1.1,0.98,0.73,1,2.45,0.68,1.62,0,0.18,0.45,1,0.72,2,2.77,2.8
43,0.93,0.67,0.93,2.25,0.5,2.88,0.58,0.1,2.33,2.78,1.82,1.08,1.87,3.84,3.36,0.62
45,2.41,2.68,1.22,0.92,0.98,1.16,1.05,1.2,0,1.72,1.43,0.82,2.25,2.15,2.01,2.51
46,1.53,1.14,0.88,1.02,1.4,2.32,1.02,1.97,0.32,2.2,0.77,1.12,0.55,1.67,1.88,0.72
48,0.85,2.5,3.34,1.32,0,2.35,2.06,0.9,1.9,0.78,0.97,1.33,0.27,2.33,3.03,2.55
49,1.18,3.1,0.62,2.61,1.7,2.8,0.95,1.27,3.02,0,1.03,2.6,3.53,4.33,0.22,1.32
50,1.37,2.76,0,2.74,1.1,1.2,0,0.7,0,0,0.92,0.12,2.43,1.5,1.33,3.11
51,0.85,2.2,1.33,0.95,0.25,3.07,0.68,1.9,0.5,0,1.25,2.66,3.11,3.88,1,0.55
52,0.57,0,0,0,0.75,1.57,1.32,1.7,0,0.83,0.27,1.33,2.93,2.54,1.72,1.2
53,0.86,2.26,1.65,0.55,1.57,2.35,2.25,1.47,0.47,0.73,0.3,1.18,0.98,4.69,1.5,0.77
54,3.8,1.88,1.7,1.92,3.28,2.48,2.54,1.35,0.12,0.35,2.56,1.45,3.13,2.01,1.43,1.3
55,1.87,1.58,2.33,0.35,1.48,0.91,1.28,0,0,1.12,1.55,1.83,2,1.85,3,1.03
