1,-,-,1,0,3,0.83,1,0.05,1,0.18,-,-,1,0.7,1,0.12,-,-,1,0.13,1,0.3,2,0.57,-,-,-,-,1,0.51,2,0.49,-,-,-,-,-,-,-,-
2,-,-,-,-,2,1,-,-,1,0.4,-,-,2,0.22,-,-,-,-,1,0.07,1,0.32,2,0.61,-,-,3,0.62,1,0.15,-,-,-,-,-,-,1,0.47,1,0.53
6,-,-,-,-,-,-,-,-,3,0.77,-,-,1,0.23,-,-,2,0.05,-,-,-,-,-,-,-,-,-,-,-,-,3,0.88,3,0.35,-,-,-,-,-,-
7,-,-,-,-,1,0.21,1,0.79,-,-,-,-,1,0.1,3,0.9,-,-,2,0.36,-,-,2,0.64,2,0.6,1,0.23,1,0.17,-,-,-,-,1,0.35,1,0.16,2,0.49
8,-,-,2,0.56,1,0.23,1,0.21,-,-,1,0.06,1,0.23,3,0.71,-,-,1,0.64,-,-,2,0.36,2,0.4,-,-,1,0.17,-,-,1,0.35,-,-,-,-,-,-
9,1,0.28,1,0.27,-,-,1,0.23,1,0.13,-,-,1,0.57,1,0.3,1,0.28,-,-,-,-,2,0.72,-,-,-,-,-,-,-,-,-,-,2,0.3,2,0.7,-,-
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,1,0.61,-,-,-,-,-,-,-,-,-,-,1,0.11,1,0.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0.67,-,-,1,0.25,-,-
12,1,0.07,-,-,2,0.48,1,0.45,1,0.53,-,-,-,-,1,0.47,-,-,-,-,2,0.62,2,0.38,1,0.16,2,0.53,-,-,1,0.31,2,0.41,1,0.47,-,-,1,0.12
13,2,0.72,2,0.28,-,-,-,-,-,-,1,0.76,-,-,1,0.24,2,0.51,1,0.23,1,0.26,-,-,-,-,1,0.54,1,0.46,-,-,3,0.65,-,-,1,0.35,-,-
14,-,-,4,0.9,1,0.1,-,-,-,-,2,0.31,1,0.48,2,0.21,-,-,-,-,2,0.43,-,-,-,-,1,0.4,1,0.04,1,0.47,1,0.18,-,-,2,0.39,1,0.43
15,1,0.33,2,0.28,1,0.04,-,-,2,0.49,1,0.26,-,-,-,-,2,0.17,1,0.53,-,-,-,-,-,-,1,0.07,2,0.33,1,0.1,-,-,-,-,1,0.43,1,0.25
16,-,-,-,-,1,0.67,1,0.05,1,0.2,1,0.25,1,0.38,1,0.17,1,0.27,2,0.14,-,-,-,-,-,-,-,-,-,-,-,-,1,0.23,1,0.18,3,0.37,-,-
17,2,0.32,2,0.62,-,-,1,0.06,-,-,2,0.28,-,-,1,0.45,1,0.07,1,0.13,2,0.8,-,-,1,0.38,2,0.26,-,-,-,-,1,0.21,-,-,-,-,-,-
18,1,0.26,-,-,1,0.74,-,-,2,0.6,1,0.01,1,0.39,-,-,3,1,-,-,-,-,-,-,-,-,4,1,-,-,-,-,1,0.02,-,-,-,-,4,0.98
19,-,-,-,-,1,0.07,-,-,-,-,1,0.08,1,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,3,0.79,-,-,1,0.21,-,-,-,-,2,0.37,1,0.1,1,0.13,1,0.18,2,0.82,-,-,-,-,-,-,1,0.33,1,0.23,-,-,-,-,-,-,-,-,-,-
