1,-,0.1,-,0.9,-,-,-,1,0.78,-,0.22,-,-,-,-,-,0.67,-,0.33,-
2,-,0.37,0.2,-,-,0.43,-,0.57,-,-,-,-,0.27,0.27,-,0.11,-,-,0.65,0.35
6,0.12,-,-,-,-,0.22,-,-,0.14,0.86,-,-,-,0.83,-,0.17,-,-,-,-
7,0.82,-,-,-,-,0.88,0.12,-,-,0.63,0.35,-,-,0.57,-,0.43,0.78,-,0.22,-
8,0.66,0.34,-,-,0.94,-,0.06,-,-,-,-,-,0.07,0.57,0.37,-,0.02,-,-,-
9,-,0.04,-,0.78,-,-,0.7,0.15,-,0.38,0.62,-,-,0.45,-,-,-,0.85,0.15,-
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,-,-,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,0.43,0.29,0.08,-
12,-,1,0,-,0.58,-,-,-,-,-,0.73,-,-,0.37,0.08,-,-,0,-,-
13,-,0.7,0.3,-,-,1,-,-,-,-,1,-,1,-,-,-,-,0.04,0.96,-
14,-,0.63,0.37,-,0.25,0.29,-,-,-,-,-,-,-,-,-,-,0.2,-,0.03,0.15
15,-,1,-,-,-,0.17,0.63,0.19,-,-,-,-,-,-,-,-,0.54,-,0.46,-
16,-,0.02,-,-,0.31,0.22,0.47,-,0.54,-,0.12,-,-,-,-,-,-,-,-,-
17,-,0.47,0.53,-,0.88,0.08,0.03,-,-,-,0.42,-,-,-,-,-,0.18,-,0.57,-
18,1,-,-,-,0.21,0.6,0.19,-,-,-,-,-,-,0.72,-,-,0.09,-,-,-
19,-,-,-,-,-,0.62,-,0.38,-,-,-,-,-,-,-,-,-,-,-,-
20,0.23,0.12,0.64,-,-,0.57,-,0.43,0.07,0.17,-,-,-,0.05,0.15,0.45,-,-,-,0.45
21,-,-,1,-,-,-,-,-,-,0.18,-,-,0.74,-,0.26,-,0.49,-,0.28,0.23
22,-,0.45,0.55,-,0.35,0.31,-,0.34,-,0.4,0.32,-,-,-,0.38,-,-,-,-,-
23,0.1,0.33,-,0.27,-,-,-,-,0.52,0.07,0.42,-,-,0.28,0.3,0.41,-,-,-,-
24,-,0.25,0.22,0.53,0.22,0.31,-,-,-,0.59,-,0.41,-,-,-,-,0.53,0.11,0.35,-
25,-,-,-,-,-,0.37,0.18,-,-,-,-,-,-,-,0.07,-,-,0.17,-,-
27,-,-,-,1,-,0.57,-,0.07,-,-,-,0.38,-,-,0.04,0.96,0.2,0.23,-,-
28,-,-,-,-,0.63,0.3,-,-,-,-,-,-,-,-,0.7,0.3,-,-,-,-
31,-,-,-,-,-,-,0.16,-,1,-,-,-,0.18,0.48,0.21,-,-,0.21,-,0.79
33,-,-,-,-,-,-,0.06,0.55,,,,,,,,,,,,
34,0.38,-,-,-,0.19,-,0.42,0.4,,,,,,,,,,,,
35,0.34,0.66,-,-,0.88,-,-,0.76,,,,,,,,,,,,
36,0.03,0.97,-,-,0.53,0.28,0.88,0.12,,,,,,,,,,,,
37,0.99,0.01,-,0.03,-,-,-,-,,,,,,,,,,,,
38,-,0.67,-,-,-,0.43,-,-,,,,,,,,,,,,
39,0.47,0.07,-,-,-,0.18,0.22,0.12,,,,,,,,,,,,
40,no data,,,,,,,,,,,,,,,,,,,
41,0.4,0.4,0.06,0.94,-,-,0.1,0.13,,,,,,,,,,,,
42,-,0.69,-,-,0.73,-,0.25,0.13,,,,,,,,,,,,
43,0.1,0.09,-,0.29,-,0.77,1,-,,,,,,,,,,,,
44,no data,,,,,,,,,,,,,,,,,,,
45,0.59,-,0.12,-,0.08,-,-,1,,,,,,,,,,,,
46,0.23,-,-,-,0.26,0.74,-,-,,,,,,,,,,,,
47,no data,,,,,,,,,,,,,,,,,,,
48,-,1,-,-,-,-,0.79,0.21,,,,,,,,,,,,
49,0.5,0.5,-,0.93,1,-,1,-,,,,,,,,,,,,
50,-,0.81,-,-,0.12,-,0.62,-,,,,,,,,,,,,
52,0.75,0.07,-,0.6,0.4,0.39,-,-,,,,,,,,,,,,
54,0.72,-,0.12,0.72,0.35,0.65,0.36,0.32,,,,,,,,,,,,
56,0.52,0.24,-,-,-,-,0.75,0.01,,,,,,,,,,,,
62,0.68,-,1,-,1,-,0.04,-,,,,,,,,,,,,
64,0.73,-,0.54,0.46,-,1,0.7,-,,,,,,,,,,,,
66,0.64,-,-,0.29,0.96,-,0.65,-,,,,,,,,,,,,
68,0.5,0.11,-,-,-,-,0.58,-,,,,,,,,,,,,
70,0.2,0.41,-,-,0.84,-,-,0.49,,,,,,,,,,,,
72,0.22,0.33,-,-,-,-,0.03,-,,,,,,,,,,,,
74,-,-,0.43,-,-,-,-,0.02,,,,,,,,,,,,
76,-,0.02,-,-,-,0.42,-,0.61,,,,,,,,,,,,
78,0.08,-,-,0.23,-,-,0.69,-,,,,,,,,,,,,
80,0.76,-,1,-,0.04,-,-,0.54,,,,,,,,,,,,
51,0.07,-,-,-,-,0.98,0.36,-,,,,,,,,,,,,
53,0.38,0.2,-,1,-,0.38,0.21,0.32,,,,,,,,,,,,
55,0.67,0.12,-,-,-,1,-,0.44,,,,,,,,,,,,
57,-,0.71,-,-,1,-,-,0.71,,,,,,,,,,,,
59,0.54,-,0.28,0.72,0.46,0.54,0.65,-,,,,,,,,,,,,
63,0.62,-,-,1,0.66,0.34,0.66,-,,,,,,,,,,,,
65,0.2,-,0.21,0.65,-,-,0.62,0.1,,,,,,,,,,,,
67,0.45,0.22,0.81,0.01,0.65,0.21,0.59,-,,,,,,,,,,,,
69,0.33,0.52,0.34,0.21,0.8,-,-,0.77,,,,,,,,,,,,
71,0.4,0.32,0.04,-,-,-,-,0.77,,,,,,,,,,,,
73,-,0.77,-,-,0.64,-,-,0.79,,,,,,,,,,,,
75,0.65,-,-,-,0.15,0.18,0.73,-,,,,,,,,,,,,
77,0.28,0.24,0.18,-,-,-,-,-,,,,,,,,,,,,
79,-,0.53,-,0.19,-,-,0.44,-,,,,,,,,,,,,
83,0.58,0.14,0.74,-,0.65,0.27,-,0.73,,,,,,,,,,,,
81,-,0.3,0.55,-,-,-,-,-,,,,,,,,,,,,
87,0.36,-,-,-,-,0.42,-,0.7,,,,,,,,,,,,
89,-,0.2,-,-,-,-,-,0.56,,,,,,,,,,,,
91,0.87,-,0.96,-,-,0.6,0.73,-,,,,,,,,,,,,
93,0.17,0.02,-,0.6,0.48,0.15,0.27,-,,,,,,,,,,,,
90,0.65,0.13,1,-,-,1,0.43,0.36,,,,,,,,,,,,
92,0.47,-,-,-,0.68,0.32,0.16,0.12,,,,,,,,,,,,
95,0.48,0.06,-,0.55,0.52,0.48,0.52,0.23,,,,,,,,,,,,
98,0.66,-,1,-,0.63,0.37,0.68,-,,,,,,,,,,,,
101,-,-,-,-,-,-,-,-,,,,,,,,,,,,
