69,-,1,0.55,0.45,1,-,0.76,0.24,1,-,1,-
70,0.61,0.39,-,-,-,-,-,-,-,-,-,-
72,1,-,0.6,0.4,0.81,0.19,1,-,0.04,0.96,0.36,0.64
73,1,-,0.73,0.27,-,-,0.41,-,0.52,0.48,-,0.07
74,0.82,-,-,-,-,-,-,1,-,0.67,-,-
75,-,-,0.17,0.63,0.25,0.12,0.43,0.04,-,0.07,-,0.02
76,0.56,0.44,0.03,-,0.91,0.09,-,0.91,0.23,-,0.04,0.42
77,-,1,0.2,-,0.18,0.68,0.22,0.25,-,0.74,-,-
78,0.82,-,0.13,0.4,0.66,0.34,0.43,-,0.42,0.58,-,-
79,-,1,-,-,-,-,-,0.33,0.42,0.58,-,-
80,-,0.27,0.55,0.43,-,-,,,,,,
81,-,1,0.12,0.82,0.03,0.97,,,,,,
83,0.04,0.79,0.36,0.64,0.45,0.55,,,,,,
87,-,1,0.18,0.65,0.05,0.65,,,,,,
89,-,-,-,-,-,-,,,,,,
90,0.86,0.14,0.5,0.5,0.3,0.7,,,,,,
91,0.13,-,0.25,0.67,0.11,0.54,,,,,,
93,-,0.93,0.09,0.48,-,1,,,,,,
95,0.45,0.55,-,1,0.24,0.76,0.49,0.51,0.38,0.3,0.2,0.62
98,0.7,0.3,-,-,0.94,0.06,-,1,0.41,0.59,0.29,0.71
101,0.01,0.99,0.69,0.07,-,-,-,-,0.23,0.75,-,1
97,-,-,0.34,0.66,-,-,0.84,0.16,0.25,0.75,-,0.21
102,1,-,0.96,-,0.91,0.09,-,1,0.39,0.61,1,-
103,0.4,0.6,0.79,0.21,0.44,-,0.64,-,1,-,0.25,0.64
P96,0.03,0.71,0.62,-,0.42,-,0.77,0,-,1,0.04,0.9
