1,-,-,-,0.14,0.22,0.36,-,-
2,-,0.13,0.55,-,-,-,-,-
3,0.57,0.43,1,-,-,-,-,-
6,-,-,0.2,-,-,-,-,-
7,-,0.08,0.41,0.47,-,-,0.77,0.23
8,-,-,-,0.53,-,-,0.35,0.55
9,-,0.8,1,-,-,-,1,-
10,0.4,0.6,-,-,-,-,0.9,0.04
11,-,-,0.45,-,-,-,0.82,0.05
12,0.08,0.27,0.18,0.22,-,-,-,1
13,-,0.21,1,-,1,-,-,-
14,-,-,-,-,0.97,-,-,-
15,-,-,-,-,0.17,0.24,-,-
16,-,0.18,-,-,0.6,-,-,-
17,0.28,0.45,0.81,-,-,-,-,0.99
18,0.37,0.29,0.5,0.35,-,-,-,-
19,-,-,0.35,-,-,-,0.67,-
20,-,-,0.08,0.42,-,-,0.73,-
21,-,-,1,-,-,-,-,-
22,-,-,0.15,0.85,-,-,0.8,-
23,-,1,0.38,0.42,-,-,0.65,0.35
24,-,0.07,-,0.77,-,-,0.42,-
25,0.31,-,-,0.48,0.52,0.37,-,-
27,1,-,0.61,0.39,0.41,0.59,-,-
28,0.72,0.28,-,-,0.15,0.23,-,-
31,0.53,-,-,0.7,-,-,-,-
32,no data,,,,,,,
33,-,-,-,-,-,-,-,-
34,-,-,-,0.13,-,-,-,-
35,0.63,0.37,-,-,-,-,-,0.79
36,-,-,-,-,-,-,-,0.7
37,0.1,-,-,-,-,-,-,-
38,-,-,0.13,0.12,0.3,0.7,-,-
39,-,-,-,-,0.19,-,-,-
40,no data,,,,,,,
41,0.7,0.22,0.74,0.26,-,-,0.64,-
42,0.67,0.05,0.5,0.47,-,-,-,-
43,1,-,-,-,-,-,1,-
45,-,0.5,0.55,0.45,-,-,-,0.74
46,-,-,-,-,-,-,-,1
48,1,-,-,-,-,-,0.22,0.42
49,1,-,0.06,0.94,-,-,-,-
51,0.65,0.22,0.83,-,0.61,-,-,-
63,0.91,0.09,1,-,1,-,-,-
75,0.6,-,-,-,-,0.8,-,-
52,0.58,0.11,-,1,0.47,0.53,-,-
64,1,-,0.02,0.98,0.13,0.44,-,-
76,-,-,0.47,-,0.59,-,-,-
53,0.03,-,0.81,0.05,-,-,-,0.2
65,0.4,0.27,0.23,0.76,-,-,0.45,0.55
77,-,-,-,-,-,-,-,-
54,0.18,0.76,0.07,-,-,-,0.45,0.18
66,0.3,0.7,-,-,-,-,0.63,0.02
78,0.62,0.01,-,-,-,-,0.87,0.09
55,0.05,-,-,-,-,-,1,-
67,-,1,0.99,0.01,-,-,0.08,0.76
79,0.38,-,-,0.24,-,-,-,1
56,-,0.61,-,-,-,-,-,-
68,-,-,-,-,-,-,-,-
80,-,-,0.32,0.4,-,-,-,-
57,-,0.92,0.58,0.42,-,-,-,1
69,-,0.3,-,0.05,-,-,0.88,-
59,0.02,0.98,0.33,-,-,-,0.41,0.59
71,0.41,0.59,0.37,-,-,-,0.64,0.36
83,0.91,0.09,-,0.48,-,-,0.44,-
50,-,1,0.02,-,0.52,0.48,-,-
62,0.84,0.16,0.2,0.63,-,0.66,-,-
74,0.2,0.3,-,-,0.02,-,-,-
81,0.98,-,-,-,-,-,-,0.15
87,-,-,-,0.52,-,0.96,-,-
89,-,-,0.21,-,-,-,0.67,0.05
90,-,0.25,1,-,-,-,0.52,0.48
91,-,0.82,0.51,0.49,-,-,-,1
93,0.05,0.38,-,-,-,-,0.72,-
92,0.73,0.27,0.5,0.13,-,-,0.82,-
95,0.67,0.33,0.67,0.18,-,-,0.17,0.63
98,0.67,0.33,0.65,0.35,0.47,0.53,-,-
101,-,-,-,-,-,-,-,-
