1,0.63,0.08,-,-,0.42,0.58,0.36,0.32,0.25,0.55,-,-,-,-,-,-,0.18,0.6,-,0.01,-,-,0.5,0.22,-,-,0.08,-,-,-,0.25,-,-,-,0.6,0.4,0.59,0.18,-,-
2,-,-,-,0.39,-,-,0.72,0.04,-,0.57,0,-,0.45,0.35,0.42,0.3,0.1,-,-,-,0.08,0.13,-,-,-,-,0.12,-,0.61,-,-,-,0.62,-,-,-,0.43,-,-,-
4,-,0.12,0.62,-,0.46,-,-,0.32,0.27,-,-,0.45,-,0.52,-,-,-,0.33,-,0.78,-,0.51,-,-,-,-,-,0.06,0.36,-,-,-,0.23,-,-,-,0.48,-,0.45,0.13
6,0.23,0.42,-,0.02,-,0.12,0.53,0,-,-,-,-,-,-,-,-,0.22,-,-,0.01,-,-,-,0.18,-,-,-,-,-,-,0.09,-,-,-,-,-,-,-,-,-
7,0.13,-,0.76,-,-,0.55,-,0.2,-,-,0.02,-,-,-,0.2,0.06,-,-,-,-,0.02,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0.02,-,-,-
9,-,0.28,0.09,0.6,0.1,0.05,0.35,-,0.26,-,-,-,0.38,-,0.68,-,0.27,0.17,-,0.26,0.58,-,-,0.1,0.1,0.4,0.63,-,-,0.41,-,-,0.13,0.65,0.2,-,0.6,-,0.45,0.55
12,-,0.27,0.15,-,0.03,0.62,0.24,-,0.03,-,0.49,-,-,0.15,-,0.28,-,0.42,0.28,-,0.18,-,-,0.16,0.02,0.64,-,0.65,-,-,-,-,0.48,-,0.45,-,0.14,-,0.6,-
13,-,0.68,0.18,-,0.37,-,0.37,-,-,0.06,-,0.25,-,0.17,-,-,-,-,-,0.32,-,0.51,0.7,-,0.36,-,0.09,0.18,-,0.31,-,0.08,-,0.32,0.21,-,-,0.12,-,0.46
14,0.14,0.53,0.02,0.7,0.18,0.39,0.51,-,0.52,0.13,0.33,0.17,0.31,0.33,-,-,0.51,0.43,0.33,0.23,0.37,0.37,0.41,0.38,0.43,0.37,0.22,0.3,0.11,0.68,0.42,0.4,0.17,0.55,0.42,-,0.49,0.12,0.45,-
15,0.49,-,-,0.42,-,-,-,0.2,-,0.03,0.56,-,0.43,-,0.02,0.12,0.29,-,-,0.55,-,-,0.18,-,-,0.07,-,-,0.39,-,-,0.23,0.32,-,-,-,0.4,-,-,-
16,0.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,-,-,-,0.01,-,-,-,-,-,-,-,-,-,-
17,0.06,0.58,-,-,0.48,0.01,-,0.27,0.75,-,-,-,0.41,0.59,-,-,-,0.24,-,0.14,-,-,0.47,-,-,-,-,-,-,-,0.39,-,-,-,-,0.06,0.31,-,-,-
18,0.52,-,0.02,-,-,0.05,0.17,-,0.52,-,-,-,-,-,-,-,-,-,-,-,0.28,-,-,0.13,-,-,-,-,-,-,0.02,-,-,-,-,-,-,-,-,-
20,0.82,-,0.25,-,-,0.11,-,-,-,0.17,0.24,-,-,-,0.48,-,-,0.46,0.14,-,0.69,-,-,0.68,0.67,0.18,-,0.52,-,0.18,-,0.44,0.69,-,-,-,0.6,-,-,0.1
21,0.3,0.25,0,1,-,0.1,0.42,0.37,-,0.72,0.27,0.33,0.68,-,0.58,-,-,0.34,-,0.1,-,-,0.64,-,-,0.35,0.48,-,0.44,-,0.48,0.2,0.72,-,0.51,-,0.32,0.34,-,0.23
22,0.1,-,-,-,0.19,-,0.05,0,-,-,0.24,-,-,-,0.05,-,-,0.27,-,-,0.12,-,0.35,-,-,0.29,-,-,0.3,-,-,0.33,0.17,-,-,0.34,0.09,-,0.37,-
23,0.36,0.64,-,-,-,0.42,-,-,0.2,0.02,-,-,-,0.57,0.19,-,0.84,-,0.56,-,0.43,0.26,0.47,-,-,0.2,-,-,0.88,-,-,-,-,1,0.45,-,-,-,-,-
24,0.67,-,-,-,0.1,0.5,-,0.8,-,0.5,-,-,0.63,-,0.14,-,-,0.62,-,0.74,0.71,-,-,0.45,0.57,-,-,0.43,-,0.3,-,1,0.17,0.44,-,0.73,-,-,0.35,0.42
27,1,-,-,0.47,-,0.38,-,-,0.41,-,-,0.29,0.07,0.72,0.1,0.62,-,0.33,0.22,-,0.63,-,0.13,0.52,0.73,-,-,0.68,0.24,0.43,-,0.54,-,0.15,0.69,-,0.02,-,-,0.77
28,0.03,0.52,0.43,-,-,-,-,0.21,0.42,-,-,-,0.17,0.19,-,-,-,0.47,-,-,0.75,-,0.24,-,0.13,0,-,0.22,-,0.27,-,0.31,-,0.54,-,-,0.42,-,0.73,-
30,-,-,0.65,-,0.25,0.01,-,0.52,-,-,0.23,-,0.3,0.45,-,0.24,-,0.4,0.8,-,-,0.67,-,-,0.42,-,-,-,-,-,0.1,-,-,0.71,0.81,-,-,0.32,0.01,0.08
31,0.03,0.27,-,0.54,-,0.46,-,0.1,-,0.64,0.41,-,-,-,0.62,-,0.38,-,-,0.35,0.43,-,0.58,-,-,0.6,0.39,-,-,0.49,-,-,-,0.51,0.46,-,0.3,-,-,0.14
32,0.54,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,-,-,-,-,-,0.63,0.37,0.13,-,0.34,0.51,-,0.63,-,-,0.43,0.44,-,0.25,-,0.17,-,-,0.42,-,0.62,0.46,-,0.42,-,-,0.33,0.2,-,0.61,-,0.18,-,-,0.57
34,0.15,0.37,0.55,0.17,-,-,-,0.15,0.28,-,0.54,-,0.02,-,0.42,-,-,-,-,-,0.69,-,0.68,-,0.24,-,-,0.02,-,0.3,0.34,-,-,0.42,-,0.2,-,0.24,-,-
35,0.2,-,-,-,0.38,-,-,0.17,-,-,-,0.63,0.28,-,-,0.5,0.02,0.05,0.42,-,-,0.14,-,-,-,0.16,-,-,-,0.58,-,0.59,0.37,-,0.05,0.42,0.43,-,-,0.17
36,-,-,-,-,0.49,-,0.43,-,0.3,-,0.46,0.27,-,0.08,0.52,0.22,-,-,-,-,0.07,-,0.7,-,-,0.51,0.51,-,-,0.75,0.41,-,-,0.5,0.33,-,0.02,-,-,0.71
37,-,0.02,-,-,-,0.22,0.4,-,-,-,0.23,-,0.17,-,-,0.25,0.1,-,-,0.26,0.15,0.07,-,0.02,-,0.03,-,-,-,-,-,0.27,-,-,0.15,-,-,-,-,0.02
38,-,0.45,0.34,-,0.02,0.39,0.24,-,-,0.08,-,0.45,-,0.07,0.29,-,0.31,-,-,0.51,-,0.35,0.62,-,-,-,0.37,-,-,0.35,0.03,0.4,-,0.23,-,0.2,0.41,-,0.21,0.33
39,0.23,-,-,-,-,-,-,-,-,-,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,-,-,0.04,-,-,-,-,0.02,-,-,-,-,-,-
40,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,-,0.25,0.3,0.21,-,-,0.7,-,-,0.29,-,-,0.24,-,-,-,-,-,-,0.1,0.23,-,0.52,0.2,-,-,-,-,-,-,-,-,-,0.3,-,0.52,0.31,-,-,-
42,-,0.5,-,0.05,-,-,-,-,0.17,0.2,-,0.13,-,-,0.57,0.14,0.07,-,-,0.39,0.08,-,0.45,-,0.34,-,-,-,0.23,-,-,0.17,-,0.11,0.15,-,0.35,-,-,0.3
43,0.31,0.17,0.16,0.22,-,0.29,0.45,-,0.22,-,-,0.47,0.32,0.27,0.15,0.13,0.69,-,-,0.01,0.52,-,0.28,-,0.15,-,-,0.37,0.77,-,-,0.02,-,0.02,0.58,-,0.43,0.09,0.34,-
44,0.24,0.17,-,0.49,-,0.14,0.23,-,0.72,-,-,-,-,0.54,0.08,0.43,0.75,-,0.34,0.2,0.24,0.38,0.24,0.25,0.06,0.2,0.45,0.15,0.48,-,-,0.48,0.35,0.13,0.51,-,0.45,-,0.01,0.48
45,-,0.33,-,0.52,-,-,-,-,-,-,0.25,-,0.31,-,-,-,0.38,-,-,-,-,-,-,0.33,-,-,-,-,-,-,-,0.16,-,-,-,-,-,-,-,-
