29,1,1,-,0.22,0.73,0.15,-,-,0.34,-,0.01,0.66,0.1,0.65
30,0.23,1,0.85,-,0.14,0.53,0.03,0.97,0.7,-,1,-,-,0.26
31,1,0.32,0.23,-,-,0.18,0.17,-,0.43,-,1,-,0.35,0.26
32,-,1,0.82,0.18,1,-,-,1,-,0.5,0.19,0.81,0.73,0.27
33,0.75,-,-,0.84,-,-,0.68,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,0.03,-,-,-,-,-
35,1,0.9,0.55,0.45,1,-,1,-,0.79,-,1,-,1,-
36,1,0.35,0.33,0.67,-,0.63,0.52,0.37,0.48,-,1,-,0.68,-
37,-,0.2,0.1,0.7,-,1,-,-,-,-,-,-,-,-
38,1,0.27,-,0.48,-,-,1,-,-,-,0.12,0.23,-,0.7
39,-,-,-,-,-,-,-,0,-,-,-,-,0.62,-
40,0.42,0.29,-,-,-,-,-,-,1,-,0.28,-,0.79,-
41,0.67,0.48,0.38,-,-,-,-,-,0.34,-,1,-,-,0.85
42,-,-,1,-,1,-,0.63,0.37,0.45,0.35,0.83,-,1,-
43,0.67,0.11,0.87,-,-,1,0.96,-,1,-,1,-,1,-
44,0.25,0.17,0.18,-,-,0.15,0.18,-,-,-,-,-,-,-
45,-,0.72,0.06,0.76,1,-,0.27,0.52,0.66,0.34,0.85,0.15,0.8,-
46,1,-,1,-,1,-,-,1,0.95,0.05,0.64,0.36,1,-
47,-,-,1,-,1,-,0.85,0.15,1,-,1,-,-,1
48,1,1,0.85,0.15,1,-,0.3,0.7,1,-,0.4,0.6,0.91,0.09
49,1,1,-,1,-,0.23,-,-,1,-,0.34,0.5,0.92,-
50,1,1,0.14,0.86,-,-,-,1,-,-,1,-,0.64,0.36
51,1,1,-,-,-,-,1,-,-,-,-,1,-,-
52,0.8,1,1,-,-,1,0.98,0.02,1,-,1,-,0.39,0.61
53,0.48,1,0.33,-,1,-,0.23,-,-,-,-,-,-,-
54,1,0.87,-,0.36,-,-,-,-,-,-,1,-,-,-
55,0.92,1,0,1,-,-,-,1,-,-,1,-,-,0.87
56,1,1,-,1,-,0.89,0.61,0.23,0.82,0.18,0.53,0.47,0.24,0.76
57,0.02,-,-,1,-,-,-,-,-,-,-,-,-,-
58,0.5,-,0.4,0.6,-,-,-,-,1,-,1,-,0.23,0.64
59,1,1,0.27,0.73,1,-,0.77,-,1,-,0.94,-,-,1
60,-,-,-,-,-,-,-,-,-,-,0.65,-,1,-
61,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,0.06,0.29,1,-,0.46,0.54,1,-,1,-,1,-,0.25,0.52
63,1,1,0.85,0.15,-,1,-,1,1,-,1,-,1,-
64,1,-,1,-,0.79,-,0.67,-,1,-,0.97,-,-,1
65,0.14,1,0.73,0.27,-,1,-,1,1,-,0.18,0.82,-,1
66,0.75,0.68,1,-,1,-,0.12,0.88,1,-,0.91,-,0.3,0.55
67,-,0.16,1,-,1,-,0.25,0.75,1,-,1,-,0.94,0.06
68,1,1,0.46,0.54,0.67,0.33,0.53,0.47,1,-,1,-,-,1
69,0.04,0.93,1,-,1,-,1,-,0.31,-,0.81,-,0.67,0.33
70,-,-,-,0.02,0.94,0.06,0.67,0.33,-,-,1,-,-,-
71,0.84,1,-,1,0.61,0.15,0.74,-,-,0.91,1,-,0.22,0.78
72,1,0.1,-,-,-,-,-,1,0.82,0.18,1,-,-,0.53
72,1,0.67,0.53,0.47,1,-,1,-,1,-,1,-,-,0.82
73,0.87,0.75,1,-,0.53,0.47,0.07,0.69,1,-,1,-,0.69,-
74,-,1,0.06,0.94,1,-,0.23,0.77,0.1,0.15,0.02,0.03,0.15,0.27
75,0.57,-,0.38,0.03,-,0.44,0.23,-,0.37,-,0.48,-,-,0.03
76,0.62,1,0.76,0.24,0.53,0.47,0.89,0.11,-,-,-,0.1,0.92,-
76,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,0.56,0.55,-,-,-,-,-,-,-,-,-,-,-,-
77,1,1,0.18,0.82,0.18,0.62,1,-,0.29,0.3,0.62,-,0.17,0.83
78,0.94,1,1,-,0.17,0.83,1,-,1,-,0.86,0.14,0.09,0.91
79,1,1,-,0.95,0.54,-,1,-,1,-,0.04,0.06,-,0.73
80,1,1,1,-,0.23,0.01,0.43,0.57,-,-,1,-,0.13,0.87
81,0.9,0.05,0.85,-,1,-,0.14,0.86,0.57,-,-,-,-,1
82,-,0.42,-,-,0.35,0.65,-,-,1,-,-,1,0,-
83,1,1,1,-,0.32,-,0.56,0.44,-,-,1,-,-,-
84,-,-,0.09,-,-,-,-,0.4,-,-,-,0.16,-,0.07
85,1,-,-,-,-,-,-,-,-,-,1,-,-,0.28
86,1,1,1,-,-,1,0.86,0.14,0.98,-,1,-,1,-
87,0.9,1,-,0.99,0.55,-,0.92,0.08,-,0.03,0.75,-,1,-
88,1,-,-,1,0.2,0.58,1,-,0.76,-,1,-,0.38,0.62
89,-,-,1,-,-,1,1,-,0.83,-,1,-,1,-
90,1,1,-,1,0.03,0.38,0.25,0.5,0.63,0.19,0.94,0.06,0.57,0.43
92,0.4,1,-,1,0.21,0.79,-,0.67,1,-,0.35,0.65,0.67,0.33
93,1,1,1,-,0.02,-,0.29,0.55,-,0.42,1,-,-,1
95,1,1,0.36,0.64,-,1,1,-,1,-,1,-,-,0.97
96,0.75,0.8,0.94,0.06,1,-,1,-,-,-,-,-,-,0.28
97,1,1,0.37,0.63,0.24,-,0.25,0.75,0.7,-,0.55,0.02,-,1
98,1,1,0.61,0.39,1,-,-,1,1,-,1,-,1,-
99,1,1,0.94,-,0.96,-,0.1,0.9,0.33,0.67,1,-,1,-
100,-,-,-,1,0.17,0.83,-,1,0.33,-,-,-,-,-
101,-,1,-,0.38,0.88,-,1,-,0.02,-,1,-,0.3,0.7
103,0.83,1,0.2,0.8,0.31,0.69,-,0.57,0.51,0.22,1,-,0.5,-
