30,-,-,-,-,-,-,0.98,0.02,-,-,0.03,-,-,1
31,-,-,-,-,-,-,-,0.55,-,-,-,0.12,0.15,-
33,-,-,-,-,-,-,-,-,-,-,0.35,-,-,-
34,-,-,-,-,-,-,0.01,0.71,-,-,0.92,-,0.18,0.15
35,-,-,-,-,-,-,-,0.53,-,-,-,-,-,-
36,-,-,-,-,-,-,-,0.08,-,-,-,-,-,-
37,-,-,-,-,-,-,-,0.44,-,-,-,-,-,-
38,-,-,-,-,-,-,-,0.32,-,-,-,-,-,-
39,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,-,-,-,-,-,-,0.53,-,-,-,-,-,-,-
42,-,-,-,-,-,-,-,0.05,-,-,-,-,-,-
43,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,-,-,-,-,-,-,0.02,-,-,-,-,-,-,-
45,-,-,-,-,-,-,0.65,0.2,-,-,0.06,0.7,0.66,-
46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,-,-,-,-,-,-,0.45,-,-,-,-,-,-,-
49,-,-,-,-,-,-,0.24,0.76,1,-,-,-,-,0.6
50,-,-,-,-,-,-,1,-,-,-,0.05,-,0.27,0.55
51,-,-,-,-,-,-,-,0.2,-,-,0.61,-,0.27,-
52,-,-,-,-,-,-,-,1,-,-,-,-,-,0.05
53,-,-,-,-,-,-,0.17,0.63,-,-,-,-,-,-
54,-,-,-,-,-,-,0.09,0.29,-,-,0.31,-,0.27,-
56,-,-,-,-,-,-,0.17,0.8,-,-,-,-,0.49,-
57,-,-,-,-,-,-,0.85,-,-,-,-,-,-,-
58,-,-,-,0.54,-,-,-,-,-,-,-,-,-,-
59,-,-,-,-,-,-,-,1,-,-,-,0.49,1,-
62,-,-,-,-,-,-,0.41,0.42,-,-,-,-,0.42,-
63,-,-,-,-,-,-,1,-,-,-,-,-,-,1
64,-,-,-,-,-,-,0.45,0.18,0.12,-,0.76,0.19,-,0.72
65,-,-,-,-,-,-,1,-,-,-,-,-,1,-
66,-,-,-,-,-,-,-,0.39,-,-,1,-,0.17,0.11
67,-,-,-,-,-,-,0.75,-,-,-,-,0.14,0.2,-
68,-,-,-,-,-,-,0.38,0.62,-,-,-,-,-,0.09
69,-,-,-,-,-,-,0.05,0.66,-,-,-,-,-,-
70,-,-,-,-,-,-,0.16,0.32,-,-,-,-,-,-
71,-,-,-,-,-,-,0.23,0.77,-,-,-,-,0.7,-
73,-,-,-,-,-,-,0.71,0.29,-,-,-,-,-,-
74,-,-,-,-,-,-,0.24,-,-,-,-,-,-,-
75,-,-,-,-,-,-,0.3,0.27,-,-,-,-,-,-
76,-,-,-,-,-,-,0.37,0.63,-,-,-,-,-,0.09
77,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,-,-,-,-,-,-,0.13,0.37,-,-,-,-,-,-
83,-,-,-,-,-,-,0.78,0.2,-,-,-,-,-,0.58
87,-,-,-,-,-,-,0.85,-,-,-,-,-,1,-
89,-,-,-,-,-,-,0.03,-,-,-,-,-,-,-
90,-,-,-,-,-,-,0.07,0.93,-,-,-,-,-,-
91,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,-,-,-,-,-,-,0.55,-,-,-,-,-,-,-
92,-,-,-,-,-,-,0.28,-,-,-,-,-,-,-
95,-,-,-,-,-,-,0.34,-,-,-,-,-,-,0.6
98,-,-,-,-,-,-,0.62,-,-,-,-,-,0.03,0.79
101,-,-,-,-,-,-,0.01,-,-,-,-,-,-,-
