ID,fixations_1,fixations_2,fixations_3,fixations_4,fixations_5,fixations_6,fixations_7,fixations_8,fixations_9,fixations_10,fixations_11,fixations_12,fixations_13,fixations_14,fixations_15,fixations_16,fixations_17,fixations_18,fixations_19,fixations_20
1,4,1,3,3,3,2,2,3,3,4,3,4,1,0,1,2,2,2,3,4
2,9,4,4,2,4,2,2,0,2,4,2,3,0,0,2,2,4,2,2,1
4,3,4,13,8,10,7,2,8,2,5,4,8,2,0,6,5,5,7,0,3
6,21,0,5,3,6,1,2,2,5,2,13,6,3,0,0,0,5,6,20,9
12,5,11,1,1,1,3,2,3,1,2,8,2,3,2,2,1,9,0,2,2
13,2,1,0,2,4,3,8,1,1,1,2,1,2,4,4,3,2,2,2,2
14,14,15,4,6,4,1,2,2,3,2,3,2,2,2,0,1,3,2,4,4
15,2,2,0,0,3,2,1,0,1,0,1,2,2,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
17,0,0,0,1,2,0,1,3,0,1,2,0,0,3,4,2,4,2,0,6
18,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
19,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,7,2,4,2,5,0,1,1,2,0,,,,,,,,,,
21,0,3,2,1,2,1,2,2,3,3,6,8,4,5,4,8,11,11,7,8
22,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,0,0,0,0,0,3,0,0,2,0,0,0,1,1,0,1,2,1,0,0
27,2,0,2,0,2,4,2,4,0,1,1,0,1,0,0,0,0,0,0,0
28,2,1,0,0,0,0,0,0,0,0,2,3,3,0,0,0,1,0,2,1
30,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,1,1
31,1,0,0,1,1,2,2,3,0,1,5,3,2,1,3,3,0,3,0,0
33,6,7,4,9,12,6,0,7,9,5,5,4,1,4,5,3,10,0,15,1
34,4,2,1,2,3,1,0,0,1,1,0,5,1,1,1,0,1,1,2,5
35,3,1,0,0,1,0,0,1,2,1,2,3,0,0,0,1,1,0,0,1
36,2,1,5,2,4,6,4,2,3,0,1,6,2,2,3,1,2,3,2,2
38,4,1,4,3,0,9,5,3,1,8,3,6,4,7,6,3,10,3,3,4
39,2,1,5,4,3,7,2,0,0,0,0,1,0,0,0,1,2,11,1,0
40,4,2,9,2,1,3,4,6,1,2,4,3,,,,,,,,
41,4,3,2,1,1,1,1,7,1,1,0,2,1,1,1,1,0,1,0,0
42,5,0,0,0,1,0,1,2,8,2,2,0,0,0,1,2,0,2,0,2
43,4,1,1,0,1,5,1,0,3,1,2,9,4,0,5,5,4,2,2,0
44,5,3,7,3,3,2,2,0,1,3,0,1,2,2,0,2,6,2,2,1
45,2,8,5,3,1,3,4,3,4,3,3,3,2,1,2,3,4,2,2,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
48,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0
49,1,2,3,0,1,3,1,1,1,1,0,1,0,1,0,0,0,0,0,0
50,12,4,3,5,4,3,8,4,3,5,2,3,2,2,5,2,0,0,0,0
51,2,2,2,1,1,2,3,0,1,1,2,1,3,1,1,1,2,1,3,2
52,3,3,4,2,2,2,3,2,7,5,6,2,1,3,1,1,0,2,1,1
53,0,1,1,2,4,0,0,0,4,8,7,0,5,6,4,0,0,0,3,5
54,3,0,0,0,4,2,2,0,3,8,1,2,2,2,3,6,3,2,1,2
55,0,3,4,2,1,3,2,2,2,3,1,3,2,2,3,2,1,2,1,0
57,9,10,8,5,2,7,6,10,3,2,1,2,3,0,0,3,0,0,1,3
58,6,0,1,0,2,0,0,0,0,0,1,0,0,1,3,1,3,1,0,0
59,2,2,2,1,0,3,0,1,3,0,0,1,1,0,3,2,1,0,0,1
60,6,1,1,3,4,2,0,1,3,3,2,0,1,0,3,2,2,2,9,5
62,6,2,5,4,6,4,5,2,4,3,4,4,5,2,6,3,2,6,3,3
63,2,2,2,1,2,3,1,1,2,0,2,1,0,0,1,2,5,3,1,1
64,3,1,1,1,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0
65,0,0,4,3,3,2,1,0,1,1,2,2,0,2,2,0,1,2,4,3
66,4,3,5,5,3,4,5,4,4,5,3,2,2,3,3,3,2,1,3,4
67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3
68,1,2,1,1,0,4,4,0,5,4,3,1,3,2,2,4,4,6,0,0
69,0,1,2,2,1,2,2,0,1,2,2,2,2,1,3,6,2,1,0,2
70,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
71,4,3,3,4,3,4,2,1,2,4,5,2,7,2,2,2,5,2,2,1
72,3,2,3,2,4,3,3,2,4,6,5,4,2,5,3,5,4,7,4,7
73,2,0,4,1,5,3,3,3,5,4,4,1,0,1,0,2,2,0,0,1
74,3,7,1,1,5,2,4,4,1,5,1,2,2,7,4,4,2,4,2,2
75,2,2,1,2,2,0,2,2,0,0,0,0,1,0,0,2,0,1,1,1
76,5,3,7,2,0,4,4,1,0,2,2,1,2,0,0,1,0,1,3,2
77,0,0,0,0,1,7,0,0,0,3,0,1,0,0,1,0,2,1,0,0
78,0,0,0,1,0,1,2,1,2,1,1,1,1,0,1,1,1,1,1,2
79,1,3,2,3,3,6,6,2,1,1,5,5,0,0,0,0,0,0,0,0
83,0,1,2,0,2,6,4,1,3,3,1,2,5,2,3,4,1,1,1,0
84,7,0,0,,,,,,,,,,,,,,,,,
86,0,0,1,1,2,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0
87,8,4,5,4,4,5,3,1,1,3,2,2,0,3,3,3,2,1,2,3
88,2,2,0,1,1,3,2,3,1,,,,,,,,,,,
89,1,5,0,,,,,,,,,,,,,,,,,
