Timestamp	Event	Descriptor	AoiNames	
298			Content	
864			Content	
925	MovieStart	MutedBallie.avi		
1180			Content	
2379	KeyPress	Space		
2380	MovieEnd	MutedBallie.avi		
2720	ImageStart	CD_CD.jpg		
3112			encode_distractor_left	
3395			encode_distractor_left	
3862			encode_distractor_left	
4161			encode_distractor_right	
4611			encode_distractor_right	
5011			encode_distractor_left	
5627			encode_distractor_right	
6410			encode_distractor_left	
7076			encode_distractor_left	
7776			encode_distractor_right	
7892			encode_distractor_right	
8109			encode_distractor_right	
12693	ImageEnd	CD_CD.jpg		
12703	ImageStart	blacksquare.bmp		
13704	ImageEnd	blacksquare.bmp		
13738	ImageStart	AB_AB.jpg		
14121			encode_target_left	
14271			encode_target_left	
14554			encode_target_left	
14870			encode_target_left	
15503			encode_target_left	
16652			encode_target_right	
17102			encode_target_right	
17418			Content	
18634			encode_target_left	
23719	ImageEnd	AB_AB.jpg		
23729	ImageStart	blacksquare.bmp		
23764			Content	
24380			Content	
24734	ImageEnd	blacksquare.bmp		
24760	ImageStart	AB_AD.jpg		
25446			retrieval_new_pair	
25746			retrieve_old_pair	
25979			retrieve_old_pair	
26295			retrieve_old_pair	
26645			retrieve_old_pair	
34749	ImageEnd	AB_AD.jpg		
34761	ImageStart	blacksquare.bmp		
35764	ImageEnd	blacksquare.bmp		
35797	ImageStart	AB_CB.jpg		
45764	ImageEnd	AB_CB.jpg		
45774	ImageStart	blacksquare.bmp		
46776	ImageEnd	blacksquare.bmp		
47448	MovieStart	congratulations.wmv		
49426	KeyPress	Space		
56190			Content	
56323			Content	
57088			Content	
58070			Content	
58219			Content	
58653			Content	
60657	KeyPress	Space		
61532	MovieEnd	congratulations.wmv		
