System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 102
Recording date:	 11/10/2015
Recording time:	 11:10:45 AM
Recording resolution:	 1280 x 1024

Export date:	 11/18/2015
Export time:	 9:14:52 AM

Participant:	 102
Timestamp	Event	Descriptor	AoiNames	
0			Content	
230			Content	
358	MovieStart	MutedBallie.avi		
547			Content	
814			Content	
1257	KeyPress	Space		
1258	MovieEnd	MutedBallie.avi		
1729			Content	
2113			Content	
2610	ImageStart	fixation.png		
2862			Content	
3146			Content	
3262			Content	
3429			Content	
3599	ImageEnd	fixation.png		
3628	ImageStart	encode 2 blue.JPG		
3878			Content	
4111			familiarization 1L	
4728			familiarization 1R	
5893			familiarization 1L	
8191			familiarization 1L	
8524			familiarization 1R	
8609	ImageEnd	encode 2 blue.JPG		
8619	ImageStart	fixation.png		
9057			Content	
9621	ImageEnd	fixation.png		
9649	ImageStart	encode 2 pink.JPG		
10107			Content	
10340			familiarization 2L	
10639			familiarization 2L	
11039			familiarization 2L	
11206			familiarization 2R	
11855			familiarization 2L	
12371			familiarization 2R	
12971			familiarization 2R	
13587			familiarization 2L	
13937			familiarization 2L	
15103			Content	
15436			Content	
15602			Content	
15869			Content	
15952			Content	
16319			Content	
16485			familiarization 2L	
16619			familiarization 2L	
16768			familiarization 2L	
18533			Content	
18616			Content	
18800			familiarization 2L	
19635	ImageEnd	encode 2 pink.JPG		
19645	ImageStart	fixation.png		
19999			Content	
20232			Content	
20650	ImageEnd	fixation.png		
20677	ImageStart	2a blue.JPG		
20915			old	
21331			old	
21598			new	
22597			old	
23296			new	
24995			new	
25245			old	
25645			old	
26811			old	
27410			Content	
27677			Content	
28127			Content	
28343			old	
28726			Content	
30649	ImageEnd	2a blue.JPG		
30662	ImageStart	fixation.png		
30941			Content	
31141			Content	
31357			Content	
31540			Content	
31662	ImageEnd	fixation.png		
31689	ImageStart	2b pink.JPG		
31923			Content	
32257			Content	
32473			new	
32923			old	
33189			old	
33939			Content	
34122			new	
34389			new	
34655			Content	
35022			Content	
35205			Content	
35355			Content	
35538			Content	
35738			Content	
35838			Content	
35954			Content	
36271			Content	
36470			new	
36853			old	
37186			old	
37852			new	
38269			new	
38402			old	
38901			old	
39385			new	
40483			old	
41083			new	
41678	ImageEnd	2b pink.JPG		
41688	ImageStart	fixation.png		
41799			Content	
41949			Content	
42066			Content	
42693	ImageEnd	fixation.png		
42782			Content	
43383	MovieStart	congratulations.wmv		
43398			Content	
43814			Content	
43931			Content	
44031			Content	
44414			Content	
45030			Content	
45247			Content	
45440	KeyPress	Escape		
45440	MovieEnd	congratulations.wmv		
