Timestamp	Event	Descriptor	AoiNames	
0			Content	
120	ImageStart	blacksquare.bmp		
524			Content	
1090			Content	
1307			Content	
1490			Content	
1740			Content	
2323			Content	
2573			Content	
2839			Content	
3155			Content	
3505			Content	
3755			Content	
3955			Content	
4405			Content	
4671			Content	
4987			Content	
5254			Content	
7769			Content	
7952			Content	
7972	KeyPress	Space		
7973	ImageEnd	blacksquare.bmp		
8468			Content	
8585			Content	
8627	MovieStart	Julia_3.AVI		
8718			Content	
8818			Content	
8984			Content	
9684			Content	
10983			Content	
11354	MovieEnd	Julia_3.AVI		
11610	ImageStart	blacksquare.bmp		
11682			Content	
12399			Content	
12482			Content	
12965			Content	
13265			Content	
13581			Content	
13781			Content	
14114			Content	
14347			Content	
14860	KeyPress	Space		
14861	ImageEnd	blacksquare.bmp		
14884	ImageStart	fish_bee.BMP		
15047			Content	
15196			new	
15463			old	
15696			old	
15879			new	
16129			new	
16362			Content	
19676			old	
19826			Content	
20076			Content	
20259			old	
20626			old	
20975			new	
21225			new	
21380	KeyPress	Right		
21380	ImageEnd	fish_bee.BMP		
21387	ImageStart	blacksquare.bmp		
21525			Content	
21858			Content	
22008			Content	
22191			Content	
22508			Content	
22924			Content	
23140			Content	
23757			Content	
23990			Content	
24439			Content	
24700	KeyPress	Space		
24700	ImageEnd	blacksquare.bmp		
24722	ImageStart	shirt_cap.BMP		
24989			new	
25189			old	
25455			old	
26238			Content	
26588			Content	
26738			Content	
26987			Content	
27304			Content	
27570			Content	
27692	KeyPress	Right		
27692	ImageEnd	shirt_cap.BMP		
27698	ImageStart	blacksquare.bmp		
27937			Content	
28137			Content	
28570			Content	
28753			Content	
28853			Content	
29140	KeyPress	Space		
29140	ImageEnd	blacksquare.bmp		
29162	ImageStart	ostrich_fly.BMP		
29369			new	
29519			new	
29702			new	
29935			old	
30135			old	
30385			old	
31118			old	
32167			new	
32300			old	
32800			Content	
33233			Content	
33396	KeyPress	Left		
33396	ImageEnd	ostrich_fly.BMP		
33403	ImageStart	blacksquare.bmp		
33499			Content	
33899			Content	
34599			Content	
35331			Content	
35748			Content	
36480			Content	
36564	KeyPress	Space		
36564	ImageEnd	blacksquare.bmp		
36586	ImageStart	tomato_carrot.BMP		
36814			new	
36997			old	
37380			new	
37863			old	
38146			old	
38496			Content	
39160	KeyPress	Right		
39160	ImageEnd	tomato_carrot.BMP		
39166	ImageStart	blacksquare.bmp		
39178			Content	
39611			Content	
39845			Content	
40045			Content	
40494			Content	
41144			Content	
41344			Content	
41443			Content	
42363	KeyPress	Space		
42364	ImageEnd	blacksquare.bmp		
42386	ImageStart	book_bottle.BMP		
42576			old	
42692			new	
42942			old	
43225			old	
43392			Content	
43592			new	
43899	KeyPress	Right		
43900	ImageEnd	book_bottle.BMP		
43906	ImageStart	blacksquare.bmp		
43908			Content	
44458			Content	
44641			Content	
44974			Content	
45191			Content	
45391			Content	
45607			Content	
45923			Content	
46173			Content	
47067	KeyPress	Space		
47068	ImageEnd	blacksquare.bmp		
47089	ImageStart	knife_key.BMP		
47306			new	
47389			new	
47556			old	
47839			old	
48455			new	
48900	KeyPress	Left		
48900	ImageEnd	knife_key.BMP		
48906	ImageStart	blacksquare.bmp		
48921			Content	
49621			Content	
50520			Content	
50687			Content	
51369			Content	
51669			Content	
52075	KeyPress	Space		
52075	ImageEnd	blacksquare.bmp		
52097	ImageStart	grapes_peach.BMP		
52352			old	
52585			new	
52852			new	
53068			old	
53268			Content	
53468			old	
53843	KeyPress	Right		
53844	ImageEnd	grapes_peach.BMP		
53850	ImageStart	blacksquare.bmp		
53918			Content	
54917			Content	
55700			Content	
56666			Content	
57059	KeyPress	Space		
57059	ImageEnd	blacksquare.bmp		
57081	ImageStart	duck_frog.BMP		
57082			Content	
57315			old	
57598			new	
57798			new	
57965			old	
58314			Content	
58597			new	
58771	KeyPress	Right		
58771	ImageEnd	duck_frog.BMP		
58778	ImageStart	blacksquare.bmp		
59047			Content	
60179			Content	
60346			Content	
60662			Content	
61329			Content	
61683	KeyPress	Space		
61683	ImageEnd	blacksquare.bmp		
61704	ImageStart	flower_leaf.BMP		
61945			old	
62128			new	
62345			old	
63110			Content	
63227			Content	
63344			Content	
63577			new	
63595	KeyPress	Right		
63595	ImageEnd	flower_leaf.BMP		
63601	ImageStart	blacksquare.bmp		
63926			Content	
64360			Content	
64576			Content	
64776			Content	
65259			Content	
65342			Content	
66258			Content	
66591			Content	
66659	KeyPress	Space		
66659	ImageEnd	blacksquare.bmp		
66681	ImageStart	lettuce_corn.BMP		
66941			new	
67141			old	
67357			new	
67774			old	
68207			old	
69805			old	
70055			new	
70131	KeyPress	Right		
70131	ImageEnd	lettuce_corn.BMP		
70137	ImageStart	whiteborder.bmp		
70488			Content	
71803	KeyPress	Space		
71803	ImageEnd	whiteborder.bmp		
71871			Content	
72379	MovieStart	Julia_3.AVI		
73436			Content	
73619			Content	
75127	MovieEnd	Julia_3.AVI		
75334	ImageStart	blacksquare.bmp		
75868			Content	
76167			Content	
77017			Content	
77316			Content	
77649			Content	
78316			Content	
78665			Content	
78938	KeyPress	Space		
78938	ImageEnd	blacksquare.bmp		
78963	ImageStart	lamp_television.BMP		
79198			old	
79398			new	
79865			old	
80131			old	
80414			Content	
81047			Content	
81213			Content	
81330			Content	
81530			old	
81746			new	
81778	KeyPress	Left		
81778	ImageEnd	lamp_television.BMP		
81784	ImageStart	blacksquare.bmp		
82246			Content	
83528			Content	
84875	KeyPress	Space		
84875	ImageEnd	blacksquare.bmp		
84896	ImageStart	leg_arm.BMP		
85061			old	
85177			old	
85594			Content	
86093			Content	
86526			new	
86609			new	
86943			old	
87176			old	
90074			old	
90157			old	
90423			new	
90607			new	
92022			old	
92705			old	
92871			old	
96968			old	
97186	KeyPress	Right		
97186	ImageEnd	leg_arm.BMP		
97192	ImageStart	blacksquare.bmp		
97235			Content	
98068			Content	
99067			Content	
99602	KeyPress	Space		
99602	ImageEnd	blacksquare.bmp		
99623	ImageStart	sheep_monkey.BMP		
99683			Content	
101015			old	
101282			new	
101514	KeyPress	Left		
101514	ImageEnd	sheep_monkey.BMP		
101520	ImageStart	blacksquare.bmp		
101615			Content	
102348			Content	
102964			Content	
104213			Content	
104363			Content	
105826	KeyPress	Space		
105826	ImageEnd	blacksquare.bmp		
105848	ImageStart	cat_dog.BMP		
106045			Content	
106861			old	
107138	KeyPress	Left		
107138	ImageEnd	cat_dog.BMP		
107144	ImageStart	blacksquare.bmp		
107361			Content	
109292			Content	
109559			Content	
110109			Content	
110450	KeyPress	Space		
110450	ImageEnd	blacksquare.bmp		
110472	ImageStart	toe_finger.BMP		
110858			Content	
111041			Content	
111174			new	
111441			old	
111691			old	
112240			old	
113006			old	
113339			old	
113505	KeyPress	Right		
113506	ImageEnd	toe_finger.BMP		
113512	ImageStart	blacksquare.bmp		
113756			Content	
113872			Content	
114022			Content	
115055			Content	
115238			Content	
115388			Content	
115638			Content	
116370			Content	
116554	KeyPress	Space		
116554	ImageEnd	blacksquare.bmp		
116578	ImageStart	spoon_fork.BMP		
116604			old	
116953			new	
117353			old	
118003			old	
118336			old	
118425	KeyPress	Left		
118426	ImageEnd	spoon_fork.BMP		
118431	ImageStart	blacksquare.bmp		
120750			Content	
120884			Content	
121150			Content	
121450			Content	
121537	KeyPress	Space		
121537	ImageEnd	blacksquare.bmp		
121565	ImageStart	mouse_squirrel.BMP		
121783			new	
121950			Content	
122099			old	
122266			old	
122832			old	
123049			new	
123321	KeyPress	Right		
123321	ImageEnd	mouse_squirrel.BMP		
123327	ImageStart	blacksquare.bmp		
123598			Content	
124364			Content	
124514			Content	
124731			Content	
126246			Content	
126305	KeyPress	Space		
126305	ImageEnd	blacksquare.bmp		
126327	ImageStart	barn_house.BMP		
126546			new	
126780			old	
127179			old	
128545			Content	
128961			new	
129009	KeyPress	Left		
129009	ImageEnd	barn_house.BMP		
129015	ImageStart	blacksquare.bmp		
129644			Content	
130060			Content	
130477			Content	
130760			Content	
131881	KeyPress	Space		
131881	ImageEnd	blacksquare.bmp		
131902	ImageStart	scissors_brush.BMP		
132059			old	
132425			new	
133358			old	
133591			new	
133729	KeyPress	Left		
133729	ImageEnd	scissors_brush.BMP		
133735	ImageStart	blacksquare.bmp		
133857			Content	
134124			Content	
134857	KeyPress	Space		
134857	ImageEnd	blacksquare.bmp		
134878	ImageStart	tiger_alligator.BMP		
135090			old	
135240			new	
135506			new	
135789			old	
135973			old	
136289			new	
136505			new	
136789			old	
136988			old	
137355			old	
137488			old	
138193	KeyPress	Left		
138193	ImageEnd	tiger_alligator.BMP		
138200	ImageStart	whiteborder.bmp		
138371			Content	
138637			Content	
138787			Content	
139087			Content	
139670			Content	
139937	KeyPress	Space		
139937	ImageEnd	whiteborder.bmp		
140464	MovieStart	congratulations.wmv		
140502			Content	
140669			Content	
141219			Content	
141435			Content	
141968			Content	
142368			Content	
143034			Content	
143384			Content	
143817			Content	
144233			Content	
144599			Content	
144985	KeyPress	Escape		
144985	MovieEnd	congratulations.wmv		
