Timestamp	Event	Descriptor	AoiNames	
110	ImageStart	blacksquare.bmp		
1904			Content	
2088			Content	
2421			Content	
7730	KeyPress	Space		
7730	ImageEnd	blacksquare.bmp		
8202	MovieStart	Julia_3.AVI		
8799			Content	
9082			Content	
10581			Content	
10714			Content	
10864			Content	
10932	MovieEnd	Julia_3.AVI		
11119	ImageStart	blacksquare.bmp		
11248			Content	
11431			Content	
11731			Content	
12480			Content	
12538	KeyPress	Space		
12538	ImageEnd	blacksquare.bmp		
12560	ImageStart	fish_bee.BMP		
12696			Content	
12946			old	
13146			old	
13429			new	
13712			new	
14795			old	
15078			old	
15661			new	
16077			new	
17310			old	
17626			old	
17976			old	
18459			Content	
18692			Content	
19808			old	
19941			old	
20274			old	
20507			old	
21273			new	
21506			new	
21740			new	
22706			new	
23205			new	
23422			old	
23688			old	
23988			old	
25204			Content	
25320			new	
25603			new	
26303			new	
26453			new	
27002			new	
27219			old	
27469			old	
28801			old	
29017			new	
29301			new	
29950			new	
32681	KeyPress	Right		
32681	ImageEnd	fish_bee.BMP		
32687	ImageStart	blacksquare.bmp		
34047			Content	
34713			Content	
34913			Content	
35180			Content	
35377	KeyPress	Space		
35377	ImageEnd	blacksquare.bmp		
35399	ImageStart	shirt_cap.BMP		
35530			Content	
35779			new	
36362			old	
36745			old	
37195			old	
37411			new	
38161			new	
38627			old	
39060			old	
39960			old	
40409			new	
41975			Content	
42757			new	
44417	KeyPress	Left		
44417	ImageEnd	shirt_cap.BMP		
44423	ImageStart	blacksquare.bmp		
45072			Content	
45222			Content	
47920			Content	
48353			Content	
49313	KeyPress	Space		
49313	ImageEnd	blacksquare.bmp		
49335	ImageStart	ostrich_fly.BMP		
51151			old	
51318			new	
51867			new	
52117			old	
53466			new	
53716			new	
54448			new	
54714			old	
58241	KeyPress	Left		
58241	ImageEnd	ostrich_fly.BMP		
58247	ImageStart	blacksquare.bmp		
58961			Content	
59078			Content	
61705	KeyPress	Space		
61705	ImageEnd	blacksquare.bmp		
61726	ImageStart	tomato_carrot.BMP		
62276			old	
62809			new	
63475			old	
66206			old	
66356			old	
67784	KeyPress	Left		
67784	ImageEnd	tomato_carrot.BMP		
67791	ImageStart	blacksquare.bmp		
69220			Content	
69496	KeyPress	Space		
69496	ImageEnd	blacksquare.bmp		
69517	ImageStart	book_bottle.BMP		
69753			Content	
69903			old	
70103			old	
70236			old	
70503			new	
71036			new	
71702			old	
72185			new	
72434			new	
72934			new	
73683			old	
74100			old	
74617			old	
76552	KeyPress	Left		
76552	ImageEnd	book_bottle.BMP		
76558	ImageStart	blacksquare.bmp		
77264			Content	
77648			Content	
78031			Content	
78630			Content	
79147			Content	
79347			Content	
79480			Content	
79613			Content	
79896			Content	
80230			Content	
80392	KeyPress	Space		
80392	ImageEnd	blacksquare.bmp		
80415	ImageStart	knife_key.BMP		
80646			Content	
80946			old	
81062			old	
81545			Content	
82161			Content	
83227			Content	
83494			new	
83743			new	
84126			new	
84559			old	
85025			old	
86408			old	
88056	KeyPress	Right		
88056	ImageEnd	knife_key.BMP		
88061	ImageStart	blacksquare.bmp		
88472			Content	
89306			Content	
89839			Content	
90560	KeyPress	Space		
90560	ImageEnd	blacksquare.bmp		
90583	ImageStart	grapes_peach.BMP		
90855			new	
91554			old	
91937			new	
92286			new	
92852			new	
93252			new	
93440	KeyPress	Left		
93440	ImageEnd	grapes_peach.BMP		
93445	ImageStart	blacksquare.bmp		
94168			Content	
95134			Content	
103535	KeyPress	Space		
103535	ImageEnd	blacksquare.bmp		
103556	ImageStart	duck_frog.BMP		
110391	KeyPress	Right		
110391	ImageEnd	duck_frog.BMP		
110400	ImageStart	blacksquare.bmp		
115270			Content	
115303	KeyPress	Space		
115303	ImageEnd	blacksquare.bmp		
115324	ImageStart	flower_leaf.BMP		
115453			new	
115853			new	
116802			old	
117452			old	
117884			new	
118800			new	
119871	KeyPress	Left		
119871	ImageEnd	flower_leaf.BMP		
119877	ImageStart	blacksquare.bmp		
121982			Content	
122319	KeyPress	Space		
122319	ImageEnd	blacksquare.bmp		
122340	ImageStart	lettuce_corn.BMP		
122615			old	
123214			new	
123430			new	
123946			Content	
124296			old	
124412			Content	
124612			new	
125211			new	
125295			old	
125478			old	
125911			old	
127615	KeyPress	Right		
127615	ImageEnd	lettuce_corn.BMP		
127621	ImageStart	whiteborder.bmp		
128376			Content	
128793			Content	
129176			Content	
129542			Content	
129679	KeyPress	Space		
129679	ImageEnd	whiteborder.bmp		
130157	MovieStart	Julia_3.AVI		
130208			Content	
130441			Content	
132909	MovieEnd	Julia_3.AVI		
133272			Content	
133456			Content	
133772	ImageStart	blacksquare.bmp		
133789			Content	
134391	KeyPress	Space		
134391	ImageEnd	blacksquare.bmp		
134412	ImageStart	lamp_television.BMP		
134822			old	
135288			old	
135871			new	
136403			old	
136986			old	
137750	KeyPress	Right		
137750	ImageEnd	lamp_television.BMP		
137757	ImageStart	blacksquare.bmp		
139102			Content	
139418			Content	
139551			Content	
140983	KeyPress	Space		
140983	ImageEnd	blacksquare.bmp		
141005	ImageStart	leg_arm.BMP		
141367			new	
141917			old	
142300			old	
142633			new	
142866			new	
144398			old	
145047			old	
147406	KeyPress	Left		
147406	ImageEnd	leg_arm.BMP		
147413	ImageStart	blacksquare.bmp		
148728			Content	
150544			Content	
150677			Content	
150993			Content	
154246	KeyPress	Space		
154246	ImageEnd	blacksquare.bmp		
154267	ImageStart	sheep_monkey.BMP		
163430	KeyPress	Left		
163430	ImageEnd	sheep_monkey.BMP		
163435	ImageStart	blacksquare.bmp		
163566			Content	
164150			Content	
165478	KeyPress	Space		
165478	ImageEnd	blacksquare.bmp		
165499	ImageStart	cat_dog.BMP		
166564			old	
167014			old	
169611			old	
169712			old	
171254	KeyPress	Right		
171254	ImageEnd	cat_dog.BMP		
171260	ImageStart	blacksquare.bmp		
171393			Content	
171611			Content	
172094			Content	
172344			Content	
172660			Content	
173254	KeyPress	Space		
173254	ImageEnd	blacksquare.bmp		
173274	ImageStart	toe_finger.BMP		
175042			old	
175790			old	
176324			new	
176640			new	
177289			old	
177706			old	
179493	KeyPress	Left		
179494	ImageEnd	toe_finger.BMP		
179499	ImageStart	blacksquare.bmp		
179721			Content	
181814	KeyPress	Space		
181814	ImageEnd	blacksquare.bmp		
181834	ImageStart	spoon_fork.BMP		
182236			Content	
182336			new	
182752			old	
182902			old	
183185			old	
183268			new	
184933	KeyPress	Right		
184933	ImageEnd	spoon_fork.BMP		
184939	ImageStart	blacksquare.bmp		
185933			Content	
187093	KeyPress	Space		
187093	ImageEnd	blacksquare.bmp		
187114	ImageStart	mouse_squirrel.BMP		
187399			old	
187682			old	
187948			new	
188231			new	
188864			old	
189480			new	
190263			old	
190846			old	
192013	KeyPress	Left		
192013	ImageEnd	mouse_squirrel.BMP		
192019	ImageStart	blacksquare.bmp		
192895			Content	
193061			Content	
193853	KeyPress	Space		
193853	ImageEnd	blacksquare.bmp		
193874	ImageStart	barn_house.BMP		
194593			old	
194942			new	
195192			new	
195359			new	
196258			old	
196608			old	
196908			old	
197074			old	
197324			old	
197457			old	
199437	KeyPress	Left		
199437	ImageEnd	barn_house.BMP		
199443	ImageStart	blacksquare.bmp		
199989			Content	
202309	KeyPress	Space		
202309	ImageEnd	blacksquare.bmp		
202331	ImageStart	scissors_brush.BMP		
202537			new	
202737			Content	
202970			new	
203286			old	
203436			old	
204053			old	
204702			Content	
205035			new	
205268			new	
205751			new	
206034			new	
206284			new	
208045	KeyPress	Right		
208045	ImageEnd	scissors_brush.BMP		
208050	ImageStart	blacksquare.bmp		
208932			Content	
209099			Content	
209898			Content	
209997	KeyPress	Space		
209997	ImageEnd	blacksquare.bmp		
210018	ImageStart	tiger_alligator.BMP		
210265			new	
210498			new	
211031			old	
211331			old	
211830			old	
212063			old	
213381	KeyPress	Right		
